GeneA,GeneB
NFE2L2,KEAP1
MDM2,TP53
HIF1A,VHL
IKBKB,NFKBIA
MTOR,RPTOR
IKBKB,IKBKG
PIK3C3,BECN1
CDC34,RBX1
E2F1,RB1
EIF4E,EIF4EBP1
UBE2C,ANAPC11
MAD2L1,CDC20
FANCA,FANCG
JUN,MAPK8
RAD51,BRCA2
BUB1B,CDC20
XIAP,DIABLO
HIF1A,ARNT
BARD1,BRCA1
CHUK,NFKBIA
NFKBIA,RELA
UBE2D1,RBX1
CASP8,FADD
SMAD3,SMAD4
EGFR,CBL
ATG14,BECN1
MDM2,MDM4
GRB2,SHC1
CDK4,CCND1
MTOR,RICTOR
BCL2,BECN1
CDC20,CDC27
DDX58,MAVS
SMAD2,SMAD4
CDK9,CCNT1
CHUK,IKBKG
CDK2,CCNE1
PRKN,UBE2L3
BAD,BCL2L1
PAK1,RAC1
CDK2,CCNA2
TNFRSF1A,RIPK1
MAX,MYC
MDM4,TP53
ERCC1,ERCC4
GRB2,SOS1
GSK3B,AXIN1
FANCA,FANCC
UBE2D3,RBX1
BRCA2,PALB2
BAX,BCL2L1
TAB2,MAP3K7
CDK2,CDKN1A
MALT1,BCL10
XIAP,CASP9
TSC1,TSC2
CDK2,CDKN1B
CASP8,RIPK1
CDK4,RB1
GRB2,CBL
EP300,HIF1A
XIAP,CASP3
MRE11,NBN
VHL,CUL2
MLH1,PMS2
ELOC,VHL
BCL2L11,MCL1
TNF,TNFRSF1A
CTNNB1,CDH1
BRCA1,BRIP1
CDKN1A,PCNA
UVRAG,BECN1
DDB1,CUL4A
FAS,FADD
LIG4,XRCC4
DDB1,DDB2
SKP1,SKP2
EP300,TP53
FGF2,FGFR1
SKP1,CUL1
AHR,ARNT
ATG14,PIK3C3
XRCC6,XRCC5
CUL1,RBX1
TNFRSF1A,TRADD
CCNB1,CDK1
PIK3R1,CBL
IRS1,PIK3R1
FEN1,PCNA
CDK2,H1-1
TAB1,MAP3K7
EIF4EBP1,MTOR
CRKL,CBL
EZH2,SUZ12
ELOB,VHL
RAD50,MRE11
STUB1,HSPA4
EZH2,EED
RBPJ,NOTCH1
PEX19,PEX3
FGF1,FGFR1
CTNNB1,BTRC
KDR,VEGFA
NSFL1C,VCP
RBBP8,BRCA1
TNFSF10,TNFRSF10B
PPARG,RXRA
HRAS,RAF1
MCL1,PMAIP1
ANAPC4,CDC27
CHUK,IKBKB
APAF1,CASP9
