hgnc_symbol	ensembl_gene_id	gene_biotype
MT-TF	ENSG00000210049	Mt_tRNA
MT-RNR1	ENSG00000211459	Mt_rRNA
MT-TV	ENSG00000210077	Mt_tRNA
MT-RNR2	ENSG00000210082	Mt_rRNA
MT-TL1	ENSG00000209082	Mt_tRNA
MT-ND1	ENSG00000198888	protein_coding
MT-TI	ENSG00000210100	Mt_tRNA
MT-TQ	ENSG00000210107	Mt_tRNA
MT-TM	ENSG00000210112	Mt_tRNA
MT-ND2	ENSG00000198763	protein_coding
MT-TW	ENSG00000210117	Mt_tRNA
MT-TA	ENSG00000210127	Mt_tRNA
MT-TN	ENSG00000210135	Mt_tRNA
MT-TC	ENSG00000210140	Mt_tRNA
MT-TY	ENSG00000210144	Mt_tRNA
MT-CO1	ENSG00000198804	protein_coding
MT-TS1	ENSG00000210151	Mt_tRNA
MT-TD	ENSG00000210154	Mt_tRNA
MT-CO2	ENSG00000198712	protein_coding
MT-TK	ENSG00000210156	Mt_tRNA
MT-ATP8	ENSG00000228253	protein_coding
MT-ATP6	ENSG00000198899	protein_coding
MT-CO3	ENSG00000198938	protein_coding
MT-TG	ENSG00000210164	Mt_tRNA
MT-ND3	ENSG00000198840	protein_coding
MT-TR	ENSG00000210174	Mt_tRNA
MT-ND4L	ENSG00000212907	protein_coding
MT-ND4	ENSG00000198886	protein_coding
MT-TH	ENSG00000210176	Mt_tRNA
MT-TS2	ENSG00000210184	Mt_tRNA
MT-TL2	ENSG00000210191	Mt_tRNA
MT-ND5	ENSG00000198786	protein_coding
MT-ND6	ENSG00000198695	protein_coding
MT-TE	ENSG00000210194	Mt_tRNA
MT-CYB	ENSG00000198727	protein_coding
MT-TT	ENSG00000210195	Mt_tRNA
MT-TP	ENSG00000210196	Mt_tRNA
	ENSG00000299200	lncRNA
	ENSG00000308964	lncRNA
	ENSG00000278457	rRNA
	ENSG00000271254	protein_coding
	ENSG00000278704	protein_coding
	ENSG00000278625	snRNA
	ENSG00000309338	lncRNA
	ENSG00000295063	lncRNA
	ENSG00000309357	lncRNA
	ENSG00000309229	lncRNA
	ENSG00000310277	lncRNA
	ENSG00000304745	lncRNA
	ENSG00000276197	misc_RNA
	ENSG00000297844	lncRNA
	ENSG00000309258	lncRNA
	ENSG00000278573	pseudogene
	ENSG00000303173	lncRNA
	ENSG00000278294	rRNA
RNA5-8SN5	ENSG00000274917	rRNA
	ENSG00000294644	lncRNA
	ENSG00000296902	lncRNA
	ENSG00000307034	lncRNA
	ENSG00000273730	rRNA
	ENSG00000273937	misc_RNA
	ENSG00000297619	lncRNA
	ENSG00000277196	protein_coding
	ENSG00000308580	lncRNA
	ENSG00000296546	lncRNA
	ENSG00000300051	lncRNA
	ENSG00000296713	lncRNA
	ENSG00000305511	lncRNA
	ENSG00000305525	lncRNA
	ENSG00000306721	lncRNA
	ENSG00000277630	protein_coding
	ENSG00000300074	lncRNA
	ENSG00000303867	lncRNA
	ENSG00000300093	lncRNA
	ENSG00000300846	lncRNA
	ENSG00000307470	lncRNA
	ENSG00000303750	lncRNA
	ENSG00000301573	lncRNA
	ENSG00000278817	protein_coding
	ENSG00000276017	protein_coding
	ENSG00000302039	lncRNA
	ENSG00000301587	lncRNA
	ENSG00000297072	lncRNA
	ENSG00000278793	snRNA
	ENSG00000298861	lncRNA
	ENSG00000301131	lncRNA
	ENSG00000303733	lncRNA
	ENSG00000305236	lncRNA
	ENSG00000308643	lncRNA
	ENSG00000309233	lncRNA
	ENSG00000277428	misc_RNA
	ENSG00000276256	protein_coding
	ENSG00000295668	lncRNA
	ENSG00000303853	lncRNA
	ENSG00000303221	lncRNA
	ENSG00000307061	lncRNA
	ENSG00000278384	protein_coding
	ENSG00000307722	lncRNA
	ENSG00000310401	lncRNA
	ENSG00000309831	lncRNA
	ENSG00000301761	lncRNA
	ENSG00000306744	lncRNA
	ENSG00000306767	lncRNA
	ENSG00000275987	snRNA
	ENSG00000308844	lncRNA
	ENSG00000268674	protein_coding
	ENSG00000277475	protein_coding
	ENSG00000275405	snRNA
	ENSG00000275063	protein_coding
	ENSG00000298139	lncRNA
	ENSG00000277856	protein_coding
	ENSG00000277400	protein_coding
	ENSG00000295160	lncRNA
	ENSG00000298751	lncRNA
MAFIP	ENSG00000274847	protein_coding
	ENSG00000276711	snRNA
	ENSG00000298769	lncRNA
	ENSG00000302961	lncRNA
	ENSG00000296348	lncRNA
	ENSG00000296732	lncRNA
	ENSG00000301091	lncRNA
	ENSG00000298772	lncRNA
	ENSG00000307824	lncRNA
	ENSG00000303154	lncRNA
	ENSG00000303902	lncRNA
	ENSG00000307077	lncRNA
	ENSG00000304792	lncRNA
	ENSG00000304816	lncRNA
	ENSG00000298153	lncRNA
	ENSG00000303875	lncRNA
	ENSG00000275661	misc_RNA
	ENSG00000303892	lncRNA
	ENSG00000276351	misc_RNA
	ENSG00000276345	protein_coding
	ENSG00000310347	lncRNA
	ENSG00000303912	lncRNA
	ENSG00000273532	misc_RNA
	ENSG00000293919	lncRNA
	ENSG00000294171	lncRNA
	ENSG00000298169	lncRNA
	ENSG00000306528	lncRNA
	ENSG00000308185	lncRNA
	ENSG00000298181	lncRNA
	ENSG00000304845	lncRNA
	ENSG00000276312	misc_RNA
RNA5-8SN4	ENSG00000276700	rRNA
	ENSG00000275757	rRNA
	ENSG00000298793	lncRNA
	ENSG00000273739	misc_RNA
	ENSG00000298142	lncRNA
	ENSG00000301406	lncRNA
	ENSG00000307206	lncRNA
	ENSG00000306938	lncRNA
	ENSG00000274175	protein_coding
	ENSG00000310376	lncRNA
	ENSG00000297972	lncRNA
	ENSG00000273554	protein_coding
	ENSG00000310392	lncRNA
	ENSG00000277374	snRNA
	ENSG00000300519	lncRNA
	ENSG00000303573	lncRNA
	ENSG00000297432	lncRNA
	ENSG00000306402	lncRNA
	ENSG00000273748	protein_coding
	ENSG00000296581	lncRNA
	ENSG00000297449	lncRNA
	ENSG00000304422	lncRNA
	ENSG00000299314	lncRNA
	ENSG00000275869	protein_coding
	ENSG00000294191	lncRNA
	ENSG00000278510	processed_pseudogene
	ENSG00000273843	processed_pseudogene
	ENSG00000277836	protein_coding
	ENSG00000294926	lncRNA
	ENSG00000296598	lncRNA
	ENSG00000295260	lncRNA
	ENSG00000296618	lncRNA
	ENSG00000309296	lncRNA
	ENSG00000295285	lncRNA
	ENSG00000299852	lncRNA
	ENSG00000295455	lncRNA
	ENSG00000293939	lncRNA
	ENSG00000295648	lncRNA
	ENSG00000296644	lncRNA
	ENSG00000293969	lncRNA
	ENSG00000299870	lncRNA
	ENSG00000296756	lncRNA
	ENSG00000276932	misc_RNA
	ENSG00000302801	lncRNA
	ENSG00000307088	lncRNA
	ENSG00000296798	lncRNA
	ENSG00000296634	lncRNA
	ENSG00000299885	lncRNA
	ENSG00000297394	lncRNA
	ENSG00000297936	lncRNA
	ENSG00000298469	lncRNA
	ENSG00000278633	protein_coding
	ENSG00000278066	pseudogene
	ENSG00000295378	lncRNA
	ENSG00000306901	lncRNA
	ENSG00000309793	lncRNA
	ENSG00000300662	lncRNA
	ENSG00000301410	lncRNA
	ENSG00000303548	lncRNA
	ENSG00000296775	lncRNA
	ENSG00000303746	lncRNA
	ENSG00000297558	lncRNA
	ENSG00000298095	lncRNA
	ENSG00000274202	snRNA
	ENSG00000303588	lncRNA
	ENSG00000304032	lncRNA
	ENSG00000308966	lncRNA
	ENSG00000304964	lncRNA
	ENSG00000309079	lncRNA
	ENSG00000305027	lncRNA
	ENSG00000305713	lncRNA
	ENSG00000306124	lncRNA
	ENSG00000307249	lncRNA
	ENSG00000308567	lncRNA
	ENSG00000309335	lncRNA
	ENSG00000301787	lncRNA
	ENSG00000310156	lncRNA
	ENSG00000300815	lncRNA
	ENSG00000304057	lncRNA
	ENSG00000293753	lncRNA
	ENSG00000299010	lncRNA
	ENSG00000307122	lncRNA
	ENSG00000307143	lncRNA
	ENSG00000307166	lncRNA
	ENSG00000280864	lncRNA
RNU1-62P	ENSG00000281822	snRNA
MTCO3P47	ENSG00000280505	processed_pseudogene
RNA5SP136	ENSG00000280775	rRNA_pseudogene
RYBP	ENSG00000281766	protein_coding
GCGR	ENSG00000288269	protein_coding
RPL23AP45	ENSG00000291360	processed_pseudogene
MCRIP1	ENSG00000288213	protein_coding
	ENSG00000291371	misc_RNA
RNU6-409P	ENSG00000291372	snRNA
ACR	ENSG00000291368	protein_coding
	ENSG00000306474	lncRNA
	ENSG00000291361	processed_pseudogene
	ENSG00000291369	lncRNA
C8orf33	ENSG00000291362	protein_coding
SNRPA1P2	ENSG00000291370	processed_pseudogene
LINC01784	ENSG00000282162	lncRNA
SHANK3	ENSG00000292254	protein_coding
PRAMEF11	ENSG00000281934	protein_coding
PRAMEF30P	ENSG00000282116	unprocessed_pseudogene
HNRNPCL1	ENSG00000282175	protein_coding
PRAMEF2	ENSG00000282817	protein_coding
PRAMEF4	ENSG00000282584	protein_coding
PRAMEF10	ENSG00000282663	protein_coding
PRAMEF7	ENSG00000279195	protein_coding
	ENSG00000306526	lncRNA
RNU6-1072P	ENSG00000282338	snRNA
PRAMEF29P	ENSG00000282549	unprocessed_pseudogene
PRAMEF6	ENSG00000282119	protein_coding
PPP1R27	ENSG00000288186	protein_coding
PRAMEF28P	ENSG00000282791	unprocessed_pseudogene
PRAMEF27	ENSG00000282437	protein_coding
HNRNPCL3	ENSG00000282559	protein_coding
PRAMEF25	ENSG00000282566	protein_coding
PRAMEF34P	ENSG00000282258	unprocessed_pseudogene
PRAMEF35P	ENSG00000282562	unprocessed_pseudogene
LINC02688	ENSG00000291364	lncRNA
HNRNPCL2	ENSG00000282530	protein_coding
MUC5AC	ENSG00000291363	protein_coding
PRAMEF36P	ENSG00000282468	transcribed_unprocessed_pseudogene
	ENSG00000290624	lncRNA
MUC2	ENSG00000293532	protein_coding
	ENSG00000282341	lncRNA
PRAMEF26	ENSG00000281987	protein_coding
HNRNPCL4	ENSG00000282095	protein_coding
PRAMEF9	ENSG00000282298	protein_coding
PRAMEF13	ENSG00000282741	protein_coding
PRAMEF18	ENSG00000282212	protein_coding
PRAMEF31P	ENSG00000282289	unprocessed_pseudogene
PRAMEF5	ENSG00000282424	protein_coding
PRAMEF32P	ENSG00000282216	unprocessed_pseudogene
RNU6-771P	ENSG00000282288	snRNA
PRAMEF8	ENSG00000282583	protein_coding
PRAMEF33	ENSG00000282125	protein_coding
PRAMEF22	ENSG00000293551	protein_coding
CNTNAP3C	ENSG00000291365	protein_coding
RN7SL462P	ENSG00000291366	misc_RNA
	ENSG00000290500	lncRNA
OR9G1	ENSG00000261958	protein_coding
OR9G9	ENSG00000262191	protein_coding
	ENSG00000281683	processed_pseudogene
OR9G3P	ENSG00000262268	unprocessed_pseudogene
OR9G4	ENSG00000262647	protein_coding
OR9G2P	ENSG00000281777	unprocessed_pseudogene
OR5G1P	ENSG00000281313	unprocessed_pseudogene
BCL2L14	ENSG00000281449	protein_coding
OR5G4P	ENSG00000281279	unprocessed_pseudogene
OR5G5P	ENSG00000262535	transcribed_unprocessed_pseudogene
OR5G3	ENSG00000281107	protein_coding
LINC02735	ENSG00000281839	lncRNA
PTMAP9	ENSG00000281442	processed_pseudogene
MIR1244-4	ENSG00000283344	miRNA
