Regulator	Targets
l____carnitine_HI	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1|ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
desthiobiotin_C18	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
choline_C18	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1|MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
dl_stachydrine_C18	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
9_oxo_10_e_,12_e__octadecadienoic_acid_HI	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
asparagine_HI	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
p_cresol_glucuronide_HI	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
n8_acetylspermidine_C18	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
inosine_5'_monophosphate__imp__HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
n1_acetylspermine_HI	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
