Regulator	Targets
H1_[16]_(K)_Me3	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1|HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
H1_[31]_(K)_Unmod	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
H31_[36]_(K)_Unmod	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
H2A_[7]_(K)_Unmod	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H1_[32]_(K)_Unmod	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H1_[24]_(K)_Unmod	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H31_[9]_(K)_Fo	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H4_[8]_(K)_Bu	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
H31_[36]_(K)_Me2	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
H31_[14]_(K)_Ac	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
