Regulator	Target	Score	Overall_rank
ZNF112	0	1.8672422150825116	120
ZNF227	0	1.6913768150408832	139
ZNF230	0	0.9880897876611185	245
ZNF283	0	0.9316433181452571	253
ZNF284	0	0.8688314994350302	272
ZNF461	0	0.7991726084921894	294
ZNF225	0	0.7905738284756872	299
ZNF772	0	0.7554371987759688	323
ZNF614	0	0.6270924955323242	398
ZNF583	0	0.45025107799903696	559
ZNF570	0	0.44097065546642894	572
ZNF615	0	0.38871406873972714	646
ZNF569	0	0.380830704176277	656
ZNF573	0	0.34254938593924067	717
ZNF749	0	0.3409873366402947	722
ZNF527	0	0.3116509540350573	784
ZNF383	0	0.2492582051480611	976
MYT1L	1	8.302175891203518	5
ZNF619	1	0.5087252148499684	487
ELK1	1	0.24582213159339084	989
ZNF449	1	0.24117206705574448	1008
MYT1L	2	6.873656358695869	15
GMEB2	2	0.6087757397820172	413
ZNF577	2	0.36880685908757	688
LHX6	2	0.33778631457233654	724
ZNF347	2	0.27877894585779406	867
ZNF814	2	0.2616894320415788	930
ELK1	2	0.261460292517672	931
SOX1	2	0.24532960393346298	990
ZNF136	3	1.556606895485269	160
ZNF417	3	1.388405505800931	181
ZNF587	3	1.1860559394165033	213
ZNF548	3	1.0520061241120278	231
ZNF841	3	0.877942105932572	269
ZNF791	3	0.6664046018589638	366
ZNF333	3	0.6534945059782067	376
ZNF383	3	0.6438158074225804	383
ZNF14	3	0.5522303977847546	452
ZNF416	3	0.42070125315044515	597
ZNF77	3	0.3786103204444694	664
ZNF749	3	0.27817483839411333	873
ZNF260	3	0.26353165401462564	926
ZNF611	3	0.26245363817617434	929
VDR	4	7.529273870903582	10
CEBPB	4	0.6293710475418496	395
ZNF519	4	0.5076794090157674	488
NFIL3	4	0.45314624093380856	555
NFKB2	4	0.3512243419362586	707
MAFK	4	0.3259806684786665	745
PBX1	4	0.31470560405838455	779
BATF	4	0.26682577250837025	910
ZNF253	5	3.4082118330402404	54
ZNF519	5	1.5446903491238007	164
STAT6	5	0.851240216269904	276
ZNF726	5	0.8237272324917698	284
ZNF730	5	0.7693074110070461	314
ZNF254	5	0.6669616854345831	365
ZNF43	5	0.6654646677264966	367
ZNF287	5	0.6161494523794825	409
ZNF84	5	0.46522166280147337	537
ZNF678	5	0.40834103776418806	615
TCF4	5	0.29743818772924285	811
SMAD4	5	0.29457537070591233	821
FOXJ1	6	9.033118129236723	2
ZNF165	6	0.572736074752169	434
ZNF396	6	0.49899935649908955	499
ZNF169	6	0.45206292471491105	558
ZNF37A	6	0.3746183185253027	673
POU6F2	7	2.956086255110311	68
MYRF	7	2.783558599770716	76
STAT2	7	0.6932907137189366	345
E2F5	7	0.6194089824931356	405
LHX6	7	0.5214281202181537	472
GLIS2	7	0.4250992098489177	588
ZNF502	7	0.2729082308848161	884
FOXL1	8	1.5489359538612415	163
FOXC2	8	0.9422635137660461	251
IKZF5	8	0.6362542031336553	391
HIC1	8	0.6283344833966317	397
ZNF275	8	0.5673115430870119	441
ZBED3	8	0.4540976592239092	553
FOXP1	8	0.4238318073399064	591
PBX1	8	0.405044812708984	621
SNAI2	8	0.40455541091444763	623
ZNF572	8	0.3947735588009059	634
FOXS1	8	0.38995476548572083	644
TFAP2E	8	0.32372610408834024	754
MYT1L	9	6.653218564502682	17
MYT1	9	2.254531228971749	95
BATF	10	5.308291875641497	24
IRF1	10	0.45952810285187173	544
ZNF662	10	0.42386136715393347	590
NFIB	10	0.423056796583632	595
ALX3	10	0.3293608841778649	740
STAT6	10	0.3275266807290829	741
ZHX3	10	0.296223789024694	815
NPAS3	10	0.2823535767936168	860
FOSL2	10	0.2651300584871452	918
MEF2C	11	1.8496126060895433	122
NR6A1	11	0.8811863464872456	266
TCF12	11	0.7713354181100932	312
KLF8	11	0.6159803838339664	410
ZNF773	11	0.4589764555638896	546
ZNF429	11	0.4127971627403783	608
POU6F2	11	0.38049283889962676	657
BHLHE41	11	0.2551601108213574	952
ZNF704	12	3.6721687406552834	47
KLF12	12	1.9881471548338996	109
PURG	12	0.7904375135631853	300
NFE2L2	12	0.6676331349113693	364
ZNF322	12	0.6114510048818652	411
PATZ1	12	0.5981511271775228	419
MYT1	12	0.5074550941971385	489
TSHZ1	12	0.49611207618139175	505
SOX6	12	0.46016088673283856	543
SOX8	12	0.43819230476226106	576
STOX2	12	0.43425235529722034	579
CSRNP3	12	0.31458892773497177	780
BCL11A	12	0.28887453972159605	840
ELK3	12	0.25700851657159146	945
FOXG1	13	2.015681815808987	106
CREB3L4	13	1.3896941777853224	180
CREB3L1	13	0.9462354693745507	249
NPAS3	13	0.8557862438528939	275
ESRRG	13	0.6755281874932394	359
POU3F2	13	0.6481320838993043	380
MEIS1	13	0.509025841556304	486
SOX9	13	0.4792510223531288	519
IRF2	13	0.394694596722976	635
SATB2	13	0.37730126238143824	665
ZNF18	13	0.35799299571970655	698
LEF1	13	0.30131697895836534	801
ETV3	13	0.29772039901120756	810
AEBP1	13	0.2903389397038593	835
IKZF3	14	14.020086468111128	1
IKZF1	15	7.398375675403162	12
LYL1	15	2.1523171974672968	97
CEBPA	15	1.6139892219178698	150
HHEX	15	0.5173069385140089	479
FLI1	15	0.43200771213183187	582
IRF5	15	0.3228150502339456	759
ZBTB45	16	3.2551327685370115	57
ZNF324B	16	2.4457926712770184	90
ZNF446	16	0.9102653888264584	255
ATF2	16	0.5918300157738052	422
ZNF324	16	0.43302864695009285	581
ZNF444	16	0.4231678327586212	594
CC2D1A	16	0.39425303425964664	636
MEIS3	16	0.3754758249464712	670
ZNF580	16	0.3471337393500727	713
ZFP41	16	0.2656685907312026	916
HES5	17	4.450272268920061	37
HES6	17	1.2257797765780631	206
THRA	17	1.1404819772213908	222
SALL3	17	0.40736529208691113	617
RFX4	17	0.3812955747228507	654
KLF17	17	0.26981192530746906	897
MYRF	18	7.6163616359183886	9
CREBRF	18	0.9649515884054034	246
BCL11A	18	0.6241359025472525	402
SOX10	18	0.47915935295284695	520
ST18	18	0.37683122736160923	666
MYT1L	18	0.35300540567338723	706
SMAD3	18	0.32537581352543565	748
POU6F2	18	0.32435202465616514	751
NFIC	19	4.272290929822855	41
SP2	19	1.2272676205507618	205
CIC	19	0.8786907506938062	268
FOXJ2	19	0.8102688190492084	289
