Name	Type
ZNF112	TFs
ZNF227	TFs
ZNF230	TFs
ZNF283	TFs
ZNF284	TFs
ZNF461	TFs
ZNF225	TFs
ZNF772	TFs
ZNF614	TFs
ZNF583	TFs
ZNF570	TFs
ZNF615	TFs
ZNF569	TFs
ZNF573	TFs
ZNF749	TFs
ZNF527	TFs
ZNF383	TFs
MYT1L	TFs
ZNF619	TFs
ELK1	TFs
ZNF449	TFs
GMEB2	TFs
ZNF577	TFs
LHX6	TFs
ZNF347	TFs
ZNF814	TFs
SOX1	TFs
ZNF136	TFs
ZNF417	TFs
ZNF587	TFs
ZNF548	TFs
ZNF841	TFs
ZNF791	TFs
ZNF333	TFs
ZNF14	TFs
ZNF416	TFs
ZNF77	TFs
ZNF260	TFs
ZNF611	TFs
VDR	TFs
CEBPB	TFs
ZNF519	TFs
NFIL3	TFs
NFKB2	TFs
MAFK	TFs
PBX1	TFs
BATF	TFs
FOXJ1	TFs
ZNF165	TFs
ZNF396	TFs
ZNF169	TFs
ZNF37A	TFs
POU6F2	TFs
MYRF	TFs
STAT2	TFs
E2F5	TFs
GLIS2	TFs
ZNF502	TFs
FOXL1	TFs
FOXC2	TFs
IKZF5	TFs
HIC1	TFs
ZNF275	TFs
ZBED3	TFs
FOXP1	TFs
SNAI2	TFs
ZNF572	TFs
FOXS1	TFs
TFAP2E	TFs
MYT1	TFs
IRF1	TFs
ZNF662	TFs
NFIB	TFs
ALX3	TFs
STAT6	TFs
ZHX3	TFs
NPAS3	TFs
FOSL2	TFs
MEF2C	TFs
NR6A1	TFs
TCF12	TFs
KLF8	TFs
ZNF773	TFs
ZNF429	TFs
BHLHE41	TFs
ZNF704	TFs
KLF12	TFs
PURG	TFs
NFE2L2	TFs
ZNF322	TFs
PATZ1	TFs
TSHZ1	TFs
SOX6	TFs
SOX8	TFs
STOX2	TFs
CSRNP3	TFs
BCL11A	TFs
ELK3	TFs
FOXG1	TFs
CREB3L4	TFs
CREB3L1	TFs
ESRRG	TFs
POU3F2	TFs
MEIS1	TFs
SOX9	TFs
IRF2	TFs
SATB2	TFs
ZNF18	TFs
LEF1	TFs
ETV3	TFs
AEBP1	TFs
IKZF3	TFs
IKZF1	TFs
LYL1	TFs
CEBPA	TFs
HHEX	TFs
FLI1	TFs
IRF5	TFs
ZBTB45	TFs
ZNF324B	TFs
ZNF446	TFs
ATF2	TFs
ZNF324	TFs
ZNF444	TFs
CC2D1A	TFs
MEIS3	TFs
ZNF580	TFs
ZFP41	TFs
HES5	TFs
HES6	TFs
THRA	TFs
SALL3	TFs
RFX4	TFs
KLF17	TFs
CREBRF	TFs
SOX10	TFs
ST18	TFs
SMAD3	TFs
NFIC	TFs
SP2	TFs
CIC	TFs
FOXJ2	TFs
CASZ1	TFs
ATF7	TFs
RFX1	TFs
FOXP4	TFs
SKI	TFs
KCNIP3	TFs
ZNF25	TFs
ZBTB18	TFs
HIF1A	TFs
TBR1	TFs
ZNF727	TFs
ZNF517	TFs
RBPJ	TFs
MITF	TFs
TFAP4	TFs
ZNF808	TFs
KLF5	TFs
PBX3	TFs
HEYL	TFs
FOXN2	TFs
JPH2	TFs
TEAD3	TFs
ZNF397	TFs
ZNF121	TFs
ZC3H8	TFs
NR1I2	TFs
ZNF697	TFs
RELA	TFs
RELB	TFs
ZNF286A	TFs
ZNF445	TFs
ZNF66	TFs
ZNF891	TFs
ZNF711	TFs
ZNF84	TFs
HOXB3	TFs
ZBTB8B	TFs
ZNF774	TFs
ZNF487	TFs
ZNF19	TFs
YY1	TFs
GRHL1	TFs
FOXN3	TFs
EPAS1	TFs
ZNF500	TFs
ZNF213	TFs
ZNF629	TFs
ZNF689	TFs
ZNF414	TFs
ZNF775	TFs
ZBTB43	TFs
ZNF646	TFs
ZNF248	TFs
ETV5	TFs
SALL4	TFs
SP140L	TFs
MEF2A	TFs
ESR2	TFs
ZHX2	TFs
PRDM4	TFs
NFIA	TFs
HIVEP1	TFs
BCL6B	TFs
EMX2	TFs
ESRRB	TFs
KLF6	TFs
JUNB	TFs
EGR2	TFs
NR4A3	TFs
FOS	TFs
EGR1	TFs
NR4A2	TFs
ZBED6	TFs
ZNF610	TFs
ATF3	TFs
RUNX2	TFs
MSC	TFs
ETS2	TFs
POU3F1	TFs
TEAD2	TFs
ZNF630	TFs
VSX1	TFs
ZNF182	TFs
ZFAT	TFs
IRF3	TFs
NR2F6	TFs
ZNF787	TFs
SLC2A4RG	TFs
KLF16	TFs
NACC1	TFs
NR1H2	TFs
ZNF561	TFs
ESRRA	TFs
ZNF581	TFs
SIX5	TFs
SOX4	TFs
RXRG	TFs
ZFHX3	TFs
ZBTB12	TFs
ZNF217	TFs
DBX2	TFs
FOXC1	TFs
MNT	TFs
ZSCAN25	TFs
ZNF786	TFs
ZKSCAN5	TFs
POU6F1	TFs
ZNF398	TFs
ZNF282	TFs
GTF2I	TFs
SP100	TFs
TFEC	TFs
PRDM1	TFs
SP140	TFs
ASCL1	TFs
MSX1	TFs
HEY1	TFs
ZEB2	TFs
AR	TFs
MYB	TFs
POU5F1B	TFs
ZNF860	TFs
ZBTB7C	TFs
ZNF33A	TFs
ZNF492	TFs
PPARD	TFs
ZBTB6	TFs
ZNF644	TFs
MYNN	TFs
ZNF354A	TFs
SMAD5	TFs
ZNF131	TFs
ZNF558	TFs
TCFL5	TFs
ZNF713	TFs
NACC2	TFs
ZBTB5	TFs
SIX4	TFs
ZNF521	TFs
ZNF395	TFs
MAFF	TFs
BHLHE40	TFs
ATF4	TFs
ENO1	TFs
MLXIP	TFs
TSHZ3	TFs
CDC5L	TFs
REL	TFs
ZNF484	TFs
ZBTB16	TFs
ELF2	TFs
ZNF837	TFs
FOXQ1	TFs
MXD1	TFs
ATOH8	TFs
ZNF493	TFs
ZNF69	TFs
ZNF606	TFs
ZNF852	TFs
ZNF433	TFs
ZNF254	TFs
SMAD4	TFs
NFE2	TFs
CEBPD	TFs
KLF9	TFs
TFCP2L1	TFs
FOXO1	TFs
ZNF366	TFs
TBX3	TFs
ZGLP1	TFs
SALL1	TFs
GATA2	TFs
ETV7	TFs
MXD4	TFs
NFATC4	TFs
TBX18	TFs
STAT4	TFs
ZBTB49	TFs
ZNF146	TFs
ZSCAN20	TFs
ZNF425	TFs
MECOM	TFs
HES1	TFs
NR3C2	TFs
NR2E1	TFs
ZFP69B	TFs
ZFP2	TFs
HLX	TFs
ZNF157	TFs
ZIC4	TFs
ZNF782	TFs
ETV4	TFs
KLF13	TFs
ZNF655	TFs
ZNF800	TFs
ZNF688	TFs
ZNF32	TFs
YY2	TFs
ZNF197	TFs
NR1D1	TFs
ZNF674	TFs
PEG3	TFs
ZNF215	TFs
PRDM2	TFs
ZNF483	TFs
TEF	TFs
RXRB	TFs
ATF6B	TFs
ZBTB22	TFs
ZKSCAN4	TFs
ZNF76	TFs
PBX2	TFs
MYBL1	TFs
FOXO4	TFs
ZNF214	TFs
ZNF22	TFs
ZNF530	TFs
ZEB1	TFs
CTCF	TFs
BACH2	TFs
ARNT2	TFs
ZNF362	TFs
POU3F3	TFs
ZFP69	TFs
RFX8	TFs
ZNF512	TFs
ARX	TFs
HES7	TFs
ZNF28	TFs
ZNF730	TFs
ZNF329	TFs
ZFP82	TFs
ZNF665	TFs
ZNF544	TFs
ZNF135	TFs
ZNF677	TFs
AHR	TFs
ZNF140	TFs
ZBTB1	TFs
SP3	TFs
ZNF510	TFs
NFKB1	TFs
LRRFIP1	TFs
XBP1	TFs
ZBTB7B	TFs
SP1	TFs
ZNF835	TFs
ZIC2	TFs
ZNF281	TFs
ZNF540	TFs
CC2D1B	TFs
ARNT	TFs
HNF4G	TFs
ZNF790	TFs
ZNF660	TFs
GABPA	TFs
MYBL2	TFs
E2F2	TFs
E2F8	TFs
FOXM1	TFs
E2F1	TFs
ZNF48	TFs
THAP11	TFs
ZSCAN29	TFs
PPARG	TFs
GSC	TFs
SIX1	TFs
RFX2	TFs
AHRR	TFs
ZNF701	TFs
EBF2	TFs
ZKSCAN2	TFs
RFX5	TFs
RUNX1	TFs
ZBED1	TFs
PLAG1	TFs
EGR3	TFs
NFIX	TFs
GTF2IRD1	TFs
ZNF142	TFs
SKOR1	TFs
RORA	TFs
SOX21	TFs
TCF7L1	TFs
POU3F4	TFs
IKZF2	TFs
GRHL3	TFs
ZNF423	TFs
ZBTB47	TFs
ZNF771	TFs
ZNF708	TFs
ZNF532	TFs
ZSCAN26	TFs
MAZ	TFs
ZNF668	TFs
SATB1	TFs
LBX2	TFs
ZNF10	TFs
ZNF691	TFs
SALL2	TFs
PRDM16	TFs
ZNF687	TFs
ZNF319	TFs
ZNF710	TFs
ZBTB10	TFs
ELF4	TFs
SPI1	TFs
ZNF555	TFs
SNAI1	TFs
ZBED4	TFs
ZSCAN16	TFs
ZNF821	TFs
ZNF280C	TFs
SP4	TFs
FOXL2	TFs
TBX2	TFs
TCF7L2	TFs
DBP	TFs
JUND	TFs
ZNF649	TFs
HSF2	TFs
RREB1	TFs
SOX5	TFs
Unknown_004	Metabolites
creatinine	Metabolites
glycerol_3_phosphate	Metabolites
myo_inositol	Metabolites
N_formylglycine	Metabolites
L_serine	Metabolites
cholesterol_(spectral_match)	Metabolites
linoleic_acid	Metabolites
porphine	Metabolites
L_alanine	Metabolites
2_hydroxyglutaric_acid	Metabolites
heptadecanoic_acid	Metabolites
L_cysteine	Metabolites
Unknown_019	Metabolites
Unknown_007	Metabolites
phosphoric_acid_(spectral_match)	Metabolites
Unknown_023	Metabolites
Unknown_046	Metabolites
homocysteine	Metabolites
DL_3_aminoisobutyric_acid__(spectral_match)	Metabolites
Unknown_045	Metabolites
hypotaurine	Metabolites
D_(_)_galactose	Metabolites
Unknown_027	Metabolites
putrescine	Metabolites
Unknown_049	Metabolites
Unknown_006	Metabolites
L_mimosine	Metabolites
propylene_glycol	Metabolites
Unknown_050	Metabolites
campesterol	Metabolites
L_pyroglutamic_acid	Metabolites
D_ribose_5_phosphate	Metabolites
Unknown_047	Metabolites
Unknown_015	Metabolites
galactitol	Metabolites
fructose	Metabolites
Unknown_002	Metabolites
D_fructose_6_phosphate	Metabolites
Unknown_017	Metabolites
Unknown_042	Metabolites
DL_isoleucine	Metabolites
L_methionine	Metabolites
L_glutamic_acid	Metabolites
scyllo_inositol	Metabolites
sucrose	Metabolites
pyrophosphate	Metabolites
L_2_aminoadipic_acid	Metabolites
pantothenic_acid	Metabolites
fumaric_acid	Metabolites
D_glucose	Metabolites
O_phosphocolamine	Metabolites
Unknown_035	Metabolites
Unknown_026	Metabolites
Unknown_012	Metabolites
Unknown_021	Metabolites
L_valine	Metabolites
Unknown_030	Metabolites
3_hydroxybutyric_acid	Metabolites
maltose	Metabolites
Unknown_036	Metabolites
D_mannose	Metabolites
L_lysine	Metabolites
Unknown_013	Metabolites
3_phosphoglycerate	Metabolites
Unknown_044	Metabolites
Unknown_038	Metabolites
citricacid	Metabolites
Unknown_051	Metabolites
Unknown_025	Metabolites
DL_2_Aminoadipic_acid_(spectral_match)	Metabolites
Unknown_018	Metabolites
Unknown_022	Metabolites
oleic_acid	Metabolites
Unknown_020	Metabolites
Unknown_016	Metabolites
Unknown_034	Metabolites
0	Module
1	Module
2	Module
3	Module
4	Module
6	Module
7	Module
8	Module
9	Module
10	Module
11	Module
12	Module
13	Module
14	Module
15	Module
16	Module
17	Module
18	Module
19	Module
20	Module
21	Module
22	Module
23	Module
24	Module
25	Module
26	Module
27	Module
28	Module
29	Module
30	Module
31	Module
32	Module
33	Module
35	Module
36	Module
38	Module
39	Module
40	Module
41	Module
42	Module
43	Module
44	Module
45	Module
46	Module
48	Module
49	Module
50	Module
51	Module
52	Module
55	Module
57	Module
58	Module
59	Module
60	Module
61	Module
62	Module
63	Module
64	Module
65	Module
66	Module
70	Module
71	Module
72	Module
73	Module
74	Module
75	Module
77	Module
78	Module
80	Module
81	Module
82	Module
83	Module
84	Module
85	Module
86	Module
91	Module
92	Module
94	Module
95	Module
96	Module
100	Module
101	Module
102	Module
103	Module
104	Module
105	Module
106	Module
108	Module
109	Module
110	Module
113	Module
114	Module
117	Module
121	Module
122	Module
123	Module
124	Module
126	Module
127	Module
