Regulator	Target	Score	Lemon_module	Type
H4_[8]_(K)_Ac	BPNT2	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	YIPF3	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	PDXDC1	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	ITM2B	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	LAPTM5	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	ARL1	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	HLA-C	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	TM9SF2	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	CCT2	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	APLP2	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	HSPA13	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	SERINC1	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	ITM2C	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	CDK6	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	TAX1BP1	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	SEMA4C	48.80028960892764	1	hPTMs-gene
H4_[8]_(K)_Ac	CD4	48.80028960892764	1	hPTMs-gene
H2A_[5]_(K)_Ac	BPNT2	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	YIPF3	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	PDXDC1	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	ITM2B	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	LAPTM5	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	ARL1	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	HLA-C	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	TM9SF2	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	CCT2	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	APLP2	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	HSPA13	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	SERINC1	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	ITM2C	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	CDK6	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	TAX1BP1	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	SEMA4C	9.331796763504329	1	hPTMs-gene
H2A_[5]_(K)_Ac	CD4	9.331796763504329	1	hPTMs-gene
H31_[9]_(K)_Unmod	BPNT2	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	YIPF3	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	PDXDC1	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	ITM2B	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	LAPTM5	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	ARL1	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	HLA-C	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	TM9SF2	6.508634136707865	1	hPTMs-gene
H31_[9]_(K)_Unmod	CCT2	6.508634136707865	1	hPTMs-gene
