Regulator	Targets
dl_lysine_HI	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
l_phenylalanine_C18	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
l_arginine_HI	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
l_gulonolactone_HI	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
n_acetyl_l_aspartic_acid_HI	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
pantothenic_acid_C18	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
3,5_di_tert_butylbenzaldehyde_C18	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4
3_methylhippuric_acid_HI	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
3_hydroxy_3_methylglutaric_acid_C18	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
o_phosphoethanolamine_HI	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1
