Regulator	Score	N_modules	N_targets	Modules	Targets
dl_lysine_HI	50.91852957373884	2.0	30.0	1|10	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
l_phenylalanine_C18	46.681358193875525	3.0	45.0	1|7|10	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
n6,n6,n6_trimethyl_l_lysine_HI	46.233183381718284	2.0	48.0	4|9	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
n6_methyladenine_C18	44.3468815210993	3.0	40.0	11|16|22	PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
3_methylhippuric_acid_HI	42.93699633034591	2.0	42.0	3|16	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
l_arginine_HI	31.715341440595104	4.0	57.0	1|7|10|13	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
creatinine_HI	16.613535225196035	3.0	57.0	4|7|22	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
n_acetyl_1_aspartylglutamic_acid_C18	14.796012945169535	2.0	27.0	7|13	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
choline_C18	13.053575413821662	2.0	48.0	4|9	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
n_acetylputrescine_C18	12.36195625082056	3.0	51.0	3|13|22	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
creatine_HI	12.346797666103942	1.0	11.0	22	NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
pantothenic_acid_C18	11.285735122071788	3.0	59.0	1|4|22	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
valylglycine_HI	10.999530097653423	2.0	42.0	3|16	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
3_hydroxy_3_methylglutaric_acid_C18	10.679111219372686	2.0	38.0	3|21	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
n_methyl_d_aspartic_acid__nmda__HI	10.369466048533553	2.0	27.0	7|13	BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
n_acetyl_l_aspartic_acid_HI	9.207560677643835	3.0	45.0	1|7|10	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A
