Regulator	Score	N_modules	N_targets	Modules	Targets
H4_[8]_(K)_Ac	190.26471287712616	6.0	99.0	1|3|7|10|13|16	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SLC26A2|ITM2B|LAPTM5|CCT2|APLP2|SERINC1|LMBRD1|SLC2A1|CDK6|TAX1BP1|SEMA4C|CD4|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H31_[14]_(K)_Ac	50.618807138525696	4.0	74.0	4|9|11|22	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1|PTPRJ|GGT1|PRKCD|ABR|SYTL1|IL1RAP|UBLCP1|RASSF2|TNFAIP8|PSMB8|CAPG|CASP1|MOB3A|B3GAT3|HCK|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H2A_[5]_(K)_Ac	48.80395166675066	4.0	75.0	1|4|7|13	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SEMA4D|BPNT2|CLPTM1|HSPA13|ITM2C|PRKACG|SLC39A6|PDXDC1|RRM2|RAB11B|DOHH|HLA-C
H31_[9]_(K)_Unmod	48.15277692125416	3.0	49.0	1|7|9	BPNT2|YIPF3|PDXDC1|ITM2B|LAPTM5|ARL1|HLA-C|TM9SF2|CCT2|APLP2|HSPA13|SERINC1|ITM2C|CDK6|TAX1BP1|SEMA4C|CD4|BPNT2|YIPF3|PDXDC1|SLC26A2|LPXN|HLA-B|HLA-C|HSPA13|ITM2C|KRI1|LMBRD1|SLC2A1|DMAC1|TMEM126B|HLA-A|SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1
H1_[16]_(K)_Bu	30.600146782322497	1.0	26.0	6	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2
H1_[21]_(K)_Ac	25.06346640346082	2.0	38.0	3|21	ATP5MG|SLC25A11|APAF1|NDUFA3|CORO1B|NDUFB8|PEX11B|MPDU1|NDUFA11|NDUFA2|GSTZ1|HSPB1|HDHD5|DHTKD1|DHRS7B|PLA2G15|NDUFB4|GNS|MLYCD|ERN2|SLC27A1|ADISSP|ACADVL|ACADS|NDUFB7|THNSL1|GK|MRM1|IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1
H4_[8]_(K)_Bu	23.658298333973	2.0	31.0	9|16	SERPINB8|INSR|CYBB|SYNE3|SSBP1|CD70|NDUFAF4|RHBDD1|GPR108|TONSL|PLD4|LAT2|ASS1|OCIAD2|MNDA|ATG7|PSAT1|MPO|LIG3|SLC27A2|MIF|CHCHD4|DYSF|GBE1|CIAO1|PTGES2|IGF1R|LSM2|COX17|PIGO|SNRPE
H1_[16]_(K)_Unmod	20.32707535556263	2.0	21.0	21|22	IPO4|PLRG1|MEST|RBM34|HRAS|SLC38A5|BUD31|COIL|BTAF1|GRSF1|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H1_[16]_(K)_Hib	18.131867883027546	2.0	37.0	6|22	HIBADH|MMAA|MYO18B|MRPL18|MRPL42|HSD17B10|NDUFA3|ACO2|GFM1|IDH3A|NDUFB8|MRPS10|NDUFA11|NDUFA2|ATP5F1D|ATPAF1|DNAJC19|HSPA9|TUFM|NDUFB4|MRPL46|MRPL2|MRPL53|MRPL22|MRPS17|CARS2|NAPRT|ACY1|ABR|STING1|CORO1B|GRN|CST3|UBLCP1|B3GAT3|HSPB1|NDRG1
H31_[27]_(K)_Me3	15.150344768516346	1.0	31.0	4	PTPRJ|ARID3A|SLC12A9|TREX1|TLR2|CD300LF|IAH1|GRN|ATG7|PRTN3|SERPINB8|SELENOT|CYBB|CYBA|HRAS|CD70|HEXB|CLGN|GNB2|SIRPA|EPB41L3|NDRG1|STX12|FCGR1A|ITGAL|ADAM9|AZU1|CST3|B3GAT3|SATB1|RHOT2
