Module	Module_genes	Coherence	TFs_regulators	Metabolites_regulators	Top_3_pathways_molecular_function	Top_3_pathways_cellular_component	Top_3_pathways_biological_process	Top_3_pathways_Reactome	Top_3_pathways_KEGG	PPI_FDR	PPI_fold_enrichment	MetGene_FDR	MetGene_fold_enrichment	MetGene_N_interactions	Functional_Cluster	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Expression_rank	Expression_adjusted_pval
12	ADAMTS14|SNAI1|PLAU|CPA4|STEAP1|PAX8|C6orf141|RAB38|CNN1|ITGA3|PAPPA|CAV1|TIMP1|HMGA2|EFEMP1|SRPX2|RUNX1|NNMT|GCNT1|SDC1|AHR|LRRFIP1|CHI3L1|SEL1L3|STAT3|LCTL|C3orf52|TEAD4|COL8A1|P4HA3|CXCL14|CFB|GDF15|CLDN23|CAV2|SLPI|CFI|FAM83G|SERPINE1|SPOCD1|C1S|CHRNA9|KLF5|PTPRU|ABCC3|MET|RARRES1|STC1|KCNN4|TAGLN|PODNL1|AHNAK2|IL11|CP|CCDC71L|MYBPH|CATSPERB|CLCF1|KLF17|TFPI2|IGFBP6|TC2N|CLDN1|PTGES|FBLN5|GJB2	0.6969126028515475	PBX1|VDR|CSRNP3|TFAP4|ZNF704|KLF12	homocysteine|Unknown_015|Unknown_042	Complement Receptor Activity (GO:0004875)|Cytokine Receptor Activity (GO:0004896)|G Protein-Coupled Peptide Receptor Activity (GO:0008528)	Tertiary Granule (GO:0070820)|Ficolin-1-Rich Granule (GO:0101002)|Ficolin-1-Rich Granule Membrane (GO:0101003)	Inflammatory Response (GO:0006954)|Complement Receptor Mediated Signaling Pathway (GO:0002430)|Regulation of Type II Interferon Production (GO:0032649)	Immune System|Signaling by Interleukins|Cytokine Signaling in Immune System	Cytokine-cytokine receptor interaction|Staphylococcus aureus infection|Complement and coagulation cascades	3.2277887451058788e-18	3.5629334818374256	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	1	1.0817178877129732e-07
10	CSPG5|MAP2|CADM2|FAM181B|ELAVL3|SOX8|THSD7A|OLIG2|NTRK3|PRR36|KCNQ2|NKAIN4|CDHR1|NCALD|SLIT1|BRSK2|ADD2|LRRTM3|PTPRD|CACNG7|CCER2|MAST1|BCAN|GRIA2|NXPH3|NRXN2|OLIG1|ROBO2|DSCAM|CSMD1|TMEM145|ZNF704|FAM131B|ASIC4|XKR4|BCHE|DGKB|MPPED2|NOL4|LRRTM2|TMEM132B|PIANP|NLGN3|ZDHHC22|TNR|FXYD6|NKAIN3|PURG|SEZ6L|CSRNP3|NRXN1|FGF14|KLF12	0.79331464422612	ZNF704|PURG|KLF12|STOX2|ZBTB12|CSRNP3|PATZ1|STAT6|RELB|SOX8|ZBTB7B	homocysteine	Calcium Channel Regulator Activity (GO:0005246)|Ion Channel Regulator Activity (GO:0099106)	GABA-ergic Synapse (GO:0098982)|Glutamatergic Synapse (GO:0098978)|Perineuronal Net (GO:0072534)	Nervous System Development (GO:0007399)|Postsynaptic Membrane Assembly (GO:0097104)|Postsynapse Assembly (GO:0099068)	Protein-protein Interactions at Synapses|Neuronal System|Neurexins and Neuroligins	Cell adhesion molecules|Axon guidance|Spinocerebellar ataxia	3.2277887451058788e-18	4.357630909390114	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	2	1.0817178877129732e-07
0	CELF4|CAMK2A|MTUS2|CRYM|PSD|SLC30A3|MPPED1|PHYHIP|KCNJ4|IQSEC3|HPCA|PRMT8|UNC5A|SLC8A2|HPCAL4|NEFM|CACNA1B|CAMK1G|SNCB|CHD5|SYP|DLGAP3|SYT5|SYT7|PPP2R2C|C4orf50|GABRB2|RBFOX1|STX1B|SLC12A5|SYNGR3|NEURL1|NRGN|DOC2A|SPTB|CREG2|ARHGDIG|GNG3|SYN1|SLC6A17|GPR83|MAP7D2|SLC17A7|PCP4L1|SYT1|RASAL1|MAS1|RTN4RL1|ICAM5|TMEM130|GABRD|FSTL4|SYT4|GALNTL6|CPLX1|KCTD16|CABP1|SV2C|GPR61|SYN2|EPHB6|VWA5B2|SNAP25|ATP2B3|RYR2|ATP8A2|VSTM2L|DDN|GLS2|ADAM11|PACSIN1	0.8536481022162666	MYT1L|ZNF619	creatinine	NA	NA	NA	NA	NA	6.783284039681102e-209	12.609343463186818	1.0	0.0	0	Cluster_0	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	4	1.0943945219317074e-07
1	LRFN2|GRM5|SGSM1|PRDM8|DYNC1I1|DOC2B|RIMS2|GRM7|STXBP5L|NEGR1|SLITRK1|DPP10|CNTN4|EPHA10|CACNA1E|LRRC7|BEX5|ANKS1B|GRIN2A|CNTN3|DOK6|STXBP6|NAP1L2|SLC7A14|ERC2|KHDRBS2|ATRNL1|KCNH1|ANK3|KCNK9|CDH8|NOS1|RUNDC3B|SNAP91|RELN|CNTNAP2|REPS2|GALNT9|PDE2A|CALN1|KCNH5|RIMBP2|MAGEE1|GNAL|KIF1A|AJAP1|SH3GL2|KSR2|NPM2|CDKL2|NMNAT2|FRRS1L|PNMA3|AMPH|CSMD3|ZFR2|GABRB3|ASPDH|KCNJ9|RIMS1|MCF2|WNK2|ADAMTS8|CACNA2D3|FGF13|NRG3|CACNA2D2|SAMD12	0.75648917624966	KCNIP3|MYT1L|SOX10|ZNF534|TFAP2E|ZNF215|ZNF727	creatinine	NA	NA	NA	NA	NA	9.40516830754125e-21	3.690404543632751	1.0	0.0	0	Cluster_0	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	5	1.0943945219317074e-07
46	PLA2R1|RUNX3|COL17A1|ZNF600|MAFK|PLAGL1|LTB|FAM110C|FER1L5|ABCA5|ST6GALNAC2|ACTR3C|GPR141|SELENBP1|RARRES2|SPAG17|SLC22A15|SREBF1|CFAP45|CLEC12A|PDLIM4|HLA-DQA1|HLA-DQB1|LPIN3|ITGA2|TFE3|VCAM1|MCOLN2|RARG|IRF4|XKRX|BHLHE41|MTTP|HLA-DRB5|C2orf50|LMNTD1|F2RL1|ESR1|OXER1|ZBTB7B|HSH2D|HTR1D|KLF2|FBLN1|KLHDC7B|PPL|CYB5R2|FOXP1|ASCL2|LOXL4|CTSW|ZNF710|GFI1|ASIP|RGS22|MYBPH|TPPP3|CCNO|AK7|RSPH9|ITK|LGALS12|STAT5A|TNFRSF11B|LRIG3|BANK1	0.5497498893103516	ZNF442|STAT6|ZNF577|ZNF254|ZNF285|ZBTB8B|ZNF891|PGBD1|ZBTB12|NFE2L2|ZSCAN16|ZEB1|RELB	2_hydroxyglutaric_acid	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)|Sequence-Specific DNA Binding (GO:0043565)	MHC Class II Protein Complex (GO:0042613)|Platelet Dense Granule Lumen (GO:0031089)|MHC Protein Complex (GO:0042611)	Positive Regulation of Cytokine Production (GO:0001819)|Regulation of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)|Alpha-Beta T Cell Differentiation (GO:0046632)	Generation of Second Messenger Molecules|Interferon Gamma Signaling|PD-1 Signaling	Th1 and Th2 cell differentiation|Th17 cell differentiation|Asthma	0.0042108981902547	1.7305676911781782	1.0	1.2900128040973111	1	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	9	1.0943945219317074e-07
63	CAV2|BNC2|SLPI|CFI|BDKRB2|TDO2|RFX8|MET|ATF1|PAX8|RAB38|SEMA3C|CD109|NFE2L2|KCNN4|PRLR|ABCA13|CAV1|EFEMP1|COL14A1|GCNT1|CATSPERB|SDC1|AHR|PI15|C9|IGFBP6|TC2N|FCGR2B	0.6887408258641188	ZNF704|RUNX2|HES5|FOSL2|ZNF674|NFKB1|NFIA|STAT6|PBX1	L_leucine|homocysteine	IgG Receptor Activity (GO:0019770)|Intramolecular Oxidoreductase Activity, Interconverting Aldoses and Ketoses (GO:0016861)|Patched Binding (GO:0005113)	Endosome Lumen (GO:0031904)	Positive Regulation of Response to Endoplasmic Reticulum Stress (GO:1905898)|Endocytosis Involved in Viral Entry Into Host Cell (GO:0075509)|Receptor-Mediated Endocytosis of Virus by Host Cell (GO:0019065)	Extra-nuclear Estrogen Signaling|NFE2L2 Regulating ER-stress Associated Genes|NOSTRIN Mediated eNOS Trafficking	Fluid shear stress and atherosclerosis|Bacterial invasion of epithelial cells|Complement and coagulation cascades	8.165627697907614e-05	3.764774541153339	1.0	2.935891209324915	2	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	10	1.0943945219317074e-07
59	FLT3|ACTRT3|CCDC158|APOB|SNX10|PRPH2|UNC5C|PAQR5|UBXN10|KCNE5|WFDC1|ME1|BVES|ALDH1A1|C16orf89|P2RY2|DMBT1|SELENBP1|IQCA1|ACADL|SIRPB1|CPAMD8|PADI2|KBTBD12|ZNF511|LRRC61|APLNR|HLA-DQA2|SOD3|GLDN|SERPINA5|LMOD1|PTCRA|NIPAL4|TUSC1|SLC7A2|CPXM2|CCL28|PLA2G7|ADIRF|CH25H|RPL39L|GSTM5|BHMT2|EMX2|GPC5|FBXO27|NACC2|IP6K3|TPD52L1|XK|NHLRC1|TFEB|AK7|GLUD2|NAV3|RASGEF1A|ZNF215	0.5007035125571788	MEF2C|IRF8|POU6F2|ZNF334|ZNF793|PPARG|LHX6|ZNF260	NA	1-Alkyl-2-Acetylglycerophosphocholine Esterase Activity (GO:0003847)|Adenylate Kinase Activity (GO:0004017)|Phosphotransferase Activity, Phosphate Group as Acceptor (GO:0016776)	Low-Density Lipoprotein Particle (GO:0034362)	Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)|Low-Density Lipoprotein Particle Remodeling (GO:0034374)|Negative Regulation of Hydrolase Activity (GO:0051346)	Metabolism|Retinoid Metabolism and Transport|Surfactant Metabolism	D-Glutamine and D-glutamate metabolism|Intestinal immune network for IgA production|PPAR signaling pathway	1.0	0.4623407331240942	NA	NA	NA	Cluster_3	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	11	1.1289025575395418e-07
17	ZBTB39|DRD2|ZKSCAN8|GTF2IRD2|ZNF362|ZNF454|ZNF445|SKOR1|FXYD2|PRDM15|POU6F1|TCF7L1|RFX7|ZNF354C|ZBED3|PBX1|ZNF337|NFIX|ADNP|ZNF785|SOX12|ZKSCAN2|ZNF287|CYP3A43|ZKSCAN3|ZNF514|GTF2IRD1|ZFP2|EBF4|ZNF774|ZSCAN26|ZNF70|ZNF391|ZNF589|IKZF4|ZNF34|ZFHX2|PRSS55|HIC2|FOXK2|ZNF709|ZNF236	0.6734732318218759	STAT6|ZNF445|ZFP2|PBX1|ZBED3|ZNF66|ZNF782|ZNF142|POU2F1|ZSCAN26|ZNF398|ZBTB8B|ZNF384	propylene_glycol|fructose|myo_inositol	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)|Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)|RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	Nucleus (GO:0005634)|Intracellular Membrane-Bounded Organelle (GO:0043231)	Regulation of Transcription by RNA Polymerase II (GO:0006357)|Regulation of DNA-templated Transcription (GO:0006355)|Negative Regulation of DNA-templated Transcription (GO:0045892)	Generic Transcription Pathway|Gene Expression (Transcription)|RNA Polymerase II Transcription	Herpes simplex virus 1 infection	0.4171086643295714	1.2680425283791734	1.0	0.0	0	Cluster_1	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	12	1.8315637235858034e-07
2	STYK1|NEFH|CPNE7|RBP4|CCSER1|SLC4A10|BSPRY|PRSS3|JAKMIP1|B3GNT4|RSPO2|PTPRR|KCNS1|SPTB|KCNH3|BEX5|KIRREL3|GDA|NELL1|HOOK1|SLC39A12|SCN2B|SNCA|CYP4X1|CCBE1|C1QTNF4|LHX6|CACNA1I|GRM1|SNCG|NPTX1|AK5|CRHBP|CCDC177|ICAM5|ENTPD3|MPP7|WNT10B|SLC26A8|HS6ST3|SOWAHB|NECAB1|TGFBR3L|GABRA2|VIPR1|PCLO|TBR1|CNTN5|SOWAHA|GRM2|EPHB6|POU6F2|SERPINI1|GRIN3A|TESPA1|ACVR1C|GLT1D1|CES4A|HS3ST2|CHGB|C11orf87|KIAA0319|KCNJ12|GRIP1|FBXO2	0.7213282591262183	MYT1L|POU6F2|ZNF808|NR1D1|HLF|ZNF532	creatinine|D_mannose|L_threonine	NA	NA	NA	NA	NA	0.0584808477360423	1.469710061257938	1.0	2.6197183098591545	6	Cluster_0	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	13	1.8315637235858034e-07
11	CR1|CCR2|IL10|LYVE1|CLEC10A|SLAMF8|FPR3|GPR84|TMEM150B|SERPINA1|SLC11A1|TNFRSF9|TNFRSF8|MCTP2|FPR2|LYZ|VENTX|CD163|HLX|P2RY8|DOK2|RHOH|IL7R|FAM20A|ASGR2|MRC1|BATF|TLR8|FOLR2|IL1R1|STAT6|SPI1|CD300LB|IL2RA|FPR1|VSIG4|PRDM1|PTGER2|LRG1|MAFB|FCGR2B|IL18R1|F13A1|HK3|GPR183	0.8255388620413862	BATF|MAFB|RUNX2|VDR|SPI1|VENTX|STAT6|IRF1	N_formylglycine|phosphoric_acid_(spectral_match)|creatinine	Complement Receptor Activity (GO:0004875)|Cytokine Receptor Activity (GO:0004896)|G Protein-Coupled Peptide Receptor Activity (GO:0008528)	Tertiary Granule (GO:0070820)|Ficolin-1-Rich Granule (GO:0101002)|Ficolin-1-Rich Granule Membrane (GO:0101003)	Inflammatory Response (GO:0006954)|Complement Receptor Mediated Signaling Pathway (GO:0002430)|Regulation of Type II Interferon Production (GO:0032649)	Immune System|Signaling by Interleukins|Cytokine Signaling in Immune System	Cytokine-cytokine receptor interaction|Staphylococcus aureus infection|Complement and coagulation cascades	9.758111002361973e-120	15.880503519046812	1.0	0.0	0	Cluster_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	14	2.430661169996026e-07
