source	target	Category	ArrowShape
MYT1L	Module_0	Other	
ZNF619	Module_0	Other	
creatinine	Module_0	Other	
KCNIP3	Module_1	Other	
MYT1L	Module_1	Other	
SOX10	Module_1	Other	
ZNF534	Module_1	Other	
TFAP2E	Module_1	Other	
ZNF215	Module_1	Other	
ZNF727	Module_1	Other	
creatinine	Module_1	Other	
MYT1L	Module_2	Other	
POU6F2	Module_2	Other	
ZNF808	Module_2	Other	
NR1D1	Module_2	Other	
HLF	Module_2	Other	
ZNF532	Module_2	Other	
creatinine	Module_2	Metabolic_pathway	DOT
D_mannose	Module_2	Other	
L_threonine	Module_2	Metabolic_pathway	DOT
ZNF112	Module_3	Other	
ZNF283	Module_3	Other	
ZNF566	Module_3	Other	
ZNF793	Module_3	Other	
ZNF254	Module_3	Other	
ZNF614	Module_3	Other	
ZNF573	Module_3	Other	
ZNF383	Module_3	Other	
ZNF527	Module_3	Other	
ZNF227	Module_3	Other	
Unknown_004	Module_3	Other	
VDR	Module_4	Other	
ZNF510	Module_4	Other	
SOX15	Module_4	Other	
FOSL2	Module_4	Other	
NFKB1	Module_4	Other	
CEBPB	Module_4	Other	
myo_inositol	Module_4	Metabolic_pathway	DOT
creatinine	Module_4	Metabolic_pathway	DOT
MYT1L	Module_5	Other	
MYT1	Module_5	Other	
STOX2	Module_5	Other	
creatinine	Module_5	Other	
L_cysteine	Module_5	Metabolic_pathway	DOT
capricacid	Module_5	Other	
ZNF730	Module_6	Other	
TCF4	Module_6	Other	
ZNF84	Module_6	Other	
ZNF891	Module_6	Other	
ZNF253	Module_6	Other	
ZNF254	Module_6	Other	
ZNF711	Module_6	Other	
ZNF197	Module_6	Other	
STAT6	Module_6	Other	
STAT3	Module_6	Other	
ZNF726	Module_6	Other	
ZNF431	Module_6	Other	
ZNF583	Module_6	Other	
ZNF141	Module_6	Other	
ZNF519	Module_6	Other	
Unknown_004	Module_6	Other	
D_fructose_6_phosphate	Module_6	Other	
capricacid	Module_6	Other	
FOXC2	Module_7	Other	
FOXS1	Module_7	Other	
PBX1	Module_7	Other	
TBX18	Module_7	Other	
HIC1	Module_7	Other	
SNAI2	Module_7	Other	
FOXL1	Module_7	Other	
ZBTB5	Module_7	Other	
ZNF572	Module_7	Other	
NFIB	Module_7	Other	
RUNX1	Module_7	Other	
TCF7L2	Module_7	Other	
ZKSCAN2	Module_7	Other	
TCF7L1	Module_7	Other	
2_hydroxyglutaric_acid	Module_7	Metabolic_pathway	DOT
porphine	Module_7	Other	
Unknown_019	Module_7	Other	
phosphoric_acid_(spectral_match)	Module_7	Other	
Unknown_042	Module_7	Other	
Unknown_044	Module_7	Other	
FOXJ1	Module_8	Other	
ZNF396	Module_8	Other	
ZNF169	Module_8	Other	
N_formylglycine	Module_8	Other	
L_serine	Module_8	Other	
ZNF45	Module_9	Other	
ZNF776	Module_9	Other	
ZNF616	Module_9	Other	
ZNF814	Module_9	Other	
ZNF17	Module_9	Other	
ZNF548	Module_9	Other	
ZNF599	Module_9	Other	
ZNF350	Module_9	Other	
ZNF841	Module_9	Other	
ZNF417	Module_9	Other	
Unknown_004	Module_9	Other	
Unknown_050	Module_9	Other	
ZNF704	Module_10	Other	
PURG	Module_10	Other	
KLF12	Module_10	Other	
STOX2	Module_10	Other	
ZBTB12	Module_10	Other	
CSRNP3	Module_10	Other	
PATZ1	Module_10	Other	
STAT6	Module_10	Other	
RELB	Module_10	Other	
SOX8	Module_10	Other	
ZBTB7B	Module_10	Other	
homocysteine	Module_10	Other	
BATF	Module_11	Other	
MAFB	Module_11	Other	
RUNX2	Module_11	Other	
VDR	Module_11	Other	
SPI1	Module_11	Other	
VENTX	Module_11	Other	
STAT6	Module_11	Other	
IRF1	Module_11	Other	
N_formylglycine	Module_11	Other	
phosphoric_acid_(spectral_match)	Module_11	Other	
creatinine	Module_11	Other	
PBX1	Module_12	Other	
VDR	Module_12	Other	
CSRNP3	Module_12	Other	
TFAP4	Module_12	Other	
ZNF704	Module_12	Other	
KLF12	Module_12	Other	
homocysteine	Module_12	Other	
Unknown_015	Module_12	Other	
Unknown_042	Module_12	Other	
MYRF	Module_13	Other	
ST18	Module_13	Other	
ZSCAN25	Module_13	Other	
MYT1L	Module_13	Other	
SOX10	Module_13	Other	
ZNF726	Module_13	Other	
STAT2	Module_13	Other	
ZNF572	Module_13	Other	
L_mimosine	Module_13	Other	
cholesterol_(spectral_match)	Module_13	Other	
propylene_glycol	Module_13	Other	
heptadecanoic_acid	Module_13	Metabolic_pathway	DOT
Unknown_006	Module_13	Other	
HES6	Module_14	Other	
HES5	Module_14	Other	
ASCL1	Module_14	Other	
MAX	Module_14	Other	
PBX1	Module_14	Other	
ZNF711	Module_14	Other	
THRA	Module_14	Other	
ZHX2	Module_14	Other	
CREB3L1	Module_14	Other	
SNAI1	Module_14	Other	
ATF5	Module_14	Other	
L_alanine	Module_14	Other	
creatinine	Module_14	Other	
MYT1L	Module_15	Other	
ZBTB18	Module_15	Other	
SATB1	Module_15	Other	
SOX10	Module_15	Other	
POU6F2	Module_15	Other	
ETV7	Module_15	Other	
KCNIP3	Module_15	Other	
MYCL	Module_15	Other	
pyrophosphate	Module_15	Other	
Unknown_050	Module_15	Other	
2_hydroxyglutaric_acid	Module_15	Other	
propylene_glycol	Module_15	Other	
KLF8	Module_16	Other	
ZNF558	Module_16	Other	
ZNF208	Module_16	Other	
POU6F2	Module_16	Other	
NPAS3	Module_16	Other	
ST18	Module_16	Other	
E2F5	Module_16	Other	
SOX10	Module_16	Other	
ZNF727	Module_16	Other	
RUNX2	Module_16	Other	
ZNF536	Module_16	Other	
creatinine	Module_16	Metabolic_pathway	DOT
Unknown_011	Module_16	Other	
DL_3_aminoisobutyric_acid__(spectral_match)	Module_16	Other	
STAT6	Module_17	Other	
ZNF445	Module_17	Other	
ZFP2	Module_17	Other	
PBX1	Module_17	Other	
ZBED3	Module_17	Other	
ZNF66	Module_17	Other	
ZNF782	Module_17	Other	
ZNF142	Module_17	Other	
POU2F1	Module_17	Other	
ZSCAN26	Module_17	Other	
ZNF398	Module_17	Other	
ZBTB8B	Module_17	Other	
ZNF384	Module_17	Other	
propylene_glycol	Module_17	Other	
fructose	Module_17	Other	
myo_inositol	Module_17	Other	
IKZF3	Module_18	Other	
hypotaurine	Module_18	Other	
DL_3_aminoisobutyric_acid__(spectral_match)	Module_18	Other	
THRA	Module_19	Other	
MLX	Module_19	Other	
DBP	Module_19	Other	
GRHL3	Module_19	Other	
RFX4	Module_19	Other	
KLF15	Module_19	Other	
ZBTB47	Module_19	Other	
PRDM4	Module_19	Other	
HLF	Module_19	Other	
ZBTB5	Module_19	Other	
homocysteine	Module_19	Other	
Unknown_046	Module_19	Other	
pyrophosphate	Module_19	Other	
SIX1	Module_20	Other	
ZNF649	Module_20	Other	
STAT6	Module_20	Other	
ZBTB12	Module_20	Other	
NR6A1	Module_20	Other	
KLF17	Module_20	Other	
E2F1	Module_20	Other	
myo_inositol	Module_20	Metabolic_pathway	DOT
Unknown_017	Module_20	Other	
3_phosphoglycerate	Module_20	Other	
MYT1L	Module_21	Other	
OLIG1	Module_21	Other	
OLIG2	Module_21	Other	
ELK1	Module_21	Other	
ZNF649	Module_21	Other	
SOX8	Module_21	Other	
MYCN	Module_21	Other	
OSR1	Module_21	Other	
RORA	Module_21	Other	
STOX2	Module_21	Other	
creatinine	Module_21	Metabolic_pathway	DOT
MYT1	Module_23	Other	
ZBTB12	Module_23	Other	
SOX11	Module_23	Other	
ZNF217	Module_23	Other	
SOX8	Module_23	Other	
ZNF107	Module_23	Other	
ZNF69	Module_23	Other	
NR2C2	Module_23	Other	
2_hydroxyglutaric_acid	Module_23	Other	
creatinine	Module_23	Other	
scyllo_inositol	Module_23	Other	
glycerol_3_phosphate	Module_23	Metabolic_pathway	DOT
Unknown_031	Module_23	Other	
IKZF1	Module_24	Other	
LYL1	Module_24	Other	
CEBPA	Module_24	Other	
SNAI3	Module_24	Other	
IRF8	Module_24	Other	
ZFHX4	Module_24	Other	
Unknown_027	Module_24	Other	
MEF2A	Module_25	Other	
ESR2	Module_25	Other	
ZBED1	Module_25	Other	
TFAP4	Module_25	Other	
MXD3	Module_25	Other	
NFIB	Module_25	Other	
SALL3	Module_25	Other	
NR2F1	Module_25	Other	
HES6	Module_25	Other	
myo_inositol	Module_25	Other	
scyllo_inositol	Module_25	Other	
ZNF500	Module_26	Other	
CC2D1A	Module_26	Other	
ZNF775	Module_26	Other	
ZBTB45	Module_26	Other	
ZNF444	Module_26	Other	
ZNF853	Module_26	Other	
SLC2A4RG	Module_26	Other	
ZNF835	Module_26	Other	
ZNF333	Module_26	Other	
ZNF24	Module_27	Other	
SP3	Module_27	Other	
SP4	Module_27	Other	
ELF4	Module_27	Other	
