Module,Database,Term,p.adjust,__direction__,__source__,GO_ID
10,BP,Nervous System Development (GO:0007399),1.12382468295671e-06,Up,EnrichR,GO:0007399
10,BP,Postsynaptic Membrane Assembly (GO:0097104),2.82693984335041e-05,Up,EnrichR,GO:0097104
10,BP,Postsynapse Assembly (GO:0099068),5.88988257336073e-05,Up,EnrichR,GO:0099068
10,BP,Regulation of Synapse Assembly (GO:0051963),5.88988257336073e-05,Up,EnrichR,GO:0051963
10,BP,Presynaptic Membrane Assembly (GO:0097105),6.29694688381678e-05,Up,EnrichR,GO:0097105
10,BP,Presynaptic Membrane Organization (GO:0097090),7.85647012481185e-05,Up,EnrichR,GO:0097090
10,BP,Membrane Assembly (GO:0071709),0.0001363028545888,Up,EnrichR,GO:0071709
10,BP,Synapse Assembly (GO:0007416),0.0001363028545888,Up,EnrichR,GO:0007416
10,BP,Neuron Cell-Cell Adhesion (GO:0007158),0.0002248499211644,Up,EnrichR,GO:0007158
10,BP,Postsynaptic Membrane Organization (GO:0001941),0.0002819697323392,Up,EnrichR,GO:0001941
10,BP,Presynapse Assembly (GO:0099054),0.0002819697323392,Up,EnrichR,GO:0099054
10,BP,Axonogenesis (GO:0007409),0.0003876440162105,Up,EnrichR,GO:0007409
10,BP,"Positive Regulation of Synaptic Transmission, Glutamatergic (GO:0051968)",0.0006487903919291,Up,EnrichR,GO:0051968
10,BP,Synapse Organization (GO:0050808),0.0009047641987662,Up,EnrichR,GO:0050808
10,BP,Imitative Learning (GO:0098596),0.0013024431977551,Up,EnrichR,GO:0098596
10,BP,Postsynaptic Density Protein 95 Clustering (GO:0097119),0.0013024431977551,Up,EnrichR,GO:0097119
10,BP,Vocal Learning (GO:0042297),0.0013024431977551,Up,EnrichR,GO:0042297
10,BP,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742),0.0015921971202394,Up,EnrichR,GO:0098742
10,BP,Postsynaptic Density Assembly (GO:0097107),0.0017450517380992,Up,EnrichR,GO:0097107
10,BP,Positive Regulation of Synapse Assembly (GO:0051965),0.0017491932147279,Up,EnrichR,GO:0051965
10,BP,Anterograde Trans-Synaptic Signaling (GO:0098916),0.0021780315289532,Up,EnrichR,GO:0098916
10,BP,Cell Junction Assembly (GO:0034329),0.0021780315289532,Up,EnrichR,GO:0034329
10,BP,Auditory Behavior (GO:0031223),0.0024672552556305,Up,EnrichR,GO:0031223
10,BP,Learned Vocalization Behavior or Vocal Learning (GO:0098598),0.0024672552556305,Up,EnrichR,GO:0098598
10,BP,Postsynaptic Density Organization (GO:0097106),0.0024672552556305,Up,EnrichR,GO:0097106
10,BP,Positive Regulation of Nervous System Development (GO:0051962),0.0041550417545645,Up,EnrichR,GO:0051962
10,BP,"Regulation of Synaptic Transmission, Glutamatergic (GO:0051966)",0.0042381921622555,Up,EnrichR,GO:0051966
10,BP,Neuron Projection Guidance (GO:0097485),0.0047669013608172,Up,EnrichR,GO:0097485
10,BP,Presynapse Organization (GO:0099172),0.0049795798296831,Up,EnrichR,GO:0099172
10,BP,Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156),0.005538028962104,Up,EnrichR,GO:0007156
101,BP,Negative Regulation of DNA-templated Transcription (GO:0045892),0.005263725088109,Up,EnrichR,GO:0045892
101,BP,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),0.0126871854173817,Up,EnrichR,GO:0000122
101,BP,Cellular Response to Iron Ion (GO:0071281),0.0404538053337741,Up,EnrichR,GO:0071281
101,BP,Regulation of Aldosterone Biosynthetic Process (GO:0032347),0.0404538053337741,Up,EnrichR,GO:0032347
101,BP,Regulation of Transcription by RNA Polymerase II (GO:0006357),0.0404538053337741,Up,EnrichR,GO:0006357
101,BP,Type B Pancreatic Cell Development (GO:0003323),0.0404538053337741,Up,EnrichR,GO:0003323
103,BP,External Encapsulating Structure Organization (GO:0045229),0.0153443765054083,Up,EnrichR,GO:0045229
103,BP,Extracellular Structure Organization (GO:0043062),0.0153443765054083,Up,EnrichR,GO:0043062
103,BP,Regulation of DNA-templated Transcription (GO:0006355),0.0159632515824707,Up,EnrichR,GO:0006355
103,BP,Regulation of Transcription by RNA Polymerase II (GO:0006357),0.0159632515824707,Up,EnrichR,GO:0006357
103,BP,Extracellular Matrix Organization (GO:0030198),0.0162486344045083,Up,EnrichR,GO:0030198
103,BP,Limb Development (GO:0060173),0.0495534445794525,Up,EnrichR,GO:0060173
11,BP,Inflammatory Response (GO:0006954),1.37204821270508e-07,Up,EnrichR,GO:0006954
11,BP,Complement Receptor Mediated Signaling Pathway (GO:0002430),1.94330577004703e-06,Up,EnrichR,GO:0002430
11,BP,Regulation of Type II Interferon Production (GO:0032649),7.69575152056485e-06,Up,EnrichR,GO:0032649
11,BP,Cytokine-Mediated Signaling Pathway (GO:0019221),1.19552271167239e-05,Up,EnrichR,GO:0019221
11,BP,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),1.7077598584446e-05,Up,EnrichR,GO:0002429
11,BP,Positive Regulation of Type II Interferon Production (GO:0032729),1.7077598584446e-05,Up,EnrichR,GO:0032729
11,BP,Negative Regulation of Production of Molecular Mediator of Immune Response (GO:0002701),4.50256978016808e-05,Up,EnrichR,GO:0002701
11,BP,Negative Regulation of Lymphocyte Proliferation (GO:0050672),0.0001532505645731,Up,EnrichR,GO:0050672
11,BP,Positive Regulation of T-helper 1 Type Immune Response (GO:0002827),0.0001532505645731,Up,EnrichR,GO:0002827
11,BP,Negative Regulation of Cytokine Production (GO:0001818),0.0002233339268227,Up,EnrichR,GO:0001818
11,BP,Positive Regulation of Cytokine Production (GO:0001819),0.0003629565791145,Up,EnrichR,GO:0001819
11,BP,Regulation of Lymphocyte Differentiation (GO:0045619),0.0004466853805033,Up,EnrichR,GO:0045619
11,BP,Intracellular Signaling Cassette (GO:0141124),0.0005350548167264,Up,EnrichR,GO:0141124
11,BP,Negative Regulation of Multicellular Organismal Process (GO:0051241),0.0006307396642363,Up,EnrichR,GO:0051241
11,BP,Negative Regulation of Immune Response (GO:0050777),0.0006535964192257,Up,EnrichR,GO:0050777
11,BP,Regulation of B Cell Activation (GO:0050864),0.0007877129557792,Up,EnrichR,GO:0050864
11,BP,Regulation of Monocyte Chemotaxis (GO:0090025),0.0010510073181578,Up,EnrichR,GO:0090025
11,BP,Regulation of Cytokine Production (GO:0001817),0.0012153650019893,Up,EnrichR,GO:0001817
11,BP,Positive Regulation of T-helper 1 Cell Cytokine Production (GO:2000556),0.0012509664178372,Up,EnrichR,GO:2000556
11,BP,Regulation of Immunoglobulin Production (GO:0002637),0.0012509664178372,Up,EnrichR,GO:0002637
11,BP,Regulation of T-helper 1 Cell Cytokine Production (GO:2000554),0.0012509664178372,Up,EnrichR,GO:2000554
11,BP,Positive Regulation of Immune Response (GO:0050778),0.0014852160145086,Up,EnrichR,GO:0050778
11,BP,Negative Regulation of T Cell Proliferation (GO:0042130),0.002129949640287,Up,EnrichR,GO:0042130
11,BP,Negative Regulation of Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002924),0.0027907520742022,Up,EnrichR,GO:0002924
11,BP,Negative Regulation of Leukocyte Degranulation (GO:0043301),0.0027907520742022,Up,EnrichR,GO:0043301
11,BP,Regulation of B Cell Proliferation (GO:0030888),0.0027907520742022,Up,EnrichR,GO:0030888
11,BP,Regulation of Dendritic Cell Antigen Processing and Presentation (GO:0002604),0.0027907520742022,Up,EnrichR,GO:0002604
11,BP,Regulation of T Cell Differentiation (GO:0045580),0.0030654664121462,Up,EnrichR,GO:0045580
11,BP,Positive Regulation of Innate Immune Response (GO:0045089),0.0031344448639337,Up,EnrichR,GO:0045089
11,BP,Regulation of Complement-Dependent Cytotoxicity (GO:1903659),0.0031344448639337,Up,EnrichR,GO:1903659
12,BP,Inflammatory Response (GO:0006954),1.37204821270508e-07,Up,EnrichR,GO:0006954
12,BP,Complement Receptor Mediated Signaling Pathway (GO:0002430),1.94330577004703e-06,Up,EnrichR,GO:0002430
12,BP,Regulation of Type II Interferon Production (GO:0032649),7.69575152056485e-06,Up,EnrichR,GO:0032649
12,BP,Cytokine-Mediated Signaling Pathway (GO:0019221),1.19552271167239e-05,Up,EnrichR,GO:0019221
12,BP,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),1.7077598584446e-05,Up,EnrichR,GO:0002429
12,BP,Positive Regulation of Type II Interferon Production (GO:0032729),1.7077598584446e-05,Up,EnrichR,GO:0032729
12,BP,Negative Regulation of Production of Molecular Mediator of Immune Response (GO:0002701),4.50256978016808e-05,Up,EnrichR,GO:0002701
12,BP,Negative Regulation of Lymphocyte Proliferation (GO:0050672),0.0001532505645731,Up,EnrichR,GO:0050672
12,BP,Positive Regulation of T-helper 1 Type Immune Response (GO:0002827),0.0001532505645731,Up,EnrichR,GO:0002827
12,BP,Negative Regulation of Cytokine Production (GO:0001818),0.0002233339268227,Up,EnrichR,GO:0001818
12,BP,Positive Regulation of Cytokine Production (GO:0001819),0.0003629565791145,Up,EnrichR,GO:0001819
12,BP,Regulation of Lymphocyte Differentiation (GO:0045619),0.0004466853805033,Up,EnrichR,GO:0045619
12,BP,Intracellular Signaling Cassette (GO:0141124),0.0005350548167264,Up,EnrichR,GO:0141124
12,BP,Negative Regulation of Multicellular Organismal Process (GO:0051241),0.0006307396642363,Up,EnrichR,GO:0051241
12,BP,Negative Regulation of Immune Response (GO:0050777),0.0006535964192257,Up,EnrichR,GO:0050777
12,BP,Regulation of B Cell Activation (GO:0050864),0.0007877129557792,Up,EnrichR,GO:0050864
12,BP,Regulation of Monocyte Chemotaxis (GO:0090025),0.0010510073181578,Up,EnrichR,GO:0090025
12,BP,Regulation of Cytokine Production (GO:0001817),0.0012153650019893,Up,EnrichR,GO:0001817
12,BP,Positive Regulation of T-helper 1 Cell Cytokine Production (GO:2000556),0.0012509664178372,Up,EnrichR,GO:2000556
12,BP,Regulation of Immunoglobulin Production (GO:0002637),0.0012509664178372,Up,EnrichR,GO:0002637
12,BP,Regulation of T-helper 1 Cell Cytokine Production (GO:2000554),0.0012509664178372,Up,EnrichR,GO:2000554
12,BP,Positive Regulation of Immune Response (GO:0050778),0.0014852160145086,Up,EnrichR,GO:0050778
12,BP,Negative Regulation of T Cell Proliferation (GO:0042130),0.002129949640287,Up,EnrichR,GO:0042130
12,BP,Negative Regulation of Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002924),0.0027907520742022,Up,EnrichR,GO:0002924
12,BP,Negative Regulation of Leukocyte Degranulation (GO:0043301),0.0027907520742022,Up,EnrichR,GO:0043301
12,BP,Regulation of B Cell Proliferation (GO:0030888),0.0027907520742022,Up,EnrichR,GO:0030888
12,BP,Regulation of Dendritic Cell Antigen Processing and Presentation (GO:0002604),0.0027907520742022,Up,EnrichR,GO:0002604
12,BP,Regulation of T Cell Differentiation (GO:0045580),0.0030654664121462,Up,EnrichR,GO:0045580
12,BP,Positive Regulation of Innate Immune Response (GO:0045089),0.0031344448639337,Up,EnrichR,GO:0045089
12,BP,Regulation of Complement-Dependent Cytotoxicity (GO:1903659),0.0031344448639337,Up,EnrichR,GO:1903659
13,BP,Myelination (GO:0042552),3.55419622964828e-08,Up,EnrichR,GO:0042552
13,BP,Oligodendrocyte Development (GO:0014003),2.11324619143952e-06,Up,EnrichR,GO:0014003
13,BP,Galactolipid Biosynthetic Process (GO:0019375),0.0001305730140248,Up,EnrichR,GO:0019375
13,BP,Galactosylceramide Biosynthetic Process (GO:0006682),0.0001305730140248,Up,EnrichR,GO:0006682
13,BP,Glycosylceramide Biosynthetic Process (GO:0046476),0.0001767010534048,Up,EnrichR,GO:0046476
13,BP,Oligodendrocyte Differentiation (GO:0048709),0.0001767010534048,Up,EnrichR,GO:0048709
13,BP,Axon Ensheathment in Central Nervous System (GO:0032291),0.0002130644812483,Up,EnrichR,GO:0032291
13,BP,Galactosylceramide Metabolic Process (GO:0006681),0.0002130644812483,Up,EnrichR,GO:0006681
13,BP,Glial Cell Development (GO:0021782),0.0002130644812483,Up,EnrichR,GO:0021782
13,BP,Central Nervous System Myelination (GO:0022010),0.0008448976964957,Up,EnrichR,GO:0022010
13,BP,Glial Cell Differentiation (GO:0010001),0.0144193734682468,Up,EnrichR,GO:0010001
13,BP,Central Nervous System Development (GO:0007417),0.0165555781613793,Up,EnrichR,GO:0007417
13,BP,Myelin Assembly (GO:0032288),0.039936379671416,Up,EnrichR,GO:0032288
14,BP,Negative Regulation of Neuron Differentiation (GO:0045665),0.0010624570251542,Up,EnrichR,GO:0045665
14,BP,Positive Regulation of DNA-templated Transcription (GO:0045893),0.0010624570251542,Up,EnrichR,GO:0045893
14,BP,Regulation of Transcription by RNA Polymerase II (GO:0006357),0.0010624570251542,Up,EnrichR,GO:0006357
14,BP,Glial Cell Differentiation (GO:0010001),0.0010690857995101,Up,EnrichR,GO:0010001
14,BP,Astrocyte Differentiation (GO:0048708),0.0012262835864158,Up,EnrichR,GO:0048708
14,BP,Chondrocyte Differentiation (GO:0002062),0.0012262835864158,Up,EnrichR,GO:0002062
14,BP,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),0.0012262835864158,Up,EnrichR,GO:0045944
14,BP,Regulation of DNA-templated Transcription (GO:0006355),0.0012262835864158,Up,EnrichR,GO:0006355
14,BP,Regulation of Nervous System Development (GO:0051960),0.0020166024357075,Up,EnrichR,GO:0051960
14,BP,Regulation of Cell Development (GO:0060284),0.0028030461020083,Up,EnrichR,GO:0060284
14,BP,Cartilage Development (GO:0051216),0.0033536546691832,Up,EnrichR,GO:0051216
14,BP,Regulation of Neurogenesis (GO:0050767),0.0047562021232339,Up,EnrichR,GO:0050767
14,BP,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),0.0049475383835663,Up,EnrichR,GO:0000122
14,BP,Negative Regulation of DNA-templated Transcription (GO:0045892),0.0054477471077407,Up,EnrichR,GO:0045892
14,BP,Regulation of Neuron Differentiation (GO:0045664),0.0057759055114774,Up,EnrichR,GO:0045664
14,BP,Negative Regulation of Myoblast Differentiation (GO:0045662),0.0060203135160974,Up,EnrichR,GO:0045662
14,BP,Negative Regulation of Cell Differentiation (GO:0045596),0.0092004881367091,Up,EnrichR,GO:0045596
14,BP,Glial Cell Development (GO:0021782),0.0111961217407727,Up,EnrichR,GO:0021782
14,BP,Potassium Ion Transport (GO:0006813),0.0203446465380581,Up,EnrichR,GO:0006813
14,BP,Potassium Ion Transmembrane Transport (GO:0071805),0.022541823903833,Up,EnrichR,GO:0071805
14,BP,Connective Tissue Development (GO:0061448),0.0304956749949612,Up,EnrichR,GO:0061448
14,BP,Notch Signaling Pathway (GO:0007219),0.0305314992510455,Up,EnrichR,GO:0007219
14,BP,Brain Development (GO:0007420),0.0379343623204761,Up,EnrichR,GO:0007420
14,BP,Proteoglycan Biosynthetic Process (GO:0030166),0.0379343623204761,Up,EnrichR,GO:0030166
14,BP,Eye Development (GO:0001654),0.0487367885527383,Up,EnrichR,GO:0001654
14,BP,Regulation of Myoblast Differentiation (GO:0045661),0.0487367885527383,Up,EnrichR,GO:0045661
15,BP,Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543),0.0375596091629637,Up,EnrichR,GO:0008543
16,BP,Cardiac Muscle Cell Action Potential Involved in Contraction (GO:0086002),0.133830631514672,Up,EnrichR,GO:0086002
16,BP,Cardiac Muscle Tissue Development (GO:0048738),0.133830631514672,Up,EnrichR,GO:0048738
16,BP,Cellular Response to Hormone Stimulus (GO:0032870),0.133830631514672,Up,EnrichR,GO:0032870
17,BP,Regulation of Transcription by RNA Polymerase II (GO:0006357),6.46902035391539e-28,Up,EnrichR,GO:0006357
17,BP,Regulation of DNA-templated Transcription (GO:0006355),1.39443727030744e-22,Up,EnrichR,GO:0006355
17,BP,Negative Regulation of DNA-templated Transcription (GO:0045892),5.01695083546025e-05,Up,EnrichR,GO:0045892
17,BP,Negative Regulation of Transcription by RNA Polymerase II (GO:0000122),0.0001160557517458,Up,EnrichR,GO:0000122
17,BP,Positive Regulation of Transcription by RNA Polymerase II (GO:0045944),0.0074661839263593,Up,EnrichR,GO:0045944
17,BP,Positive Regulation of DNA-templated Transcription (GO:0045893),0.0089680676361763,Up,EnrichR,GO:0045893
18,BP,T Cell Activation (GO:0042110),4.14609338847727e-10,Up,EnrichR,GO:0042110
18,BP,Regulation of T Cell Activation (GO:0050863),4.05286393963052e-06,Up,EnrichR,GO:0050863
18,BP,Regulation of Lymphocyte Activation (GO:0051249),0.0001551585058818,Up,EnrichR,GO:0051249
18,BP,Regulation of Lymphocyte Differentiation (GO:0045619),0.0001551585058818,Up,EnrichR,GO:0045619
18,BP,T Cell Receptor Signaling Pathway (GO:0050852),0.0003235070014168,Up,EnrichR,GO:0050852
18,BP,Natural Killer Cell Mediated Cytotoxicity (GO:0042267),0.0004487797149544,Up,EnrichR,GO:0042267
18,BP,Natural Killer Cell Mediated Immunity (GO:0002228),0.0004487797149544,Up,EnrichR,GO:0002228
18,BP,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.0004523934820869,Up,EnrichR,GO:0050851
18,BP,Positive Regulation of T Cell Activation (GO:0050870),0.0004523934820869,Up,EnrichR,GO:0050870
18,BP,Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0042269),0.0004523934820869,Up,EnrichR,GO:0042269
18,BP,Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167),0.0005203765645029,Up,EnrichR,GO:0007167
18,BP,Positive Regulation of Cell-Cell Adhesion (GO:0022409),0.0010185647482103,Up,EnrichR,GO:0022409
18,BP,Positive Regulation of Cytokine Production (GO:0001819),0.0012914510650544,Up,EnrichR,GO:0001819
18,BP,Positive Regulation of Type II Interferon Production (GO:0032729),0.0012914510650544,Up,EnrichR,GO:0032729
18,BP,Regulation of Cell-Cell Adhesion Mediated by Integrin (GO:0033632),0.0012914510650544,Up,EnrichR,GO:0033632
18,BP,Positive Regulation of T Cell Proliferation (GO:0042102),0.0016805953192538,Up,EnrichR,GO:0042102
18,BP,Positive Regulation of Lymphocyte Proliferation (GO:0050671),0.0026216563256176,Up,EnrichR,GO:0050671
18,BP,Regulation of T Cell Proliferation (GO:0042129),0.0030939886800154,Up,EnrichR,GO:0042129
18,BP,Regulation of Type II Interferon Production (GO:0032649),0.0034857037762768,Up,EnrichR,GO:0032649
18,BP,Positive Regulation of Cell Adhesion Mediated by Integrin (GO:0033630),0.0036358126840148,Up,EnrichR,GO:0033630
18,BP,Alpha-Beta T Cell Activation (GO:0046631),0.0039688719816464,Up,EnrichR,GO:0046631
18,BP,Immunoglobulin Mediated Immune Response (GO:0016064),0.0039688719816464,Up,EnrichR,GO:0016064
18,BP,Regulation of B Cell Differentiation (GO:0045577),0.0039688719816464,Up,EnrichR,GO:0045577
