Module,Database,Term,p.adjust
10,BP,Nervous System Development (GO:0007399),1.12382468295671e-06
10,BP,Postsynaptic Membrane Assembly (GO:0097104),2.82693984335041e-05
10,BP,Postsynapse Assembly (GO:0099068),5.88988257336073e-05
10,BP,Regulation of Synapse Assembly (GO:0051963),5.88988257336073e-05
10,BP,Presynaptic Membrane Assembly (GO:0097105),6.29694688381678e-05
10,BP,Presynaptic Membrane Organization (GO:0097090),7.85647012481185e-05
10,BP,Membrane Assembly (GO:0071709),0.000136302854588807
10,BP,Synapse Assembly (GO:0007416),0.000136302854588807
10,BP,Neuron Cell-Cell Adhesion (GO:0007158),0.000224849921164481
10,BP,Postsynaptic Membrane Organization (GO:0001941),0.000281969732339264
10,BP,Presynapse Assembly (GO:0099054),0.000281969732339264
10,BP,Axonogenesis (GO:0007409),0.000387644016210557
10,BP,"Positive Regulation of Synaptic Transmission, Glutamatergic (GO:0051968)",0.00064879039192918
10,BP,Synapse Organization (GO:0050808),0.000904764198766225
10,BP,Imitative Learning (GO:0098596),0.00130244319775517
10,BP,Postsynaptic Density Protein 95 Clustering (GO:0097119),0.00130244319775517
10,BP,Vocal Learning (GO:0042297),0.00130244319775517
10,BP,Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742),0.00159219712023948
10,BP,Postsynaptic Density Assembly (GO:0097107),0.00174505173809923
10,BP,Positive Regulation of Synapse Assembly (GO:0051965),0.00174919321472796
10,BP,Anterograde Trans-Synaptic Signaling (GO:0098916),0.00217803152895328
10,BP,Cell Junction Assembly (GO:0034329),0.00217803152895328
10,BP,Auditory Behavior (GO:0031223),0.0024672552556305
10,BP,Learned Vocalization Behavior or Vocal Learning (GO:0098598),0.0024672552556305
10,BP,Postsynaptic Density Organization (GO:0097106),0.0024672552556305
10,BP,Positive Regulation of Nervous System Development (GO:0051962),0.00415504175456458
10,BP,"Regulation of Synaptic Transmission, Glutamatergic (GO:0051966)",0.00423819216225557
10,BP,Neuron Projection Guidance (GO:0097485),0.00476690136081729
10,BP,Presynapse Organization (GO:0099172),0.00497957982968312
10,BP,Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156),0.00553802896210406
10,BP,Chemical Synaptic Transmission (GO:0007268),0.00641968704014028
10,BP,Axon Guidance (GO:0007411),0.00688112426220571
10,BP,Positive Regulation of Cell Junction Assembly (GO:1901890),0.00688112426220571
10,BP,Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235),0.00843009649161613
10,BP,Protein Localization to Synapse (GO:0035418),0.00843009649161613
10,BP,Positive Regulation of Synaptic Transmission (GO:0050806),0.0129102698076517
10,BP,Positive Regulation of Excitatory Postsynaptic Potential (GO:2000463),0.0146845889836997
10,BP,Receptor Clustering (GO:0043113),0.0168969642678238
10,BP,Axon Development (GO:0061564),0.0237840829604057
10,BP,Modulation of Excitatory Postsynaptic Potential (GO:0098815),0.0246292392327107
10,BP,Signal Release From Synapse (GO:0099643),0.0271918088680258
10,BP,Neurotransmitter Secretion (GO:0007269),0.0298116635469201
10,BP,Regulation of Sodium Ion Transport (GO:0002028),0.0324829393366829
10,BP,Regulation of Axonogenesis (GO:0050770),0.0334516769197754
10,BP,Regulation of Metal Ion Transport (GO:0010959),0.0344180899520886
10,BP,Learning (GO:0007612),0.0426231401031838
10,BP,Neurotransmitter Transport (GO:0006836),0.0445394227433891
10,BP,Positive Regulation of Chemotaxis (GO:0050921),0.0445394227433891
10,BP,Regulation of Trans-Synaptic Signaling (GO:0099177),0.0454927246669118
10,BP,Central Nervous System Development (GO:0007417),0.0457970947216655
10,CC,GABA-ergic Synapse (GO:0098982),0.00149864861479941
10,CC,Glutamatergic Synapse (GO:0098978),0.00306385837005619
10,CC,Perineuronal Net (GO:0072534),0.00306385837005619
10,CC,Perisynaptic Extracellular Matrix (GO:0098966),0.00306385837005619
10,CC,Postsynaptic Specialization Membrane (GO:0099634),0.004646939002139
