Regulator	Targets
creatinine	CELF4|CAMK2A|MTUS2|CRYM|PSD|SLC30A3|MPPED1|PHYHIP|KCNJ4|IQSEC3|HPCA|PRMT8|UNC5A|SLC8A2|HPCAL4|NEFM|CACNA1B|CAMK1G|SNCB|CHD5|SYP|DLGAP3|SYT5|SYT7|PPP2R2C|C4orf50|GABRB2|RBFOX1|STX1B|SLC12A5|SYNGR3|NEURL1|NRGN|DOC2A|SPTB|CREG2|ARHGDIG|GNG3|SYN1|SLC6A17|GPR83|MAP7D2|SLC17A7|PCP4L1|SYT1|RASAL1|MAS1|RTN4RL1|ICAM5|TMEM130|GABRD|FSTL4|SYT4|GALNTL6|CPLX1|KCTD16|CABP1|SV2C|GPR61|SYN2|EPHB6|VWA5B2|SNAP25|ATP2B3|RYR2|ATP8A2|VSTM2L|DDN|GLS2|ADAM11|PACSIN1|LRFN2|GRM5|SGSM1|PRDM8|DYNC1I1|DOC2B|RIMS2|GRM7|STXBP5L|NEGR1|SLITRK1|DPP10|CNTN4|EPHA10|CACNA1E|LRRC7|BEX5|ANKS1B|GRIN2A|CNTN3|DOK6|STXBP6|NAP1L2|SLC7A14|ERC2|KHDRBS2|ATRNL1|KCNH1|ANK3|KCNK9|CDH8|NOS1|RUNDC3B|SNAP91|RELN|CNTNAP2|REPS2|GALNT9|PDE2A|CALN1|KCNH5|RIMBP2|MAGEE1|GNAL|KIF1A|AJAP1|SH3GL2|KSR2|NPM2|CDKL2|NMNAT2|FRRS1L|PNMA3|AMPH|CSMD3|ZFR2|GABRB3|ASPDH|KCNJ9|RIMS1|MCF2|WNK2|ADAMTS8|CACNA2D3|FGF13|NRG3|CACNA2D2|SAMD12|STYK1|NEFH|CPNE7|RBP4|CCSER1|SLC4A10|BSPRY|PRSS3|JAKMIP1|B3GNT4|RSPO2|PTPRR|KCNS1|SPTB|KCNH3|BEX5|KIRREL3|GDA|NELL1|HOOK1|SLC39A12|SCN2B|SNCA|CYP4X1|CCBE1|C1QTNF4|LHX6|CACNA1I|GRM1|SNCG|NPTX1|AK5|CRHBP|CCDC177|ICAM5|ENTPD3|MPP7|WNT10B|SLC26A8|HS6ST3|SOWAHB|NECAB1|TGFBR3L|GABRA2|VIPR1|PCLO|TBR1|CNTN5|SOWAHA|GRM2|EPHB6|POU6F2|SERPINI1|GRIN3A|TESPA1|ACVR1C|GLT1D1|CES4A|HS3ST2|CHGB|C11orf87|KIAA0319|KCNJ12|GRIP1|FBXO2|LILRA6|SLC16A10|CCL2|IL1B|GPR84|LILRA5|SLC39A8|BIRC3|IL1A|S100A9|SOD2|SOCS3|IER3|CXCL8|FPR2|TNFSF14|THBS1|AQP9|TNFAIP2|OSM|LILRB3|THBD|C15orf48|HSD11B1|RELB|CFB|CXCL5|TGFBI|TNFSF15|CXCL3|CEBPB|NFKB2|FFAR2|ANPEP|NAMPT|LIF|TREML2|BCL2A1|CHI3L2|SAA2|FCAR|S100A8|KCNJ15|PTX3|IL1RN|CXCL2|TREM1|IL6|CEBPD|VDR|ADAM8|NFKB1|MMP19|PTGS2|BHLHE40|PLAUR|FCN1|IL32|G0S2|CXCL1|ICAM1|FOSL2|SHANK2|SMPD3|MYT1L|SRRM3|SEPTIN3|CELF5|CDH22|GAD1|DUSP26|COL26A1|SHISA7|TAGLN3|ATCAY|SCN3B|ELAVL4|FBXL16|HECW1|CELF3|STMN2|SYN3|NECAB2|OPCML|CRHR1|FRRS1L|SPTBN2|MARCHF4|GRIN2B|PAK3|LINGO1|BRSK2|CHRNB2|SRRM4|UBE2QL1|SYT16|PRKCZ|STMN4|ATP1A3|ELFN2|CDK5R1|BEX1|GDAP1L1|XKR7|RAB3C|RUNDC3A|CAMSAP3|JPH4|TMEM151B|CR1|CCR2|IL10|LYVE1|CLEC10A|SLAMF8|FPR3|GPR84|TMEM150B|SERPINA1|SLC11A1|TNFRSF9|TNFRSF8|MCTP2|FPR2|LYZ|VENTX|CD163|HLX|P2RY8|DOK2|RHOH|IL7R|FAM20A|ASGR2|MRC1|BATF|TLR8|FOLR2|IL1R1|STAT6|SPI1|CD300LB|IL2RA|FPR1|VSIG4|PRDM1|PTGER2|LRG1|MAFB|FCGR2B|IL18R1|F13A1|HK3|GPR183|SOX2|TFDP2|HES5|SLC5A12|TNFRSF13C|KCNK2|THRA|MASP1|PRRT4|NR2F1|MSTN|PHYHIPL|ZNF664|ST6GAL2|SALL3|KCNH7|B3GAT2|KCNT2|CRB1|ZHX2|NFIB|ASXL3|CHST9|HES6|GADD45G|CNTFR|IGSF9|NFIA|CA8|DLL1|RHBDL3|CXXC4|ZSCAN31|SOX5|ZBTB18|FLT3|CCNA1|TENM3|ANO5|KLRC1|CRTAC1|ZNF727|APOB|VAT1L|ASB2|AFF2|SERTAD4|ME1|P2RY2|ECHDC3|ACADL|PCBP3|CYP7B1|KCNA3|THNSL2|THSD7B|PKP2|KBTBD12|ZNF492|NGEF|RAB27B|NPY1R|LY6H|TPBG|ZNF697|NPFFR1|TUSC3|RNF128|ADAMTSL3|GREB1L|PARM1|PRSS35|ARHGAP36|FAM133A|L1CAM|PPP1R1A|ZNF208|ISLR2|FBXL2|CYGB|NNAT|KLF8|PTPRN|COX7A1|PDE1A|BHMT2|PKD2L1|PCP4|HGF|TRAM1L1|TMEM200A|PLCXD3|SCN5A|MRAP2|RXRG|ADRA2A|GFRA2|COL11A1|SYNDIG1L|BAMBI|NAV3|STEAP1B|SVIP|CALB1|NRXN3|TENM2|ETS2|SLC44A5|PTGFR|ACTRT3|PRDM8|CCDC158|AKR1C1|ABI3BP|AKR1C3|CYS1|SELL|CA4|PRPH2|UBXN10|SULT1C2|NDN|NPTX2|TMEM98|ADRA2C|C16orf89|ATP2C2|TMEM229A|ANXA3|KCNA5|IQCA1|BMP6|ZNF124|SPATA18|NAALAD2|PPP4R4|SULF1|MALRD1|PPFIA2|PRKCB|ZNF518B|RGS4|TRIM17|GPR68|GPR27|RNF207|SLC27A2|RNF43|RNF212|TDRD9|CDH13|ADAMTSL1|ADAMTS16|GHR|PABPC5|F5|ZNF831|CCDC85A|TUSC1|TRIM54|ARHGAP28|AQP3|SOX17|MSX2|MAGEE1|COL19A1|CPXM2|PLA2G7|ADIRF|GAS2|RPL39L|CYP26B1|SLIT2|PDE11A|TLL1|IP6K3|TPD52L1|NHLRC1|TNNT1|SYT14|WBP2NL|SUSD5|RANBP17|ADAMTS8|TFAP2C|RCAN2|RASGEF1A|ZNF215|ZNF732|SGCD|SCN9A|GIPR|MIPOL1|GPC3|LAMP5|SHANK1|HLF|DAB1|GLB1L3|SCG3|RTN4RL2|RIT2|CDK5R2|RAP1GAP|GAD1|MGAT5B|CGREF1|ADCY1|SREBF2|LOXHD1|ATP2B2|EEF1A2|BSN|OLFM1|PLD5|RIMS4|RGS7BP|ARNT2|CAMK4|PIANP|RGS7|MMD2|NRSN1|OPRD1|HRK|DIRAS2|RPH3A|DDX25|CNTNAP5|KCNA2|SHISA9|UNC13A|PTPRT|KCNB1|PEG3|BEX1|MMP24|KCNC1|ABCC8|CLVS1|ZMAT4|DISP2|FOXO6|TRIM71|NEU4|MYT1|LHFPL3|FLRT1|DLL3|MN1|DCX|C2orf80|TSPAN11|RCOR2|GRIK2|TOX3|PROM1|PCDH15|KIAA1755|MDFI|MEGF11|COL9A1|SEMA5B|FBN3|ZBTB12|RGR|SOX11|MEIS3|DGKI|TSHZ1|SNTG1|GPC2|PATZ1|COL20A1|NAT16|NKAIN1|ZFP69B|SNX22|FHDC1|SOX4|C1QL1|VAX2|ONECUT2|MEX3A|NR4A1|FOS|EGR1|ATF3|SRF|NR4A2|RGS1|FOSB|EGR3|JUNB|NR4A3|JUN|CSRNP1|EGR2|KLF6|CREM|KLF4|LAMP5|CASQ2|GLB1L3|PNMA6A|RAP1GAP|CPNE7|TRIM54|ISLR2|SLC4A10|LOXHD1|VSTM5|KIF1A|OGDHL|TGFBR3L|TBR1|CAMK4|TEF|SOWAHA|KCNA3|KCNH3|KIRREL3|SCUBE1|VSTM2A|ARX|PTH2R|CBLN4|STXBP6|ZCCHC12|ST6GALNAC5|PRRG3|CACNB2|NGEF|BRINP1|CCBE1|SLC27A2|KCNJ6|NPTX1|FAM131C|C11orf87|RTN4R|TENM2|SPRN|GABRB1|ZMAT4
D_mannose	STYK1|NEFH|CPNE7|RBP4|CCSER1|SLC4A10|BSPRY|PRSS3|JAKMIP1|B3GNT4|RSPO2|PTPRR|KCNS1|SPTB|KCNH3|BEX5|KIRREL3|GDA|NELL1|HOOK1|SLC39A12|SCN2B|SNCA|CYP4X1|CCBE1|C1QTNF4|LHX6|CACNA1I|GRM1|SNCG|NPTX1|AK5|CRHBP|CCDC177|ICAM5|ENTPD3|MPP7|WNT10B|SLC26A8|HS6ST3|SOWAHB|NECAB1|TGFBR3L|GABRA2|VIPR1|PCLO|TBR1|CNTN5|SOWAHA|GRM2|EPHB6|POU6F2|SERPINI1|GRIN3A|TESPA1|ACVR1C|GLT1D1|CES4A|HS3ST2|CHGB|C11orf87|KIAA0319|KCNJ12|GRIP1|FBXO2|FOXF2|FOXL2|FOXL2NB|NODAL|ZNF366|BCL6B|NKD2|XPNPEP2|LRRC36|SPATA22|MECOM|KIT|TBX3|FOXQ1|TMEM45B|ST6GALNAC1|ERG|VWA2|LAMP5|CASQ2|GLB1L3|PNMA6A|RAP1GAP|CPNE7|TRIM54|ISLR2|SLC4A10|LOXHD1|VSTM5|KIF1A|OGDHL|TGFBR3L|TBR1|CAMK4|TEF|SOWAHA|KCNA3|KCNH3|KIRREL3|SCUBE1|VSTM2A|ARX|PTH2R|CBLN4|STXBP6|ZCCHC12|ST6GALNAC5|PRRG3|CACNB2|NGEF|BRINP1|CCBE1|SLC27A2|KCNJ6|NPTX1|FAM131C|C11orf87|RTN4R|TENM2|SPRN|GABRB1|ZMAT4|ZNF396|SLC47A2|MYZAP|AGT|A2ML1|RFX2|GCOM1|NWD1|ENTPD2|GMPR|MFAP4
L_threonine	STYK1|NEFH|CPNE7|RBP4|CCSER1|SLC4A10|BSPRY|PRSS3|JAKMIP1|B3GNT4|RSPO2|PTPRR|KCNS1|SPTB|KCNH3|BEX5|KIRREL3|GDA|NELL1|HOOK1|SLC39A12|SCN2B|SNCA|CYP4X1|CCBE1|C1QTNF4|LHX6|CACNA1I|GRM1|SNCG|NPTX1|AK5|CRHBP|CCDC177|ICAM5|ENTPD3|MPP7|WNT10B|SLC26A8|HS6ST3|SOWAHB|NECAB1|TGFBR3L|GABRA2|VIPR1|PCLO|TBR1|CNTN5|SOWAHA|GRM2|EPHB6|POU6F2|SERPINI1|GRIN3A|TESPA1|ACVR1C|GLT1D1|CES4A|HS3ST2|CHGB|C11orf87|KIAA0319|KCNJ12|GRIP1|FBXO2
Unknown_004	ZNF429|ZNF461|ZNF573|ZNF420|ZNF577|ZNF829|ZNF439|ZNF583|ZNF30|ZNF559|ZNF100|ZNF607|ZNF254|ZFP30|ZNF814|ZNF616|ZNF793|ZNF585A|ZNF606|ZNF235|ZNF480|ZFP14|ZNF569|ZNF567|ZNF493|ZNF675|ZNF615|ZNF221|ZNF283|ZNF226|ZNF546|ZNF772|ZNF180|ZNF780A|ZNF302|ZNF383|ZNF8|ZNF790|ZNF260|ZNF529|ZNF43|ZNF227|ZNF14|ZNF112|ZNF181|ZNF285|ZNF571|ZNF570|ZNF568|ZNF91|ZNF431|ZNF527|ZNF418|ZNF253|ZNF222|ZNF614|ZNF780B|ZNF146|ZNF677|ZNF566|ZNF613|ZBTB8A|PGBD1|ZNF131|ZC3H8|SP4|ZBTB26|ZNF649|ZNF605|ZNF90|CREB1|ZNF491|DCC|ZSCAN9|ZNF891|ZNF397|ZNF10|ZFP62|ZNF292|ZNF286A|ZNF595|ZNF24|TCF4|ZNF84|SMAD4|ZFP37|ZNF300|ZNF510|ZSCAN16|ZFP1|ZNF138|ZNF93|ZNF35|ZNF726|ZNF85|ZNF195|ZFP90|ZNF66|ZNF512|ZNF850|TCF12|ZNF620|ZNF669|ZNF184|VEZF1|ZNF501|ZNF250|ZNF197|ZNF737|ZBTB8B|ZNF519|ZNF141|NR2C2|ZNF782|ZNF660|ZSCAN23|SMAD5|ZNF682|ZNF781|FOXN2|ZNF678|ZNF879|ZNF286B|MYBL1|ZNF852|ZNF382|ZNF132|ZNF799|ZNF20|ZIK1|ZNF160|ZNF773|ZNF223|ZNF791|ZNF583|ZNF460|ZNF473|ZNF587B|ZNF699|ZNF841|ZNF417|ZNF749|ZNF121|ZNF416|ZNF317|ZNF761|ZNF433|ZNF701|ZNF616|ZNF45|ZNF347|ZNF558|ZNF586|ZNF44|ZNF264|ZNF441|ZNF284|ZNF470|ZNF561|ZNF700|ZNF528|ZNF615|ZNF543|ZNF547|ZNF530|ZNF836|ZNF557|ZNF430|ZNF230|ZNF562|ZNF77|ZNF175|ZNF442|ZNF350|ZNF835|ZNF611|ZNF440|ZNF551|ZNF419|ZNF772|ZNF234|ZNF333|ZNF471|ZNF304|ZNF766|ZSCAN22|ZNF343|ZNF443|ZNF17|ZNF667|ZNF599|ZNF627|ZNF83|ZNF320|ZNF671|ZNF136|ZNF765|ZNF548|ZNF181|ZNF845|ZNF565|ZNF155|ZNF585B|ZNF549|ZNF582|ZNF563|ZNF225|ZNF57|ZNF550|ZNF587|ZNF71|ZNF776|ZNF805|ZNF763|ZNF432|ZNF823|ZNF211|ZNF426|ZNF134|ZNF224|ZNF177|ANKRD20A1|ZSCAN32|ZNF266|ZNF133|ZNF443|NFXL1|ZGLP1|ZNF490|MGA|ZFP28|HINFP|ZNF714|ZNF564|ZNF544|ZNF880|NR2C1|ZSCAN5A|ZNF202|ZNF354B|ZNF844|ZNF594|ZNF345|ZNF763|ZNF232|ZNF334|ZNF808|ZNF619|ZNF546|ZNF461|ZNF780A|ZNF573|ZNF420|ZNF383|ZNF577|ZNF8|ZNF829|ZNF439|ZNF790|ZNF30|ZNF559|ZNF320|ZNF260|ZNF529|ZFP30|ZNF14|ZNF285|ZNF571|ZNF814|ZNF793|ZNF570|ZNF568|ZNF585A|ZNF606|ZNF235|ZNF480|ZFP14|ZNF569|ZNF626|ZNF567|ZNF493|ZNF527|ZNF345|ZNF780B|ZNF146|ZNF677|ZNF566
myo_inositol	LILRA6|SLC16A10|CCL2|IL1B|GPR84|LILRA5|SLC39A8|BIRC3|IL1A|S100A9|SOD2|SOCS3|IER3|CXCL8|FPR2|TNFSF14|THBS1|AQP9|TNFAIP2|OSM|LILRB3|THBD|C15orf48|HSD11B1|RELB|CFB|CXCL5|TGFBI|TNFSF15|CXCL3|CEBPB|NFKB2|FFAR2|ANPEP|NAMPT|LIF|TREML2|BCL2A1|CHI3L2|SAA2|FCAR|S100A8|KCNJ15|PTX3|IL1RN|CXCL2|TREM1|IL6|CEBPD|VDR|ADAM8|NFKB1|MMP19|PTGS2|BHLHE40|PLAUR|FCN1|IL32|G0S2|CXCL1|ICAM1|FOSL2|ZBTB39|DRD2|ZKSCAN8|GTF2IRD2|ZNF362|ZNF454|ZNF445|SKOR1|FXYD2|PRDM15|POU6F1|TCF7L1|RFX7|ZNF354C|ZBED3|PBX1|ZNF337|NFIX|ADNP|ZNF785|SOX12|ZKSCAN2|ZNF287|CYP3A43|ZKSCAN3|ZNF514|GTF2IRD1|ZFP2|EBF4|ZNF774|ZSCAN26|ZNF70|ZNF391|ZNF589|IKZF4|ZNF34|ZFHX2|PRSS55|HIC2|FOXK2|ZNF709|ZNF236|EFNA5|FAT4|DMKN|PLA2R1|MGST1|LMNTD1|DCHS2|COL4A6|ANGPT1|ANKEF1|SEMA3A|COL4A5|ENPP5|CYP4F3|CYP39A1|C19orf81|COL4A3|SYDE2|ZNF214|HSPB8|CD109|CRB2|LRAT|STEAP2|ENPP4|SPEF2|MROH7-TTC4|PHYHD1|LPIN3|IGSF1|XKRX|PAWR|NDNF|COL21A1|BHLHE41|AMIGO2|SEC14L6|FAM78B|RGS17|CNTNAP3B|GNA14|PTPRH|ZFX|SRPX|ESR2|CPNE8|ELMOD1|PTCHD4|NPAS2|ZNF436|EDA2R|BDNF|TGFA|DIRAS3|CNTNAP3|SCG2|RYR3|PCSK1|HTR4|GRIA1|SCN7A|AIRE|TRPM8|COL22A1|IGF2BP2|ZNF69|ZKSCAN8|PGBD1|ZNF454|ZNF445|ZNF721|FXYD2|ZNF512|NR6A1|ZNF354C|ZSCAN9|ZKSCAN2|ZNF595|ZNF287|ZKSCAN3|ZFP2|NR2C2|ZNF782|ZNF71|ZSCAN26|ZNF391|ZNF594|POU2F1|ZNF781|ZNF510|ZNF879|ZNF709|ZNF852|ZNF382|SMPDL3B|LEF1|LRRC3|AGBL1|GLI1|FOXS1|MIA|SOX18|EBF1|CLIC5|NMUR1|ZNF217|CEACAM1|SP100|ITGA2|CD274|ETV6|IRF1|PLSCR1|ERAP2|IRF2|APOL1|GBP5|SIGLEC1|PYGM|THBS4|EFCC1|ZNF174|GLI1|ZBTB40|AVIL|PTCH1|CLIC5|SCUBE3
L_cysteine	SHANK2|SMPD3|MYT1L|SRRM3|SEPTIN3|CELF5|CDH22|GAD1|DUSP26|COL26A1|SHISA7|TAGLN3|ATCAY|SCN3B|ELAVL4|FBXL16|HECW1|CELF3|STMN2|SYN3|NECAB2|OPCML|CRHR1|FRRS1L|SPTBN2|MARCHF4|GRIN2B|PAK3|LINGO1|BRSK2|CHRNB2|SRRM4|UBE2QL1|SYT16|PRKCZ|STMN4|ATP1A3|ELFN2|CDK5R1|BEX1|GDAP1L1|XKR7|RAB3C|RUNDC3A|CAMSAP3|JPH4|TMEM151B
capricacid	SHANK2|SMPD3|MYT1L|SRRM3|SEPTIN3|CELF5|CDH22|GAD1|DUSP26|COL26A1|SHISA7|TAGLN3|ATCAY|SCN3B|ELAVL4|FBXL16|HECW1|CELF3|STMN2|SYN3|NECAB2|OPCML|CRHR1|FRRS1L|SPTBN2|MARCHF4|GRIN2B|PAK3|LINGO1|BRSK2|CHRNB2|SRRM4|UBE2QL1|SYT16|PRKCZ|STMN4|ATP1A3|ELFN2|CDK5R1|BEX1|GDAP1L1|XKR7|RAB3C|RUNDC3A|CAMSAP3|JPH4|TMEM151B|ZBTB8A|PGBD1|ZNF131|ZC3H8|SP4|ZBTB26|ZNF649|ZNF605|ZNF90|CREB1|ZNF491|DCC|ZSCAN9|ZNF891|ZNF397|ZNF10|ZFP62|ZNF292|ZNF286A|ZNF595|ZNF24|TCF4|ZNF84|SMAD4|ZFP37|ZNF300|ZNF510|ZSCAN16|ZFP1|ZNF138|ZNF93|ZNF35|ZNF726|ZNF85|ZNF195|ZFP90|ZNF66|ZNF512|ZNF850|TCF12|ZNF620|ZNF669|ZNF184|VEZF1|ZNF501|ZNF250|ZNF197|ZNF737|ZBTB8B|ZNF519|ZNF141|NR2C2|ZNF782|ZNF660|ZSCAN23|SMAD5|ZNF682|ZNF781|FOXN2|ZNF678|ZNF879|ZNF286B|MYBL1|ZNF852|ZNF382
D_fructose_6_phosphate	ZBTB8A|PGBD1|ZNF131|ZC3H8|SP4|ZBTB26|ZNF649|ZNF605|ZNF90|CREB1|ZNF491|DCC|ZSCAN9|ZNF891|ZNF397|ZNF10|ZFP62|ZNF292|ZNF286A|ZNF595|ZNF24|TCF4|ZNF84|SMAD4|ZFP37|ZNF300|ZNF510|ZSCAN16|ZFP1|ZNF138|ZNF93|ZNF35|ZNF726|ZNF85|ZNF195|ZFP90|ZNF66|ZNF512|ZNF850|TCF12|ZNF620|ZNF669|ZNF184|VEZF1|ZNF501|ZNF250|ZNF197|ZNF737|ZBTB8B|ZNF519|ZNF141|NR2C2|ZNF782|ZNF660|ZSCAN23|SMAD5|ZNF682|ZNF781|FOXN2|ZNF678|ZNF879|ZNF286B|MYBL1|ZNF852|ZNF382|RFX4|ADIG|GLI3|HOMEZ|C10orf62|PRDM5|SMAD3|GHRHR|TCF7L2|BCO1|RFX2|HEY1|ZNF846|UBQLN3|ZNF275|COL28A1|POU5F1B|GLI2|ZFHX4|SERPINI2|NTN5|TRIL|KRTAP5-9|CRYBB3|TEAD1|SOX13|TRPS1|AR|TBX6|GLIS2|KCNE2|ZNF521|EXO5|PEG10|ZNF404|ZNF229|PCDHB3|ZNF274|ZNF681|PCDHGA1|PCDHGB1|TEX15|PCDHB4|ZNF578|ZNF695|PCDHB2|ZNF610|CD24|ZNF670|PCDHA11|PCDHA2|FAM218A|PCDHB5|PCDHA10|SLC9C2|DCDC1|CFAP54|DTHD1|RSPH4A|DNAH6|ANKRD45|NEK5|DNAI1|DLEC1|DNAH5|EFHC2|ZMYND10|CFAP43|RSPH1|VWA3A|LRRC74B|FOXJ1|VWA3B|TTC29|MAK|C8orf34|ZNF487|MORN5|DRC1|PRR29|TEKT1|CFAP52|CCDC65|ANKUB1|DRC7|ZBBX|DYNLRB2|CFAP126|ROPN1L|ZNF165|WDR93|EXPH5|IGSF5|C7orf57|HYDIN|DNAAF1|CFAP57|SPEF1|SDR42E2|C6orf118
2_hydroxyglutaric_acid	ESM1|STRA6|MMP11|FOXC1|RFX8|ITGA8|COL12A1|COL13A1|LTBP2|KRT18|PLA1A|PAPPA|COL3A1|LOXL1|MGP|PHLDA2|MMP9|VGLL3|CTHRC1|HEYL|MEDAG|HTRA3|CFH|FAP|KDELR3|ADAMTS2|ASPN|ITGBL1|CYP1B1|COL6A3|COL6A2|ARSI|GPX8|ISLR|COL5A1|ACTG2|PTGIS|LUM|COL1A1|FOXL1|DCN|KRT8|FHL2|HIC1|FOXC2|COL1A2|EBF2|ETS1|MXRA5|PDGFRL|ANO1|COL15A1|SNAI2|C7|PCOLCE|TBX18|FBLN2|ALDH1A3|TCEAL2|NUDT10|NALCN|SLC44A5|GABRQ|MCF2L2|VAT1L|CNTN1|PCDH15|FGF17|RPS6KA6|ZC3H12B|KCNIP3|B4GALT6|MYH14|FGF9|MACROD2|FUT9|PKIA|SATB1|KCNQ5|PCDH7|SORCS3|CSDC2|FGF12|OTOGL|ZFPM2|ARPP21|SLC8A3|FBXL2|KCNH8|NETO1|SOX1|EPB41L4B|PHACTR3|B3GALT2|GPR63|LRRTM1|DRP2|EFCAB5|TRAM1L1|CLGN|GALNT13|CACNA1A|USP43|FAM135B|LUZP2|SLITRK5|TRIM67|FOXP2|FOXO6|TRIM71|NEU4|MYT1|LHFPL3|FLRT1|DLL3|MN1|DCX|C2orf80|TSPAN11|RCOR2|GRIK2|TOX3|PROM1|PCDH15|KIAA1755|MDFI|MEGF11|COL9A1|SEMA5B|FBN3|ZBTB12|RGR|SOX11|MEIS3|DGKI|TSHZ1|SNTG1|GPC2|PATZ1|COL20A1|NAT16|NKAIN1|ZFP69B|SNX22|FHDC1|SOX4|C1QL1|VAX2|ONECUT2|MEX3A|ZNF572|REM1|ZNF438|MXI1|SCUBE2|ZNF560|GRHL1|ZNF485|GATA2|ZNF37A|ADAMTS20|SMOC1|TOX|ZNF33B|PCDHA1|ZNF25|SLC22A3|ZNF804A|ZNF33A|CRLF1|HES7|TFAP2E|ZNF32|ZNF492|FERMT1|ZNF248|IKZF5|DACH1|GDF7|SEMA3D|HEY2|TMPRSS9|LHX2|LMO1|RIT2|CHST8|CGREF1|LINGO3|VGF|FRMPD1|POU3F1|VSX1|LRRN2|GLRA2|AIF1L|SYTL5|STK32B|KCNK10|SHISA9|LNX1|F12|CENPV|CHRM3|SHISA6|RET|DRAXIN|ST8SIA5|PLA2R1|RUNX3|COL17A1|ZNF600|MAFK|PLAGL1|LTB|FAM110C|FER1L5|ABCA5|ST6GALNAC2|ACTR3C|GPR141|SELENBP1|RARRES2|SPAG17|SLC22A15|SREBF1|CFAP45|CLEC12A|PDLIM4|HLA-DQA1|HLA-DQB1|LPIN3|ITGA2|TFE3|VCAM1|MCOLN2|RARG|IRF4|XKRX|BHLHE41|MTTP|HLA-DRB5|C2orf50|LMNTD1|F2RL1|ESR1|OXER1|ZBTB7B|HSH2D|HTR1D|KLF2|FBLN1|KLHDC7B|PPL|CYB5R2|FOXP1|ASCL2|LOXL4|CTSW|ZNF710|GFI1|ASIP|RGS22|MYBPH|TPPP3|CCNO|AK7|RSPH9|ITK|LGALS12|STAT5A|TNFRSF11B|LRIG3|BANK1|LRRC4C|SLITRK2|NCAM2|GRIA4|BRINP3|KCND2|IGLON5|DNER|SUSD4|SCN1A|CDH10|NKX2-2|B3GALT2|SCRG1|LHFPL4|RPE65|EXO5|PEG10|ZNF404|ZNF229|PCDHB3|ZNF274|ZNF681|PCDHGA1|PCDHGB1|TEX15|PCDHB4|ZNF578|ZNF695|PCDHB2|ZNF610|CD24|ZNF670|PCDHA11|PCDHA2|FAM218A|PCDHB5|PCDHA10|RBP1|SH2D4A|SHOX2|NMNAT3|NSUN7|FBXO17|MDK|EVC2|TOM1L1|RAB36|TCEAL2|NUDT10|B4GALT6|SIM2|LGR5|CACNA1A|IL1RAPL1|SLC8A3|RAB33A|DGKI|GRIK2|FOXP2|PKIA|SATB1|TOX3|SLCO5A1|NAT16|ZDHHC11B|POLR2F|SORCS3|PCDH15|GPR179|EPHB1|TNN|LANCL2|ZNF713|VOPP1|EGFR|TBX1|MEIS1|SOCS2|MRPS17|PHKG1|SEC61G|ESM1|FMOD|FBXO17|TEAD3|ARSI|RAB34|SH2D4A|EMP3|SHOX2|NMNAT3|DES|FOXL1|TOM1L1|LGALS3|RAB36|TNFAIP6|EBF2|ETS1|MXRA5|NR5A2|PDPN|PHLDA2|SHROOM3|MMP9|SNAI2|CTHRC1|HEYL|HTRA3|CMYA5|SP6|RBP1|POSTN|NSUN7|EVC2|MOXD1|VHLL|ADAMTS20|ZNF560|SMOC1|ZNF239|PCDHA2|ZNF274|GRHL1|HES4|C1QL4
porphine	ESM1|STRA6|MMP11|FOXC1|RFX8|ITGA8|COL12A1|COL13A1|LTBP2|KRT18|PLA1A|PAPPA|COL3A1|LOXL1|MGP|PHLDA2|MMP9|VGLL3|CTHRC1|HEYL|MEDAG|HTRA3|CFH|FAP|KDELR3|ADAMTS2|ASPN|ITGBL1|CYP1B1|COL6A3|COL6A2|ARSI|GPX8|ISLR|COL5A1|ACTG2|PTGIS|LUM|COL1A1|FOXL1|DCN|KRT8|FHL2|HIC1|FOXC2|COL1A2|EBF2|ETS1|MXRA5|PDGFRL|ANO1|COL15A1|SNAI2|C7|PCOLCE|TBX18|FBLN2|ALDH1A3
