Regulator	Target	Score	Overall_rank
MYT1L	0	9.41415774793932	6
ZNF619	0	0.6282851302256643	400
KCNIP3	1	4.322667124959328	44
MYT1L	1	2.9963016525246253	77
SOX10	1	1.5095257171470091	159
ZNF534	1	0.5828110371402073	429
TFAP2E	1	0.4230397876549125	591
ZNF215	1	0.3283010917835781	729
ZNF727	1	0.3120649433988008	767
MYT1L	2	8.672511302721698	9
POU6F2	2	0.8842884193350946	276
ZNF808	2	0.6642729823609426	375
NR1D1	2	0.4230504662611219	590
HLF	2	0.3966724105049055	629
ZNF532	2	0.3098676817448302	774
ZNF112	3	2.8136785812550476	87
ZNF283	3	2.769556241514133	88
ZNF566	3	2.437219506692038	103
ZNF793	3	0.9492164808097758	258
ZNF254	3	0.9458005133345538	260
ZNF614	3	0.728057800164919	339
ZNF573	3	0.5204610285068468	479
ZNF383	3	0.41730561342279954	598
ZNF527	3	0.41459032071649066	601
ZNF227	3	0.3713350837997832	661
VDR	4	8.542660954129769	10
ZNF510	4	1.9537252816571216	124
SOX15	4	0.8662822326455114	283
FOSL2	4	0.6356922860972575	394
NFKB1	4	0.32235461103986396	742
CEBPB	4	0.3191342598102416	752
MYT1L	5	7.621798624930464	14
MYT1	5	2.724834080507394	94
STOX2	5	0.30555526505352176	786
ZNF730	6	3.1548674851208407	70
TCF4	6	1.9379453075094546	125
ZNF84	6	1.2070242961670292	198
ZNF891	6	1.1284647961140217	210
ZNF253	6	1.094905812736279	218
ZNF254	6	0.7809106519395308	313
ZNF711	6	0.5234451056864868	478
ZNF197	6	0.4426798010945412	558
STAT6	6	0.4378844741002054	567
STAT3	6	0.3953152783068649	630
ZNF726	6	0.3471897268499954	697
ZNF431	6	0.3378332902908511	717
ZNF583	6	0.3076465316532652	779
ZNF141	6	0.3044174002363151	790
ZNF519	6	0.30330840720626734	792
FOXC2	7	1.5322304905687494	158
FOXS1	7	1.2099764166288278	196
PBX1	7	0.9911097603804517	248
TBX18	7	0.8521629004145935	285
HIC1	7	0.6339921728879266	396
SNAI2	7	0.6327849366807519	397
FOXL1	7	0.6259448543492739	403
ZBTB5	7	0.4705206676998783	522
ZNF572	7	0.45874580368704787	536
NFIB	7	0.44975465456105357	545
RUNX1	7	0.43979151496763924	561
TCF7L2	7	0.42947186812840293	580
ZKSCAN2	7	0.2937941645775835	823
TCF7L1	7	0.28453304446645694	846
FOXJ1	8	10.709038576027663	4
ZNF396	8	0.6277179775847627	402
ZNF169	8	0.5577550719335072	455
ZNF45	9	3.431557765683146	61
ZNF776	9	3.114908377987449	73
ZNF616	9	1.1591805017125156	207
ZNF814	9	0.8207195466789092	296
ZNF17	9	0.7862894263368359	309
ZNF548	9	0.5841983067379946	428
ZNF599	9	0.5695223422708108	447
ZNF350	9	0.3990975615254644	622
ZNF841	9	0.31807723599707977	755
ZNF417	9	0.3111915125116547	769
