Node	MegaGO_Cluster	MegaGO_Label	MegaGO_Representative_GO_ID	MegaGO_Label_Source	Node_Type	Expression_significant	PPI_significant	Module_genes_count
Module_0	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	module	Yes	Yes	71
MYT1L					TFs			
ZNF619					TFs			
creatinine					Metabolites			
Module_1	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	module	Yes	Yes	68
KCNIP3					TFs			
MYT1L					TFs			
SOX10					TFs			
ZNF534					TFs			
TFAP2E					TFs			
ZNF215					TFs			
ZNF727					TFs			
creatinine					Metabolites			
Module_2	Cluster_0	No BP enrichment	NA	fallback_no_bp_terms	module	Yes	No	65
MYT1L					TFs			
POU6F2					TFs			
ZNF808					TFs			
NR1D1					TFs			
HLF					TFs			
ZNF532					TFs			
creatinine					Metabolites			
D_mannose					Metabolites			
L_threonine					Metabolites			
Module_3	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	61
ZNF112					TFs			
ZNF283					TFs			
ZNF566					TFs			
ZNF793					TFs			
ZNF254					TFs			
ZNF614					TFs			
ZNF573					TFs			
ZNF383					TFs			
ZNF527					TFs			
ZNF227					TFs			
Unknown_004					Metabolites			
Module_4	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	62
VDR					TFs			
ZNF510					TFs			
SOX15					TFs			
FOSL2					TFs			
NFKB1					TFs			
CEBPB					TFs			
myo_inositol					Metabolites			
creatinine					Metabolites			
Module_5	Cluster_4	T cell activation	GO:0042110	rrvgo_parentTerm	module	Yes	Yes	47
MYT1L					TFs			
MYT1					TFs			
STOX2					TFs			
creatinine					Metabolites			
L_cysteine					Metabolites			
capricacid					Metabolites			
Module_6	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	65
ZNF730					TFs			
TCF4					TFs			
ZNF84					TFs			
ZNF891					TFs			
ZNF253					TFs			
ZNF254					TFs			
ZNF711					TFs			
ZNF197					TFs			
STAT6					TFs			
STAT3					TFs			
ZNF726					TFs			
ZNF431					TFs			
ZNF583					TFs			
ZNF141					TFs			
ZNF519					TFs			
Unknown_004					Metabolites			
D_fructose_6_phosphate					Metabolites			
capricacid					Metabolites			
Module_7	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	Yes	58
FOXC2					TFs			
FOXS1					TFs			
PBX1					TFs			
TBX18					TFs			
HIC1					TFs			
SNAI2					TFs			
FOXL1					TFs			
ZBTB5					TFs			
ZNF572					TFs			
NFIB					TFs			
RUNX1					TFs			
TCF7L2					TFs			
ZKSCAN2					TFs			
TCF7L1					TFs			
2_hydroxyglutaric_acid					Metabolites			
porphine					Metabolites			
Unknown_019					Metabolites			
phosphoric_acid_(spectral_match)					Metabolites			
Unknown_042					Metabolites			
Unknown_044					Metabolites			
Module_8	Cluster_3	cilium movement	GO:0003341	rrvgo_parentTerm	module	No	Yes	37
FOXJ1					TFs			
ZNF396					TFs			
ZNF169					TFs			
N_formylglycine					Metabolites			
L_serine					Metabolites			
Module_9	Cluster_1	regulation of DNA-templated transcription	GO:0006355	rrvgo_parentTerm	module	Yes	No	94
ZNF45					TFs			
ZNF776					TFs			
ZNF616					TFs			
ZNF814					TFs			
ZNF17					TFs			
ZNF548					TFs			
ZNF599					TFs			
ZNF350					TFs			
ZNF841					TFs			
ZNF417					TFs			
Unknown_004					Metabolites			
Unknown_050					Metabolites			
