"Module","MegaGO_cluster","MegaGO_label","representative_go_id","label_source"
"0","Cluster_0","No BP enrichment",,"fallback_no_bp_terms"
"1","Cluster_0","No BP enrichment",,"fallback_no_bp_terms"
"2","Cluster_0","No BP enrichment",,"fallback_no_bp_terms"
"3","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"4","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"5","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"6","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"7","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"8","Cluster_3","cilium movement","GO:0003341","rrvgo_parentTerm"
"9","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"10","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"11","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"12","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"13","Cluster_2","myelination","GO:0042552","rrvgo_parentTerm"
"14","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"15","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"16","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"17","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"18","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"19","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"20","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"21","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"23","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"24","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"25","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"26","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"27","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"28","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"29","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"30","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"32","Cluster_0","No BP enrichment",,"fallback_no_bp_terms"
"33","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"34","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"36","Cluster_3","cilium movement","GO:0003341","rrvgo_parentTerm"
"37","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"38","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"39","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"40","Cluster_2","myelination","GO:0042552","rrvgo_parentTerm"
"41","Cluster_2","myelination","GO:0042552","rrvgo_parentTerm"
"42","Cluster_2","myelination","GO:0042552","rrvgo_parentTerm"
"43","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"44","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"45","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"46","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"47","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"49","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"50","Cluster_1","regulation of DNA-templated transcription","GO:0006355","rrvgo_parentTerm"
"51","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"52","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"53","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"55","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"57","Cluster_5","potassium ion transport","GO:0006813","rrvgo_parentTerm"
"58","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
"59","Cluster_3","cilium movement","GO:0003341","rrvgo_parentTerm"
"61","Cluster_4","T cell activation","GO:0042110","rrvgo_parentTerm"
