Module	de_pvalue
12	1.0817178877129733e-07
10	1.0817178877129733e-07
0	1.0943945219317075e-07
1	1.0943945219317075e-07
46	1.0943945219317075e-07
63	1.0943945219317075e-07
59	1.1289025575395419e-07
17	1.8315637235858036e-07
2	1.8315637235858036e-07
11	2.430661169996026e-07
21	2.430661169996026e-07
47	2.7114542843017333e-07
50	2.8335477468033105e-07
5	4.5485252310997057e-07
14	8.006735645021215e-07
15	8.006735645021215e-07
6	8.006735645021215e-07
38	1.1405904953669333e-06
4	1.452594360757625e-06
3	1.7160443457510436e-06
