Module	n_genes	Coherence
16	159	0.5095877154678942
9	94	0.7637636695300596
13	91	0.7661377547566474
0	71	0.8536481022162666
1	68	0.75648917624966
46	66	0.5497498893103516
12	66	0.6969126028515475
6	65	0.7331624590798621
2	65	0.7213282591262183
4	62	0.8199431865352172
3	61	0.8357381309238155
7	58	0.7234519348389871
59	58	0.5007035125571788
10	53	0.79331464422612
15	50	0.65964866916557
21	48	0.6915092403802273
5	47	0.840330155864636
70	46	0.8086398932273015
11	45	0.8255388620413862
47	44	0.5873802588474366
