Regulator	Module	Score	Overall_rank
2_hydroxyglutaric_acid	55	18.335799866013407	1
2_hydroxyglutaric_acid	78	15.819277175162403	2
2_hydroxyglutaric_acid	38	15.084455481082577	3
creatinine	1	14.695448877791156	4
Unknown_021	73	13.809197732962568	5
2_hydroxyglutaric_acid	103	13.159652347677396	7
creatinine	0	12.439694451457813	8
creatinine	47	11.728983495132292	9
homocysteine	10	11.429773139673786	10
creatinine	2	10.696991164644736	13
creatinine	21	10.401882291175554	14
Unknown_015	43	9.335197403169428	16
2_hydroxyglutaric_acid	57	8.993182527904224	17
D_fructose_6_phosphate	32	8.829656258232944	18
creatinine	5	8.356745531057895	20
homocysteine	45	7.816470566966764	23
myo_inositol	4	7.311056786715144	26
Unknown_004	71	7.0295661372428455	27
2_hydroxyglutaric_acid	53	6.661988265361023	29
L_alanine	81	6.319455076119401	33
homocysteine	19	6.26286841622731	34
DL_3_aminoisobutyric_acid__(spectral_match)	82	5.938340938284947	35
Unknown_046	19	5.799675463779866	37
L_leucine	63	5.778439475081237	38
L_glutamic_acid	39	5.678815798309782	39
creatinine	33	5.655215838160006	40
sucrose	51	5.605118371279823	41
L_mimosine	13	5.602114750264904	42
creatinine	16	5.565993108227567	43
galactitol	34	5.512699842849387	44
myo_inositol	72	5.414905055125218	45
N_formylglycine	70	5.393489889185014	46
glycerol_3_phosphate	40	5.164525114023667	50
Unknown_046	61	5.1268236600298565	51
Unknown_002	36	4.931051139153999	52
Unknown_004	3	4.921178115165554	54
N_formylglycine	36	4.803363332346462	55
glycerol_3_phosphate	38	4.784570070185183	56
Unknown_023	52	4.621547418565144	59
phosphoenolpyruvic_acid	67	4.611198284282841	60
fructose	50	4.452612294791724	62
N_formylglycine	8	4.37194353535849	63
2_hydroxyglutaric_acid	23	4.343262741692888	64
D_mannose	47	4.251768172455599	66
pyrophosphate	15	4.187526631230229	67
pyrophosphate	19	4.185936833581008	68
creatinine	23	4.102567603691943	69
myo_inositol	50	4.05166204933635	70
Unknown_010	71	4.026479074272051	71
myo_inositol	25	4.00536027615624	72
N_formylglycine	11	3.981919145043949	73
homocysteine	12	3.950597795079005	74
D_ribose_5_phosphate	28	3.88233710672716	75
DL_3_aminoisobutyric_acid__(spectral_match)	89	3.851825351512004	77
heptadecanoic_acid	49	3.774849037484012	78
myo_inositol	61	3.753611729920304	79
2_hydroxyglutaric_acid	65	3.719776623112991	81
glycerol_3_phosphate	101	3.714881184345544	82
Unknown_004	6	3.694478906786736	84
L_alanine	14	3.6668526399571952	86
3_phosphoglycerate	68	3.6566943642928895	87
fumaric_acid	28	3.645547316637221	89
Unknown_050	15	3.639589061024638	90
Unknown_027	24	3.6212487348136704	91
Unknown_046	68	3.615462873707966	92
scyllo_inositol	67	3.588812755446879	93
myo_inositol	20	3.581854800103701	94
heptadecanoic_acid	52	3.5734236724662267	95
Unknown_004	37	3.5613941156627806	96
pyrophosphate	72	3.5236877630272447	98
phosphoric_acid_(spectral_match)	11	3.521838337366572	99
creatinine	4	3.515740470464813	100
scyllo_inositol	42	3.5128557357163857	102
D_glucose_6_phosphate	70	3.445687821287921	105
Unknown_035	41	3.438936174125105	106
pyrophosphate	28	3.392500630344029	107
homocysteine	44	3.3551543278753164	110
creatinine	14	3.341714150664224	111
scyllo_inositol	61	3.336390645973688	112
scyllo_inositol	23	3.3312954933512784	113
O_phosphocolamine	81	3.3303387509404287	114
2_hydroxyglutaric_acid	49	3.320982722063321	115
D_fructose_6_phosphate	70	3.317214724529928	116
cholesterol_(spectral_match)	13	3.311916089866613	117
D_fructose_6_phosphate	6	3.3026003805790927	119
putrescine	43	3.2542196992143992	120
2_hydroxyglutaric_acid	7	3.2469022589322885	121
Unknown_011	16	3.233828914622716	122
glycerol_3_phosphate	78	3.2127259428878645	123
porphine	7	3.212366457948932	124
hypotaurine	18	3.1797633595355825	126
linoleic_acid	68	3.154016475444959	130
Unknown_019	7	3.1286002496708063	132
Unknown_004	9	3.117909529332798	133
propylene_glycol	17	3.099704857815767	136
D_mannose	2	3.097806634147136	137
pyrophosphate	44	3.084272629106071	138
L_alanine	34	3.0645262043105883	139
glycerol_3_phosphate	53	3.0624491802189766	140
fructose	17	3.032405998925794	141
DL_3_aminoisobutyric_acid__(spectral_match)	18	3.0097475200337995	142
Unknown_015	12	2.995816725012969	143
L_serine	8	2.976176939879664	145
Unknown_015	27	2.96525447610618	147
scyllo_inositol	25	2.9639286398822446	148
Unknown_017	20	2.963086827142648	149
capricacid	6	2.962219579147937	150
Unknown_013	36	2.9587993851770538	151
D_mannose	45	2.9547534839303866	152
D_ribulose_5_phosphate	68	2.93315179278602	154
L_2_aminoadipic_acid	90	2.887408464762616	155
Unknown_021	33	2.88279507471298	156
O_phosphocolamine	28	2.882280905741099	157
Unknown_022	81	2.8735181777406686	158
2_hydroxyglutaric_acid	15	2.8680463949332875	159
scyllo_inositol	51	2.866240491820253	160
creatinine	11	2.848581076809129	161
propylene_glycol	13	2.8450732725150782	162
DL_isoleucine	67	2.80077805834945	163
DL_isoleucine	34	2.7853396121329483	167
Unknown_017	28	2.7590608485965142	168
glycerol_3_phosphate	23	2.758255210441966	169
pyrophosphate	49	2.750052058054026	170
Unknown_042	12	2.7374162001324005	172
propylene_glycol	15	2.7141881599351687	174
L_methionine	42	2.709190414919377	175
phosphoric_acid_(spectral_match)	7	2.705255298339426	176
D_fructose_6_phosphate	53	2.696182825454506	177
Unknown_042	7	2.683124365479408	179
DL_3_aminoisobutyric_acid__(spectral_match)	16	2.6691462797249965	180
D_glucose_6_phosphate	36	2.628582888507712	182
fructose	90	2.624805093690868	183
2_hydroxyglutaric_acid	46	2.6220096649492826	184
homocysteine	72	2.616582535145322	185
3_phosphoglycerate	20	2.60951040376808	186
DL_2_Aminoadipic_acid_(spectral_match)	90	2.5839553203419388	187
Unknown_044	7	2.582585773161068	188
heptadecanoic_acid	13	2.56615685926953	189
heptadecanoic_acid	57	2.5619127514422773	190
myo_inositol	17	2.511605208195789	196
pantothenic_acid	72	2.510608523013947	197
2_hydroxyglutaric_acid	39	2.482580567562916	198
fructose	32	2.46298882680038	200
Unknown_028	52	2.42375202544422	203
L_threonine	2	2.41780149461282	204
L_cysteine	5	2.4174288210230883	205
Unknown_006	13	2.4153704494518933	206
homocysteine	63	2.389849279699236	209
myo_inositol	95	2.3883440778244283	210
fumaric_acid	70	2.3782278174333835	212
Unknown_046	44	2.368378909834973	214
hypotaurine	41	2.3663039582456302	215
capricacid	5	2.356397962630187	216
L_aspartic_acid	43	2.3563975858115924	217
sucrose	28	2.3415138165658558	218
Unknown_050	51	2.329105368665872	220
putrescine	45	2.3249000731538283	222
D_mannose	96	2.323080227752806	224
Unknown_050	9	2.3048951508026767	225
D_ribose_5_phosphate	52	2.2883748584020287	226
pyrophosphate	57	2.267221204566248	227
Unknown_031	23	2.252997433088373	228
Unknown_050	86	2.2449410515429	230
L_2_aminoadipic_acid	29	2.2426113705838318	231
