Regulator	Module	Score	Overall_rank
IKZF3	18	15.949624057105533	1
IKZF3	82	15.723941365164844	2
FOXJ1	70	10.966969234906715	3
FOXJ1	8	10.709038576027664	4
MYT1L	47	9.874913344415774	5
MYT1L	0	9.41415774793932	6
IKZF1	89	9.27477559634405	7
FOXJ1	36	8.701532590367508	8
MYT1L	2	8.672511302721698	9
VDR	4	8.542660954129769	10
MYRF	13	7.764503325971821	13
MYT1L	5	7.621798624930464	14
IKZF1	24	7.340140103054017	15
MYT1	23	6.706821236062793	17
MYT1L	21	5.914227556123833	19
NFE2	73	5.902699723867981	20
MYBL2	81	5.668797748278276	21
FOXJ1	96	5.66714090319929	22
IRF7	34	5.351235616604425	23
ZBTB6	42	5.339067621681514	24
TFEC	28	5.317743552492262	26
GLIS3	52	5.219572198879705	27
ZNF248	38	5.049764957976411	28
BCL6B	45	4.963499538380306	30
ZNF134	83	4.942286052090912	31
ZSCAN25	29	4.878040076700261	32
PBX1	12	4.858660858554504	33
MYRF	40	4.835304452851626	34
SOX10	40	4.8145884314100185	35
ZNF500	26	4.792546601681919	36
POU3F1	39	4.788062219880245	37
SP100	72	4.6888896876099615	39
ZNF566	71	4.511576177549294	41
ZBTB7A	86	4.394487000680013	42
KCNIP3	1	4.322667124959328	44
USF1	67	4.294082078152372	45
ZNF614	68	4.207819664386163	46
E2F2	81	4.205422752346469	47
BHLHE40	43	4.034312484183264	50
ZNF572	55	3.858747655214983	52
ELK3	72	3.7803189878632377	53
ZNF227	68	3.660906937290648	54
ZNF560	103	3.6251037854924006	55
ZNF776	83	3.5425851328616504	57
EGR2	33	3.53356044500208	59
ZNF585A	50	3.51797371407641	60
ZNF45	9	3.431557765683146	61
IRF1	72	3.4107257824881825	62
KLF8	16	3.2760744116452707	65
ATF7	41	3.202476350238746	66
JUNB	33	3.1995709783419093	67
ZNF730	6	3.1548674851208407	70
ZNF112	68	3.1422725041511246	71
ZNF786	29	3.137696128134476	72
ZNF776	9	3.114908377987449	73
BATF	11	3.1074521796280794	74
POU6F2	44	3.087205542254968	75
LYL1	89	3.0539001559995023	76
MYT1L	1	2.9963016525246253	77
HES6	14	2.986091085670299	78
MAFB	11	2.97535362847552	79
E2F8	81	2.9613125269226845	80
EBF1	61	2.927821174717601	82
THRA	19	2.925382339260937	83
ZNF493	37	2.9039032325296814	84
ZNF398	90	2.8371655032560392	86
ZNF112	3	2.813678581255048	87
ZNF283	3	2.769556241514133	88
