Regulator	Total_Score	N_Modules	Target_Modules
2_hydroxyglutaric_acid	100.657916636448	13	7, 15, 23, 38, 39, 46, 49, 53, 55, 57, 65, 78, 103
creatinine	93.34955805927713	12	0, 1, 2, 4, 5, 11, 14, 16, 21, 23, 33, 47
homocysteine	37.82129606066673	7	10, 12, 19, 44, 45, 63, 72
myo_inositol	33.01839998337718	8	4, 17, 20, 25, 50, 61, 72, 95
pyrophosphate	23.391197749908855	7	15, 19, 28, 44, 49, 57, 72
glycerol_3_phosphate	22.6974067021032	6	23, 38, 40, 53, 78, 101
Unknown_004	22.32452680419071	5	3, 6, 9, 37, 71
scyllo_inositol	19.599523762190728	6	23, 25, 42, 51, 61, 67
N_formylglycine	18.550715901933916	4	8, 11, 36, 70
D_fructose_6_phosphate	18.145654188796474	4	6, 32, 53, 70
Unknown_046	16.910340907352662	4	19, 44, 61, 68
Unknown_021	16.691992807675547	2	33, 73
DL_3_aminoisobutyric_acid__(spectral_match)	15.469060089555747	4	16, 18, 82, 89
Unknown_015	15.296268604288576	3	12, 27, 43
L_alanine	13.050833920387184	3	14, 34, 81
D_mannose	12.627408518285927	4	2, 45, 47, 96
fructose	12.572812214208763	4	17, 32, 50, 90
heptadecanoic_acid	12.476342320662045	4	13, 49, 52, 57
Unknown_050	10.518530632036088	4	9, 15, 51, 86
propylene_glycol	8.658966290266015	3	13, 15, 17
sucrose	7.946632187845679	2	28, 51
3_phosphoglycerate	6.26620476806097	2	20, 68
phosphoric_acid_(spectral_match)	6.227093635705998	2	7, 11
O_phosphocolamine	6.212619656681528	2	28, 81
D_ribose_5_phosphate	6.170711965129189	2	28, 52
D_glucose_6_phosphate	6.074270709795633	2	36, 70
fumaric_acid	6.023775134070604	2	28, 70
L_leucine	5.778439475081237	1	63
Unknown_017	5.722147675739162	2	20, 28
L_glutamic_acid	5.678815798309782	1	39
L_mimosine	5.602114750264904	1	13
DL_isoleucine	5.586117670482398	2	34, 67
putrescine	5.5791197723682275	2	43, 45
hypotaurine	5.546067317781213	2	18, 41
galactitol	5.512699842849387	1	34
Unknown_042	5.420540565611809	2	7, 12
capricacid	5.318617541778124	2	5, 6
L_2_aminoadipic_acid	5.130019835346448	2	29, 90
Unknown_002	4.931051139153999	1	36
Unknown_023	4.621547418565144	1	52
phosphoenolpyruvic_acid	4.611198284282841	1	67
Unknown_010	4.026479074272051	1	71
Unknown_027	3.6212487348136704	1	24
Unknown_035	3.438936174125105	1	41
cholesterol_(spectral_match)	3.311916089866613	1	13
Unknown_011	3.233828914622716	1	16
porphine	3.212366457948932	1	7
linoleic_acid	3.154016475444959	1	68
Unknown_019	3.1286002496708063	1	7
L_serine	2.976176939879664	1	8
Unknown_013	2.9587993851770538	1	36
D_ribulose_5_phosphate	2.93315179278602	1	68
Unknown_022	2.8735181777406686	1	81
L_methionine	2.709190414919377	1	42
DL_2_Aminoadipic_acid_(spectral_match)	2.5839553203419388	1	90
Unknown_044	2.582585773161068	1	7
pantothenic_acid	2.510608523013947	1	72
Unknown_028	2.42375202544422	1	52
L_threonine	2.41780149461282	1	2
L_cysteine	2.4174288210230883	1	5
Unknown_006	2.4153704494518933	1	13
L_aspartic_acid	2.3563975858115924	1	43
Unknown_031	2.252997433088373	1	23
