Regulator	Total_Score	N_Modules	Target_Modules
MYT1L	50.94828802741537	10	0, 1, 2, 5, 13, 15, 21, 47, 49, 57
FOXJ1	36.044681304501175	4	8, 36, 70, 96
IKZF3	31.67356542227038	2	18, 82
IKZF1	16.61491569939807	2	24, 89
MYRF	14.154393812840492	4	13, 38, 40, 57
MYT1	11.651812930564029	5	5, 23, 30, 49, 57
VDR	10.942142820183125	4	4, 11, 12, 27
SOX10	10.46983811333919	8	1, 13, 15, 16, 30, 38, 40, 57
ZSCAN25	8.303226194910982	3	13, 29, 90
POU6F2	8.044444016062709	8	2, 15, 16, 38, 44, 59, 70, 101
PBX1	7.736846131393287	5	7, 12, 14, 17, 63
ZNF566	6.9487956842413325	2	3, 71
ZNF776	6.6574935108491	2	9, 83
ZNF572	6.606784685898984	4	7, 13, 55, 78
RUNX2	6.5613772747767465	4	11, 16, 28, 63
ZNF112	6.270612433028817	3	3, 68, 71
ZNF704	5.90607163220499	3	10, 12, 63
NFE2	5.902699723867981	1	73
LYL1	5.787730922687962	2	24, 89
STAT6	5.778492346301056	7	6, 10, 11, 17, 20, 46, 63
ZNF217	5.7274607901410555	3	23, 49, 57
SP100	5.686885408778199	2	34, 72
MYBL2	5.668797748278276	1	81
ZNF248	5.409850248785721	2	38, 78
IRF7	5.351235616604425	1	34
ZBTB6	5.339067621681514	1	42
TFEC	5.317743552492262	1	28
ZNF786	5.305606644178539	2	29, 90
ZNF614	5.242234495178966	3	3, 68, 71
GLIS3	5.219572198879705	1	52
KLF8	5.13856373846933	2	16, 101
BCL6B	4.963499538380306	1	45
ZNF134	4.942286052090912	1	83
ZNF283	4.88224823855465	3	3, 68, 71
KCNIP3	4.879403853364388	2	1, 15
ZNF500	4.792546601681919	1	26
POU3F1	4.788062219880245	1	39
E2F2	4.731863167524312	2	30, 81
ZBTB12	4.425467693914075	4	10, 20, 23, 46
ZNF227	4.40095475560832	3	3, 68, 71
ZBTB7A	4.394487000680013	1	86
USF1	4.294082078152372	1	67
ZNF560	4.118462195036523	2	38, 103
BHLHE40	4.034312484183264	1	43
ZNF585A	3.8935607024656482	2	37, 50
NFIC	3.794956588448854	2	41, 86
ETV7	3.7832934147468964	4	15, 34, 55, 78
ELK3	3.7803189878632377	1	72
HES5	3.758108910761749	2	14, 63
IRF1	3.7252521050678675	2	11, 72
EGR2	3.53356044500208	1	33
THRA	3.483033472760672	2	14, 19
ZNF45	3.431557765683146	1	9
HES6	3.3835444582426555	2	14, 25
ZNF445	3.3563898700630457	2	17, 50
ZNF493	3.3520246140461967	2	37, 50
CEBPA	3.2666089742020032	2	24, 89
ZNF398	3.2617494173688377	2	17, 90
