Module,N_metabolites,N_genes,N_interactions_observed,N_interactions_expected,Fold_enrichment,P_value,Interaction_density,FDR
57,2,168,10,3.6253243383497664,2.7583738906384196,0.0039446725541530305,0.02976190476190476,0.39841192796945607
39,2,700,25,15.10551807645736,1.655024334383052,0.011262168400982268,0.017857142857142856,0.461937222058636
19,2,71,5,1.5321311191835323,3.2634282649806656,0.01940668915314382,0.035211267605633804,0.461937222058636
22,2,188,9,4.056910569105691,2.2184368737474953,0.02227167998095344,0.023936170212765957,0.461937222058636
6,2,51,4,1.1005448884276077,3.6345632441353297,0.02497137425866136,0.0392156862745098,0.461937222058636
88,2,12,2,0.25895173845355474,7.7234468937875755,0.02744181517180016,0.08333333333333333,0.461937222058636
61,2,22,2,0.474744853831517,4.212789214793223,0.08176988740215839,0.045454545454545456,1.0
96,1,10,1,0.10789655768898114,9.26813627254509,0.1028089035051641,0.1,1.0
26,4,117,8,5.0495588998443175,1.5842967987256564,0.1371167711465014,0.017094017094017096,1.0
117,1,23,1,0.24816208268465662,4.029624466323953,0.22083346448773858,0.043478260869565216,1.0
97,1,24,1,0.25895173845355474,3.8617234468937878,0.2292417970627273,0.041666666666666664,1.0
118,3,12,1,0.38842760768033213,2.5744822979291917,0.3233410095406396,0.027777777777777776,1.0
84,2,24,1,0.5179034769071095,1.9308617234468939,0.40595870184903227,0.020833333333333332,1.0
3,2,65,2,1.4026552499567548,1.425867118853091,0.409900032579376,0.015384615384615385,1.0
36,2,82,2,1.7695035460992907,1.1302605210420842,0.5294228066672964,0.012195121951219513,1.0
25,5,34,2,1.8342414807126795,1.0903689732405988,0.5487482094904875,0.011764705882352941,1.0
4,2,88,2,1.898979415326068,1.0531973036983058,0.567508576796482,0.011363636363636364,1.0
101,2,330,7,7.121172807472755,0.9829841501184188,0.5694633607000841,0.010606060606060607,1.0
11,1,79,1,0.852382805742951,1.1731818066512774,0.575675554945986,0.012658227848101266,1.0
106,2,45,1,0.9710690192008302,1.0297929191716768,0.6234335482548292,0.011111111111111112,1.0
15,3,42,1,1.3594966268811624,0.735566370836912,0.745257877949162,0.007936507936507936,1.0
10,4,40,1,1.7263449230236982,0.5792585170340682,0.8239041003277879,0.00625,1.0
2,2,197,2,4.251124372945857,0.47046377017995383,0.9265214878039505,0.005076142131979695,1.0
63,2,378,4,8.156979761286975,0.4903775805579413,0.9629801087569168,0.005291005291005291,1.0
37,4,157,3,6.775903822868016,0.44274536333814124,0.9658896350050181,0.004777070063694267,1.0
12,3,189,2,6.1177348209652305,0.3269183870386275,0.984825645070404,0.003527336860670194,1.0
13,2,94,0,2.0284552845528454,0.0,1.0,0.0,1.0
14,1,29,0,0.3129000172980453,0.0,1.0,0.0,1.0
16,1,24,0,0.25895173845355474,0.0,1.0,0.0,1.0
18,2,29,0,0.6258000345960906,0.0,1.0,0.0,1.0
21,2,28,0,0.6042207230582943,0.0,1.0,0.0,1.0
17,2,39,0,0.8415931499740529,0.0,1.0,0.0,1.0
35,1,37,0,0.3992172634492302,0.0,1.0,0.0,1.0
34,3,18,0,0.5826414115204982,0.0,1.0,0.0,1.0
32,3,18,0,0.5826414115204982,0.0,1.0,0.0,1.0
30,1,24,0,0.25895173845355474,0.0,1.0,0.0,1.0
27,1,21,0,0.2265827711468604,0.0,1.0,0.0,1.0
43,1,19,0,0.20500345960906416,0.0,1.0,0.0,1.0
41,3,31,0,1.0034379865075247,0.0,1.0,0.0,1.0
38,1,47,0,0.5071138211382114,0.0,1.0,0.0,1.0
46,2,21,0,0.4531655422937208,0.0,1.0,0.0,1.0
47,1,15,0,0.1618448365334717,0.0,1.0,0.0,1.0
50,1,16,0,0.17263449230236982,0.0,1.0,0.0,1.0
48,1,11,0,0.11868621345787925,0.0,1.0,0.0,1.0
53,1,58,0,0.6258000345960906,0.0,1.0,0.0,1.0
56,1,25,0,0.26974139422245286,0.0,1.0,0.0,1.0
45,1,12,0,0.12947586922677737,0.0,1.0,0.0,1.0
40,2,38,0,0.8200138384362566,0.0,1.0,0.0,1.0
59,1,35,0,0.377637951911434,0.0,1.0,0.0,1.0
58,2,11,0,0.2373724269157585,0.0,1.0,0.0,1.0
60,3,303,0,9.807797093928386,0.0,1.0,0.0,1.0
62,2,39,0,0.8415931499740529,0.0,1.0,0.0,1.0
65,3,21,0,0.6797483134405812,0.0,1.0,0.0,1.0
66,2,13,0,0.280531049991351,0.0,1.0,0.0,1.0
67,1,10,0,0.10789655768898114,0.0,1.0,0.0,1.0
68,1,13,0,0.1402655249956755,0.0,1.0,0.0,1.0
24,1,19,0,0.20500345960906416,0.0,1.0,0.0,1.0
23,4,34,0,1.4673931845701436,0.0,1.0,0.0,1.0
29,3,102,0,3.301634665282823,0.0,1.0,0.0,1.0
9,1,72,0,0.7768552153606643,0.0,1.0,0.0,1.0
0,1,80,0,0.8631724615118491,0.0,1.0,0.0,1.0
8,1,56,0,0.6042207230582943,0.0,1.0,0.0,1.0
5,1,54,0,0.5826414115204982,0.0,1.0,0.0,1.0
7,5,37,0,1.9960863172461512,0.0,1.0,0.0,1.0
79,2,11,0,0.2373724269157585,0.0,1.0,0.0,1.0
78,2,18,0,0.38842760768033213,0.0,1.0,0.0,1.0
77,1,21,0,0.2265827711468604,0.0,1.0,0.0,1.0
76,1,12,0,0.12947586922677737,0.0,1.0,0.0,1.0
73,1,27,0,0.2913207057602491,0.0,1.0,0.0,1.0
72,2,15,0,0.3236896730669434,0.0,1.0,0.0,1.0
71,2,23,0,0.49632416536931323,0.0,1.0,0.0,1.0
70,2,18,0,0.38842760768033213,0.0,1.0,0.0,1.0
89,3,17,0,0.5502724442138038,0.0,1.0,0.0,1.0
85,1,15,0,0.1618448365334717,0.0,1.0,0.0,1.0
90,1,10,0,0.10789655768898114,0.0,1.0,0.0,1.0
92,1,18,0,0.19421380384016607,0.0,1.0,0.0,1.0
94,2,14,0,0.30211036152914716,0.0,1.0,0.0,1.0
93,2,35,0,0.755275903822868,0.0,1.0,0.0,1.0
