Module,N_metabolites,N_genes,N_interactions_observed,N_interactions_expected,Fold_enrichment,P_value,Interaction_density,FDR
22,3,124,14,4.36923076923077,3.2042253521126756,0.00016125554049756878,0.03763440860215054,0.01322295432080064
2,3,65,6,2.2903225806451615,2.6197183098591545,0.028490084096616956,0.03076923076923077,1.0
43,2,20,2,0.4698097601323408,4.257042253521126,0.08023392893986049,0.05,1.0
31,1,101,3,1.1862696443341605,2.5289359921907684,0.11643204715891158,0.0297029702970297,1.0
56,4,141,10,6.624317617866005,1.5095894516032364,0.13174551539133525,0.01773049645390071,1.0
63,2,29,2,0.6812241521918941,2.935891209324915,0.14861949944695776,0.034482758620689655,1.0
52,1,18,1,0.21141439205955337,4.730046948356807,0.1915864972114472,0.05555555555555555,1.0
91,2,13,1,0.30537634408602155,3.274647887323943,0.26450939017177966,0.038461538461538464,1.0
94,2,15,1,0.35235732009925563,2.838028169014084,0.29846742785416686,0.03333333333333333,1.0
90,2,16,1,0.37584780810587265,2.660651408450704,0.3148543192432562,0.03125,1.0
67,3,12,1,0.42282878411910674,2.3650234741784035,0.3464895255173231,0.027777777777777776,1.0
48,1,46,1,0.5402812241521919,1.8508879363135333,0.4193379050882688,0.021739130434782608,1.0
4,2,62,2,1.4564102564102566,1.3732394366197183,0.4284775493422354,0.016129032258064516,1.0
87,3,16,1,0.563771712158809,1.7737676056338028,0.43290329790347515,0.020833333333333332,1.0
21,1,48,1,0.563771712158809,1.7737676056338028,0.43290329790347515,0.020833333333333332,1.0
46,1,66,1,0.7751861042183623,1.2900128040973111,0.5415923773001015,0.015151515151515152,1.0
75,2,35,1,0.8221670802315965,1.2162977867203217,0.5627645742052456,0.014285714285714285,1.0
20,2,36,1,0.8456575682382135,1.1825117370892018,0.5729813649821673,0.013888888888888888,1.0
28,3,27,1,0.9513647642679901,1.0511215440792905,0.6160839341397326,0.012345679012345678,1.0
47,2,44,1,1.0335814722911498,0.9675096030729833,0.6465790953555031,0.011363636363636364,1.0
7,2,58,1,1.3624483043837883,0.7339728023312287,0.7461986265324513,0.008620689655172414,1.0
5,3,47,1,1.6560794044665013,0.6038357806412946,0.8111692027699876,0.0070921985815602835,1.0
66,2,131,2,3.077253928866832,0.6499301150413934,0.8141685158137755,0.007633587786259542,1.0
16,1,159,1,1.8674937965260547,0.5354770130215253,0.8473867745309462,0.006289308176100629,1.0
88,2,147,2,3.453101736972705,0.5791894222477724,0.8609915338049359,0.006802721088435374,1.0
23,4,42,1,1.9732009925558314,0.5067907444668007,0.8628024460759991,0.005952380952380952,1.0
69,2,108,1,2.5369727047146404,0.3941705790297339,0.9222607377163043,0.004629629629629629,1.0
13,4,91,2,4.275268817204301,0.4678068410462777,0.9280804420619533,0.005494505494505495,1.0
54,4,183,4,8.597518610421837,0.4652505195105056,0.9728431793165676,0.00546448087431694,1.0
79,2,553,6,12.990239867659223,0.46188523546341337,0.989789325758118,0.0054249547920434,1.0
60,3,1040,22,36.645161290322584,0.6003521126760563,0.996837969469867,0.007051282051282051,1.0
