Node	Label	Type
glycerol_3_phosphate	glycerol_3_phosphate	metabolite
FUT9	FUT9	module_gene
creatinine	creatinine	metabolite
2_hydroxyglutaric_acid	2_hydroxyglutaric_acid	metabolite
ZBTB18	ZBTB18	TF
AMY2B	AMY2B	bridge_node
CYP4F12	CYP4F12	bridge_node
KCNIP3	KCNIP3	TF
ASPH	ASPH	bridge_node
SOX10	SOX10	TF
AKR1A1	AKR1A1	bridge_node
CNP	CNP	bridge_node
MYT1L	MYT1L	TF
NEU4	NEU4	bridge_node
PXDN	PXDN	bridge_node
GAD2	GAD2	bridge_node
ETV4	ETV4	TF
CANT1	CANT1	bridge_node
REST	REST	TF
FASN	FASN	bridge_node
