Node1	Node2	Source	Type	Category
myo_inositol	AKR1A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	DPYSL2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	FUT4	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	OPLAH	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	EEF1A2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	SLC16A3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	GK	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
myo_inositol	FASN	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
FOXP1	AKR1A1	BioGRID_genes	PPI	PPI
FOXP1	ERG	BioGRID_genes	PPI	PPI
FOXP1	LEF1	STRING	PPI	PPI
FOXP1	FOXL1	BioGRID_genes	PPI	PPI
AKR1A1	GK	STRING	PPI	PPI
LEF1	DPYSL2	BioGRID_genes	PPI	PPI
LEF1	SOX17	STRING	PPI	PPI
DPYSL2	FASN	BioGRID_genes	PPI	PPI
SOX17	FUT4	STRING	PPI	PPI
SOX18	OPLAH	STRING	PPI	PPI
SOX18	BCL6B	STRING	PPI	PPI
OPLAH	GK	BioGRID_genes	PPI	PPI
ERG	EEF1A2	BioGRID_genes	PPI	PPI
BCL6B	SLC16A3	STRING	PPI	PPI
FOXS1	GK	BioGRID_genes	PPI	PPI
FOXL1	FASN	BioGRID_genes	PPI	PPI
