Node	Label	Type
myo_inositol	myo_inositol	metabolite
ANPEP	ANPEP	module_gene
HK3	HK3	module_gene
CP	CP	module_gene
creatinine	creatinine	metabolite
galactitol	galactitol	metabolite
L_aspartic_acid	L_aspartic_acid	metabolite
FOSL1	FOSL1	module_gene
HMOX1	HMOX1	module_gene
VDR	VDR	TF
ACE	ACE	bridge_node
MAFK	MAFK	TF
UROD	UROD	bridge_node
DNMT3L	DNMT3L	bridge_node
NFIL3	NFIL3	TF
FUCA2	FUCA2	bridge_node
ALAS1	ALAS1	bridge_node
VENTX	VENTX	TF
SLC15A2	SLC15A2	bridge_node
NFKB2	NFKB2	TF
ATP1A1	ATP1A1	bridge_node
ZNF704	ZNF704	TF
ARID4B	ARID4B	bridge_node
CEBPB	CEBPB	TF
ANXA3	ANXA3	bridge_node
CNP	CNP	bridge_node
AKR1B1	AKR1B1	bridge_node
DARS	DARS	bridge_node
ZNF510	ZNF510	TF
ODC1	ODC1	bridge_node
