Node1	Node2	Source	Type	Category
creatinine	GPX3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	ACE2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	EEF1A1	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CPA2	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	CEL	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
creatinine	SLC1A3	Human1_GEM_dist2	metabolite-gene	Metabolic_pathway
GTF2I	ACE2	BioGRID_genes	PPI	PPI
GTF2I	EEF1A1	BioGRID_genes	PPI	PPI
ACE2	EEF1A1	BioGRID_genes	PPI	PPI
ACE2	SLC1A3	STRING	PPI	PPI
STAT6	EEF1A1	BioGRID_genes	PPI	PPI
ZBTB8B	CPA2	STRING	PPI	PPI
CPA2	CEL	STRING	PPI	PPI
NR5A2	CEL	STRING	PPI	PPI
NFIA	SLC1A3	STRING	PPI	PPI
