Regulator	Target	Score	Overall_rank
H2B_[5]_(K)_Unmod	0	11.681783539120415	24
H2B_[16]_(K)_Bu	0	10.623200817153247	29
H1_[20]_(K)_Unmod	0	9.936228602775259	31
H31_[23]_(K)_Unmod	0	6.095200209044373	53
H4_[8]_(K)_Ac	1	48.800289608927635	2
H2A_[5]_(K)_Ac	1	9.331796763504327	34
H31_[9]_(K)_Unmod	1	6.508634136707865	51
H31_[36]_(K)_Me2	1	5.150676240761502	65
H31_[36]_(K)_Unmod	2	19.113665405661543	16
H31_[14]_(K)_Ac	2	14.828987662628435	21
H1_[20]_(K)_Ac	2	8.181312744535363	39
H2B_[15]_(K)_Unmod	2	5.228616429049814	64
H4_[8]_(K)_Bu	2	4.869856371707919	69
H1_[3]_(T)_Ph	2	4.514593630507166	75
H1_[21]_(K)_Ac	3	15.930555982352997	19
H4_[8]_(K)_Ac	3	10.805312861970421	27
H1_[145]_(K)_Unmod	3	4.266269807030196	83
H4_[12]_(K)_Ac	3	4.225891321271134	86
H31_[27]_(K)_Me3	4	15.150344768516346	20
H2A_[5]_(K)_Ac	4	10.702091714711171	28
H31_[14]_(K)_Ac	4	9.436635973609967	33
H31_[14]_(K)_Ac	5	20.9883598487806	12
H1_[16]_(K)_Bu	6	30.600146782322497	8
H1_[16]_(K)_Hib	6	11.495704514603574	25
H2B_[16]_(K)_Su	6	6.3786068220338	52
H4_[8]_(K)_Ac	7	37.17329316259382	3
H2A_[5]_(K)_Ac	7	21.37074685860736	11
H2A_[5]_(K)_Unmod	7	9.836480809230695	32
H31_[9]_(K)_Unmod	7	5.873666977405023	55
H2A_[17]_(K)_Unmod	7	5.569607748114488	61
H1_[3]_(T)_Ph	8	21.79960420205877	10
H31_[27]_(K)_Ac	8	18.032696385839234	17
H31_[36]_(K)_Ac	8	5.245462014847847	63
H31_[9]_(K)_Unmod	9	35.77047580714127	4
H1_[84]_(K)_Unmod	9	5.65470551318498	59
H1_[81]_(K)_Unmod	9	4.496793741075554	77
H4_[8]_(K)_Bu	9	4.42441882633147	79
H31_[14]_(K)_Ac	9	3.342610522522562	115
H4_[8]_(K)_Ac	10	49.3240645198109	1
H4_[20]_(K)_Unmod	10	4.151991797143836	88
H1_[78]_(N)_Deam	10	3.8890011714942743	97
H2B_[16]_(K)_Bu	10	3.2925985422678314	117
H31_[14]_(K)_Ac	11	33.20497276516874	6
H31_[79]_(K)_Bu	11	8.332576160594725	38
H31_[23]_(K)_Ac	11	3.665502421824932	105
H31_[37]_(K)_Me3	12	24.30939999406882	9
H1_[16]_(K)_Bu	12	10.010855386545472	30
H31_[14]_(K)_Ac	12	5.727535714031712	57
H31_[9]_(K)_Bu	12	5.642656007041963	60
H4_[8]_(K)_Ac	13	35.30923024903229	5
H2A_[5]_(K)_Ac	13	7.399316329927799	43
H4_[12]_(K)_Ac	13	5.383443656983731	62
H1_[20]_(K)_Unmod	14	19.428695232843953	13
H2A_[5]_(K)_Unmod	14	11.29877889775177	26
H1_[16]_(K)_Me3	15	31.232066520040895	7
H1_[16]_(K)_Bu	15	7.084030703842984	44
H1_[3]_(T)_Ph	15	6.562622681632844	49
H31_[9]_(K)_Me2	15	6.560438506461449	50
H4_[8]_(K)_Bu	16	19.233879507641532	15
H4_[8]_(K)_Ac	16	8.852522474791096	37
H31_[36]_(K)_Ac	16	7.050640859759592	45
H1_[16]_(K)_Me3	16	6.041506401964796	54
H2A_[4]_(K)_Unmod	17	4.854943355603501	71
H2A_[7]_(K)_Ac	17	4.504680973743295	76
H1_[142]_(K)_Unmod	17	3.772667185418054	101
H1_[21]_(K)_Ac	17	3.474501514914185	112
H2B_[15]_(K)_Unmod	18	17.6752818187428	18
H1_[16]_(K)_Me3	19	19.256958918681896	14
H2B_[15]_(K)_Ac	19	9.31822504422074	35
H31_[79]_(K)_Lac	19	5.83947858546001	56
H4_[8]_(K)_Ac	19	5.714443842337892	58
H4_[20]_(K)_Unmod	19	4.857829030809373	70
H2A_[7]_(K)_Ac	19	4.1315009272213	90
H2A_[17]_(K)_Unmod	19	3.915987656168165	96
H31_[36]_(K)_Unmod	19	3.836723543818201	99
H33_[36]_(K)_Bu	20	13.201910750466581	22
H31_[14]_(K)_Ac	20	8.079782745523191	40
H31_[37]_(K)_Me2	20	4.9821658682609815	68
H2A_[9]_(K)_Unmod	20	4.7956267651562	72
H31_[64]_(K)_Fo	20	4.3355092382726115	82
H1_[16]_(K)_Unmod	21	12.811649687306629	23
H1_[21]_(K)_Ac	21	9.132910421107823	36
H2A_[7]_(K)_Unmod	22	7.899688337013545	41
H1_[16]_(K)_Unmod	22	7.515425668256001	42
H1_[16]_(K)_Ac	22	6.940605996537793	46
H2B_[16]_(K)_Bu	22	6.9249076119063036	47
H1_[16]_(K)_Hib	22	6.636163368423974	48
H31_[14]_(K)_Ac	22	4.6345878772244244	73
H31_[4]_(K)_Bu	22	4.532191636495894	74
