Regulator	Score	N_modules	N_targets	Modules	Targets
H31_[27]_(K)_Me3	66.29687648839402	3.0	36.0	7|15|18	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3|NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
H1_[16]_(K)_Me3	47.08343995631911	3.0	124.0	0|1|8	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1|HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A|HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
H4_[20]_(K)_Unmod	44.460292357709335	2.0	44.0	8|20	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8|DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
H31_[14]_(K)_Ac	34.70645510513917	2.0	59.0	4|15	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
H4_[8]_(K)_Ac	31.391322765535023	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
H2A_[7]_(K)_Unmod	27.4716414287698	1.0	31.0	1	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H4_[8]_(K)_Bu	20.846287462507277	2.0	59.0	4|15	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
H1_[32]_(K)_Unmod	15.76731194282229	1.0	31.0	1	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H1_[24]_(K)_Unmod	15.684675220675272	1.0	31.0	1	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H31_[37]_(K)_Me3	15.328604102434523	1.0	18.0	20	DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
H31_[23]_(K)_Unmod	15.257682003881692	1.0	13.0	14	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
H2B_[16]_(K)_Su	14.668551337163317	1.0	33.0	9	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
H31_[9]_(K)_Unmod	14.388999222026564	1.0	33.0	9	IDH3A|NDUFB7|EIF2S3|ATP5F1D|NDUFA11|MRPL53|ACO2|HIBADH|STK11IP|MRPL2|MRPL46|GFM1|HSD17B10|MRPL18|NDUFB8|NDUFB4|MRPS17|MT-CO1|HDHD5|NDUFS3|MRPS10|MIPEP|CARS2|TUFM|MMAA|NDUFA3|MT-ND3|NDUFA2|MRPL22|NUDT6|MYO18B|DNAJC19|HSPA9
H31_[27]_(K)_Bu	12.14811958718239	1.0	10.0	7	PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
H31_[27]_(K)_Unmod	9.689064344078233	1.0	15.0	15	SYNE3|ABR|PGP|CASP1|TRAF3IP3|ARPC3|PSMB8|PIK3CG|TLR2|NDRG1|GPR108|ARHGEF1|SIRPA|MOB3A|SFXN3
H1_[16]_(K)_Unmod	9.587783820695904	2.0	54.0	4|7	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3|PTK2B|FMNL1|FAM114A2|CORO7|RAP1GDS1|ITGB2|PIK3AP1|BCL2|GNAI2|DENND3
H1_[31]_(K)_Unmod	9.164592426277151	1.0	67.0	0	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
H2A_[17]_(K)_Unmod	8.153550186533536	1.0	18.0	20	DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
H4_[12]_(K)_Ac	8.038015143291023	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
H31_[18]_(K)_Ac	8.006202880851545	1.0	13.0	14	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
H33_[37]_(K)_Bu	7.927057590452098	1.0	13.0	16	ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
H2B_[15]_(K)_Ac	7.605320735632155	1.0	11.0	18	NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
H4_[16]_(K)_Ac	7.579125124264857	1.0	26.0	8	HACL1|UBE2J1|FABP5|PRIM2|SF1|BCL2|TMEM161A|TMEM259|HSPA4L|RANGAP1|PPHLN1|KIF2C|PRPF4|MGST1|CHSY1|RACGAP1|ALDH3A2|CNOT3|MTF2|PGM1|CAPRIN1|BAZ1B|KPNA2|FAR1|INPP5A|AKAP8
H2B_[16]_(K)_Bu	7.283358647056844	1.0	11.0	18	NDUFA3|MLYCD|NDUFB7|NDUFA2|MIPEP|SLC27A1|REEP6|NDUFB8|NDUFA11|NDUFB4|RNF170
H31_[36]_(K)_Me2	7.153109977340472	1.0	44.0	4	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
H33_[36]_(K)_Unmod	7.079382021566677	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
H31_[56]_(K)_Lac	6.756625135520374	1.0	13.0	14	PIP4P2|TMBIM1|CD58|FBXO6|IAH1|RRAS|OSBPL3|OTUB1|PCYT1A|SH3GLB2|PRPS2|PLA2G4A|PTPN11
H1_[16]_(K)_Bu	5.572795900235205	1.0	18.0	20	DUSP11|CRLF3|FAHD2A|EXOSC8|ICAM3|RDH13|HACD2|DHRS1|ALG9|ATP2A3|ESD|ERMP1|CCDC134|ANKRD13A|ACSS1|DHRS13|HEBP1|PNKD
H31_[9]_(K)_Fo	5.343349965103948	1.0	31.0	1	HSPG2|STAT5A|PRKAG1|CCDC90B|MCUR1|TMBIM1|CD151|FOXRED2|PDLIM5|CD84|LMAN2L|PRKAB1|ERMP1|ITGA2B|MPP1|SLC48A1|RHOC|KDELR1|IFI35|SLC44A2|PRKD2|ECI2|RNF114|SDSL|CDIPT|MFN2|PIP4K2A|RETREG2|NAGK|ICAM2|CHMP1A
H2A_[5]_(K)_Ac	5.322534663635391	1.0	22.0	12	CD4|TYROBP|HLA-C|YIPF3|PAAF1|SEMA4C|LMBRD1|TMEM126B|APLP2|ITM2C|ARL1|TAX1BP1|DOHH|HLA-A|SQLE|PRKACG|CLPTM1|CDK6|TM9SF2|SERINC1|BPNT2|PDXDC1
H31_[36]_(K)_Unmod	4.645230226860671	1.0	67.0	0	COG6|RFX1|MAP2K7|RPL28|USO1|LSM3|NMNAT1|PRPF38A|EIF3H|MED1|CIAO2B|INTS7|IWS1|FKRP|RPS28|ITIH2|UBE2L3|SLX9|GOPC|DYNC1LI1|ARF5|OGA|MAP2K4|LYRM4|GET3|NUB1|HCFC1|LMBRD1|MCU|CCNK|SMARCE1|MON2|LAP3|DRG1|ARFGEF2|BRIX1|ANAPC5|CHMP2A|C11orf68|CNOT1|ARID4A|SAAL1|PSMD14|DDX52|GGA2|POLR3B|RPL10|COG1|RPS14|EFL1|PPIL1|TRAF2|CPSF2|COPS4|PAFAH1B3|ELP1|ANKRD27|STK24|PA2G4|TXNL1|MSH6|LSM14A|TPRKB|ANKRD28|RPS27|PPP1R8|GAR1
H2B_[125]_(K)_Unmod	3.757731478790104	1.0	44.0	4	MPG|GGT1|CHMP2A|LCP2|ABR|WDFY4|TNFAIP2|HNRNPLL|RPS6KA1|SHC1|CORO1B|B3GAT3|PYCR1|AACS|SYTL1|P2RX4|MOB3A|SLC31A1|WDFY1|HCK|MVP|PREX1|SELENOT|MRC2|CASP1|TPP1|GRN|IKBKB|RNF170|TGFBR1|LY75|CAPG|MON2|ARMT1|RASSF2|PLEK|CST3|ARHGEF1|IL1RAP|NMI|ELMO2|PTPRJ|SFXN3|PRTN3
H1_[77]_(K)_Unmod	3.713939865959036	1.0	13.0	16	ANAPC5|GOPC|PPIL1|DCP2|CNOT1|USO1|ELP1|PA2G4|GGA2|SLC26A2|DRG1|PPM1B|COG1
