Regulator	Target	Score	Overall_rank
l____carnitine_HI	0	18.7168488322432	7
desthiobiotin_C18	0	12.424637340032833	18
choline_C18	0	2.7717166021173916	104
dl_stachydrine_C18	0	2.1397544443524126	143
9_oxo_10_e_,12_e__octadecadienoic_acid_HI	0	2.1010749345922766	149
asparagine_HI	0	1.5011625323791131	220
p_cresol_glucuronide_HI	0	1.349422904048571	246
n8_acetylspermidine_C18	1	16.871470295008123	9
inosine_5'_monophosphate__imp__HI	1	7.625868873170888	32
n1_acetylspermine_HI	1	4.967396716705628	55
indoleacrylic_acid_HI	1	4.823107978050495	57
myo_inositol_HI	1	3.794352599467298	68
l_proline_HI	1	3.6594325857775942	71
allopurinol_HI	1	2.9069663667673695	98
_±__tryptophan_HI	1	2.679183943957424	115
hypoxanthine_C18	1	2.5306135372858094	118
guanosine_monophosphate_HI	2	11.227012882252941	22
dl_stachydrine_C18	2	3.068975051336899	88
choline_C18	2	3.0459438919219077	91
prolylleucine_HI	2	2.702800040820205	111
n1_acetylspermine_HI	2	2.487226276807714	122
np_019992_HI	2	2.174134687027964	139
creatinine_HI	2	2.1213925955855735	145
l____carnitine_HI	3	22.600875630703595	5
thymidine_C18	3	8.762255984080989	29
n_acetyl_l_aspartic_acid_HI	3	4.521641035887152	58
thymidine_HI	3	2.7297182786194396	106
1_[4_hydroxy_5__hydroxymethyl_tetrahydrofuran_2_yl]pyrimidine_2,4_1h,3h__dione_C18	3	2.72743364169945	107
_±__tryptophan_HI	3	2.01850844344655	159
glycocholic_acid_HI	3	2.016929158650855	160
pantothenic_acid_C18	4	27.13088363407433	3
valine_HI	4	9.814636722194388	25
2_methylbutyroylcarnitine_HI	4	6.696871033337936	38
choline_C18	4	4.483219028281386	59
cuminaldehyde_HI	4	1.7427810646528092	191
o_acetylcarnitine_C18	5	11.776400212471513	19
acetyl_l_carnitine_HI	5	10.558478471566657	23
creatine_HI	5	9.548668489797976	26
l____carnitine_HI	5	3.4314565732184996	78
l_proline_HI	5	3.0678788146473357	89
olomoucine_HI	5	2.4348514501286624	123
desthiobiotin_C18	5	1.7513833038889501	188
4_acetamidobenzoic_acid_HI	5	1.693402710885238	195
alpha_ethylaminohexanophenone_HI	5	1.4840724478495106	223
creatine_C18	5	1.2520875528295543	273
creatinine_HI	5	1.1548327868171213	294
np_011223_HI	6	12.76982824063511	17
n1_acetylspermine_HI	6	8.249252874635028	30
choline_C18	6	6.071071791343137	45
normeperidine_HI	6	3.055518248104137	90
dl_norleucine_HI	6	2.3233659850202404	128
desthiobiotin_C18	6	2.3098373961149474	129
methionine_HI	6	2.12748696761682	144
propionylcarnitine_C18	7	29.023284102484457	1
n8_acetylspermidine_HI	7	14.068584353877515	14
hexanoylcarnitine_HI	7	3.5679567979706404	75
4_hydroxyhippuric_acid_HI	7	2.718692462451958	109
d_sphingosine_HI	7	2.0816997500093137	152
citroflex_4_C18	7	1.9357506782185294	168
o_phosphoethanolamine_HI	8	15.674558599486465	11
alpha_methylhistamine_C18	8	4.360920325222851	61
aspartame_HI	8	2.376189587935957	126
d_____galactose_HI	8	1.977928234331125	164
np_015114_HI	8	1.6903057380322137	196
2,6_dimethylpyrazine_C18	8	1.63562126523113	203
3_{2_[_1r,4as,5r,8as__6_hydroxy_5__hydroxymethyl__5,8a_dimethyl_2_methylidene_decahydronaphthalen_1_yl]ethyl}_2,5_dihydrofuran_2_one_HI	8	1.6269523347895403	204
phenylacetylglycine_HI	9	8.854925729718824	27
d_____glucose_HI	9	6.766661064173151	36
4_acetamidobutanoic_acid_HI	9	4.378668985406259	60
valylglycine_HI	9	3.806431580920824	67
d_____galactose_HI	9	3.2724017532903025	84
3_methylhippuric_acid_HI	9	2.894214452525531	100
asymmetric_dimethylarginine_HI	9	2.2509347045692323	134
creatine_C18	9	2.2049446345451527	138
gamma_glutamylvaline_HI	9	2.0720429560870146	154
4_methyl_5_oxo_2_pentyl_2,5_dihydrofuran_3_carboxylic_acid_HI	9	2.0376691972786607	158
ecgonine_HI	9	1.8814385646478677	172
n_acetyl_d_mannosamine_C18	10	11.604502241027355	20
2_fluoro_6__4_methoxyphenoxy_benzonitrile_C18	10	6.603371815832333	40
6_methylnicotinamide_C18	10	3.010479917157815	93
l_tyrosine_HI	10	2.9424646134009285	95
indoleacrylic_acid_HI	10	2.385105831597752	125
_±__tryptophan_HI	10	2.252305579347901	133
o_acetyl_l_serine_C18	10	2.205753265411218	137
prolylleucine_HI	11	5.299878311336218	50
n6_methyladenine_C18	11	4.118903498249947	64
np_012042_HI	11	3.8579996292672947	66
υ_aminobutyric_acid__gaba__C18	11	2.682397626419984	114
azelaic_acid_HI	11	2.578454288261091	117
l_gulonolactone_HI	11	2.141029450523248	142
n_acetyl_l_aspartic_acid_HI	11	1.9873506827676108	163
2__methylsulfonyl__3__pyrazin_2_ylamino_acrylonitrile_C18	11	1.8629771422062262	175
thymidine_HI	11	1.8190461631503752	179
spermine_HI	11	1.7776730697035048	184
n_acetyl_l_aspartic_acid_HI	12	7.827551414848459	31
l_phenylalanine_C18	12	7.400388223215666	34
l_arginine_HI	12	6.424178567525482	41
np_003553_HI	12	5.301593294209668	49
2_oxoglutaric_acid_C18	12	4.889796867832346	56
n_methyl_d_aspartic_acid__nmda__HI	12	4.128564923505957	63
dl_lysine_HI	12	3.6127441106297877	73
caprolactam_C18	12	2.9341101505183644	96
l_gulonolactone_HI	12	2.697705110603947	112
n_methyl_2_pyrrolidone_C18	12	2.0914732535411473	150
np_002855_HI	12	2.054702316403609	155
choline_C18	12	2.03979961078605	157
l_tyrosine_HI	12	1.995540733303409	162
10_hydroxydecanoic_acid_HI	13	8.802690769317865	28
uridine_5'_monophosphate_HI	13	5.473627426864947	48
sedanolide_HI	13	3.7905150763537705	69
drofenine_HI	13	3.2848271585054643	83
hydrocinnamic_acid_C18	13	2.7308761120473686	105
ethyl_protocatechuate_HI	13	2.1077403500701775	147
tridemorph_HI	13	2.1042904695883204	148
d_____camphor_HI	13	2.0489418635329764	156
4_nitrocatechol_sulfate_C18	13	2.016346536869921	161
np_019992_HI	13	1.8663663522164597	174
np_013736_HI	13	1.7303301871022325	192
dl_beta_leucine_HI	13	1.6938950216587936	194
2__6_hydroxyhexyl__3_methylenesuccinic_acid_C18	13	1.6705568048187154	200
octadecyl_3__3,5_di_tert_butyl_4_hydroxyphenyl_propionate_HI	13	1.589520043197969	209
np_002854_HI	13	1.581992273382946	211
n_acetylmannosamine_HI	13	1.5719821086984433	212
1_[4_hydroxy_5__hydroxymethyl_tetrahydrofuran_2_yl]pyrimidine_2,4_1h,3h__dione_C18	14	13.465963547709737	15
caffeine_HI	14	3.4391705226487326	77
laurolactam_HI	14	3.3277772210811745	82
cytosine_C18	14	2.5870014146260623	116
dl_lysine_HI	14	2.2218388136587497	135
l_phenylalanine_HI	14	1.8036516098926318	181
l_gulonolactone_C18	14	1.5075482153008266	219
n1_acetylspermine_HI	14	1.4562126599066842	227
choline_C18	15	28.93074634985741	2
2'_deoxyguanosine_HI	15	6.266188028084238	42
1_vinylimidazole_C18	15	2.2190715917659993	136
acetohydroxamic_acid_HI	15	2.1723187410796	140
histamine_C18	15	2.0728784486886083	153
