Regulator	Target	Score	Overall_rank
H1_[16]_(K)_Me3	0	28.112283980958665	4
H1_[31]_(K)_Unmod	0	9.164592426277151	33
H31_[36]_(K)_Unmod	0	4.645230226860671	91
H2A_[7]_(K)_Unmod	1	27.4716414287698	5
H1_[32]_(K)_Unmod	1	15.76731194282229	14
H1_[24]_(K)_Unmod	1	15.684675220675272	16
H1_[16]_(K)_Me3	1	7.23830819351085	51
H31_[9]_(K)_Fo	1	5.343349965103948	72
H4_[8]_(K)_Bu	4	8.859111277806853	37
H31_[36]_(K)_Me2	4	7.153109977340472	52
H31_[14]_(K)_Ac	4	6.523993222638549	58
H1_[16]_(K)_Unmod	4	4.341102949237698	102
H2B_[125]_(K)_Unmod	4	3.757731478790104	119
H31_[27]_(K)_Me3	7	48.49037649348863	1
H31_[27]_(K)_Bu	7	12.14811958718239	23
H1_[16]_(K)_Unmod	7	5.246680871458206	75
H4_[20]_(K)_Unmod	8	21.23603442110862	9
H1_[16]_(K)_Me3	8	11.732847781849596	26
H4_[16]_(K)_Ac	8	7.579125124264857	48
H2B_[16]_(K)_Su	9	14.668551337163317	20
H31_[9]_(K)_Unmod	9	14.388999222026564	21
H4_[8]_(K)_Ac	12	31.391322765535023	2
H4_[12]_(K)_Ac	12	8.038015143291023	41
H33_[36]_(K)_Unmod	12	7.079382021566677	53
H2A_[5]_(K)_Ac	12	5.322534663635391	73
H31_[23]_(K)_Unmod	14	15.257682003881692	19
H31_[18]_(K)_Ac	14	8.006202880851545	42
H31_[56]_(K)_Lac	14	6.756625135520374	55
H31_[14]_(K)_Ac	15	28.18246188250062	3
H4_[8]_(K)_Bu	15	11.987176184700424	24
H31_[27]_(K)_Unmod	15	9.689064344078233	32
H31_[27]_(K)_Me3	15	7.37448699032057	49
H33_[37]_(K)_Bu	16	7.927057590452098	46
H1_[77]_(K)_Unmod	16	3.713939865959036	122
H31_[27]_(K)_Me3	18	10.432013004584826	29
H2B_[15]_(K)_Ac	18	7.605320735632155	47
H2B_[16]_(K)_Bu	18	7.283358647056844	50
H4_[20]_(K)_Unmod	20	23.22425793660071	7
H31_[37]_(K)_Me3	20	15.328604102434523	18
H2A_[17]_(K)_Unmod	20	8.153550186533536	38
H1_[16]_(K)_Bu	20	5.572795900235205	67
l____carnitine_HI	0	18.7168488322432	7
desthiobiotin_C18	0	12.424637340032833	18
choline_C18	0	2.771716602117392	104
dl_stachydrine_C18	0	2.139754444352413	143
9_oxo_10_e_,12_e__octadecadienoic_acid_HI	0	2.101074934592277	149
asparagine_HI	0	1.5011625323791131	220
p_cresol_glucuronide_HI	0	1.349422904048571	246
n8_acetylspermidine_C18	1	16.871470295008123	9
inosine_5'_monophosphate__imp__HI	1	7.625868873170888	32
n1_acetylspermine_HI	1	4.967396716705628	55
indoleacrylic_acid_HI	1	4.823107978050495	57
myo_inositol_HI	1	3.794352599467298	68
l_proline_HI	1	3.659432585777594	71
allopurinol_HI	1	2.906966366767369	98
_±__tryptophan_HI	1	2.679183943957424	115
hypoxanthine_C18	1	2.5306135372858094	118
pantothenic_acid_C18	4	27.13088363407433	3
valine_HI	4	9.814636722194388	25
2_methylbutyroylcarnitine_HI	4	6.696871033337936	38
choline_C18	4	4.483219028281386	59
cuminaldehyde_HI	4	1.7427810646528092	191
propionylcarnitine_C18	7	29.023284102484457	1
n8_acetylspermidine_HI	7	14.068584353877515	14
hexanoylcarnitine_HI	7	3.5679567979706404	75
4_hydroxyhippuric_acid_HI	7	2.718692462451958	109
d_sphingosine_HI	7	2.0816997500093137	152
citroflex_4_C18	7	1.9357506782185292	168
o_phosphoethanolamine_HI	8	15.674558599486463	11
alpha_methylhistamine_C18	8	4.360920325222851	61
aspartame_HI	8	2.376189587935957	126
d_____galactose_HI	8	1.977928234331125	164
np_015114_HI	8	1.6903057380322135	196
2,6_dimethylpyrazine_C18	8	1.63562126523113	203
3_{2_[_1r,4as,5r,8as__6_hydroxy_5__hydroxymethyl__5,8a_dimethyl_2_methylidene_decahydronaphthalen_1_yl]ethyl}_2,5_dihydrofuran_2_one_HI	8	1.6269523347895405	204
phenylacetylglycine_HI	9	8.854925729718824	27
d_____glucose_HI	9	6.766661064173151	36
4_acetamidobutanoic_acid_HI	9	4.378668985406259	60
valylglycine_HI	9	3.806431580920824	67
d_____galactose_HI	9	3.2724017532903025	84
3_methylhippuric_acid_HI	9	2.894214452525531	100
asymmetric_dimethylarginine_HI	9	2.2509347045692323	134
creatine_C18	9	2.2049446345451527	138
gamma_glutamylvaline_HI	9	2.0720429560870146	154
4_methyl_5_oxo_2_pentyl_2,5_dihydrofuran_3_carboxylic_acid_HI	9	2.0376691972786607	158
ecgonine_HI	9	1.881438564647868	172
n_acetyl_l_aspartic_acid_HI	12	7.827551414848459	31
l_phenylalanine_C18	12	7.400388223215666	34
l_arginine_HI	12	6.424178567525482	41
np_003553_HI	12	5.301593294209668	49
2_oxoglutaric_acid_C18	12	4.889796867832346	56
n_methyl_d_aspartic_acid__nmda__HI	12	4.128564923505957	63
dl_lysine_HI	12	3.612744110629788	73
caprolactam_C18	12	2.9341101505183644	96
l_gulonolactone_HI	12	2.697705110603947	112
n_methyl_2_pyrrolidone_C18	12	2.0914732535411478	150
np_002855_HI	12	2.054702316403609	155
choline_C18	12	2.03979961078605	157
l_tyrosine_HI	12	1.995540733303409	162
1_[4_hydroxy_5__hydroxymethyl_tetrahydrofuran_2_yl]pyrimidine_2,4_1h,3h__dione_C18	14	13.465963547709736	15
caffeine_HI	14	3.439170522648733	77
laurolactam_HI	14	3.3277772210811745	82
cytosine_C18	14	2.5870014146260623	116
dl_lysine_HI	14	2.2218388136587497	135
l_phenylalanine_HI	14	1.803651609892632	181
l_gulonolactone_C18	14	1.5075482153008266	219
n1_acetylspermine_HI	14	1.4562126599066842	227
choline_C18	15	28.93074634985741	2
2'_deoxyguanosine_HI	15	6.266188028084238	42
1_vinylimidazole_C18	15	2.2190715917659998	136
acetohydroxamic_acid_HI	15	2.1723187410796	140
histamine_C18	15	2.0728784486886083	153
n_acetylaspartylglutamic_acid_HI	15	1.526346798836681	218
d_glucuronolactone_C18	15	1.474204928243329	224
l_gulonolactone_C18	15	1.4351928887226917	232
leucine_C18	16	6.6332814320759645	39
dl_norleucine_HI	16	4.065396310478381	65
acetanilide_HI	16	3.341377132525627	81
l_tyrosine_HI	16	3.0214010651834124	92
d_aspartic_acid_HI	16	2.525756657622333	119
l____carnitine_HI	16	2.2888565281341324	130
2_pyridylacetic_acid_HI	16	1.536191161774304	216
l_norleucine_C18	16	1.438174541366294	230
3_ureidopropionic_acid_HI	16	1.2857346553785407	262
monobutyl_phthalate_HI	16	1.2698718742825428	270
allopurinol_HI	18	6.1667806181626	43
hypoxanthine_C18	18	5.288060073970662	51
benzyl_cinnamate_C18	18	3.6691407875040927	70
3_methylhippuric_acid_HI	18	3.417255977791636	80
phenylacetylglycine_HI	18	2.9568810289787577	94
phenylacetylglycine_C18	18	2.271432987577287	131
l_methionine_sulfoxide_HI	18	2.108609188274496	146
gamma_glutamylvaline_HI	18	1.9216913384698744	169
2,3,4,9_tetrahydro_1h_beta_carboline_3_carboxylic_acid_HI	18	1.6964278980657308	193
3_ureidopropionic_acid_HI	20	7.403950181973347	33
d_glucuronolactone_C18	20	6.839515185392039	35
l_gulonolactone_C18	20	5.286020434604023	52
n1_acetylspermine_HI	20	3.6171976011269735	72
n_acetylalanine_HI	20	3.256576022863998	86
n8_acetylspermidine_C18	20	2.913762385855941	97
n_acetyl_d_mannosamine_C18	20	2.8359712629003653	102
3_methylhippuric_acid_HI	20	2.70686959375269	110
n8_acetylspermidine_HI	20	2.256710903974485	132
phenylacetylglycine_HI	20	2.141051217791693	141
