Name	Type
H1_[16]_(K)_Me3	hPTMs
H1_[31]_(K)_Unmod	hPTMs
H31_[36]_(K)_Unmod	hPTMs
H2A_[7]_(K)_Unmod	hPTMs
H1_[32]_(K)_Unmod	hPTMs
H1_[24]_(K)_Unmod	hPTMs
H31_[9]_(K)_Fo	hPTMs
H4_[8]_(K)_Bu	hPTMs
H31_[36]_(K)_Me2	hPTMs
H31_[14]_(K)_Ac	hPTMs
H1_[16]_(K)_Unmod	hPTMs
H2B_[125]_(K)_Unmod	hPTMs
H31_[27]_(K)_Me3	hPTMs
H31_[27]_(K)_Bu	hPTMs
H4_[20]_(K)_Unmod	hPTMs
H4_[16]_(K)_Ac	hPTMs
H2B_[16]_(K)_Su	hPTMs
H31_[9]_(K)_Unmod	hPTMs
H4_[8]_(K)_Ac	hPTMs
H4_[12]_(K)_Ac	hPTMs
H33_[36]_(K)_Unmod	hPTMs
H2A_[5]_(K)_Ac	hPTMs
H31_[23]_(K)_Unmod	hPTMs
H31_[18]_(K)_Ac	hPTMs
H31_[56]_(K)_Lac	hPTMs
H31_[27]_(K)_Unmod	hPTMs
H33_[37]_(K)_Bu	hPTMs
H1_[77]_(K)_Unmod	hPTMs
H2B_[15]_(K)_Ac	hPTMs
H2B_[16]_(K)_Bu	hPTMs
H31_[37]_(K)_Me3	hPTMs
H2A_[17]_(K)_Unmod	hPTMs
H1_[16]_(K)_Bu	hPTMs
l____carnitine_HI	Metabolites
desthiobiotin_C18	Metabolites
choline_C18	Metabolites
dl_stachydrine_C18	Metabolites
9_oxo_10_e_,12_e__octadecadienoic_acid_HI	Metabolites
asparagine_HI	Metabolites
p_cresol_glucuronide_HI	Metabolites
n8_acetylspermidine_C18	Metabolites
inosine_5'_monophosphate__imp__HI	Metabolites
n1_acetylspermine_HI	Metabolites
indoleacrylic_acid_HI	Metabolites
myo_inositol_HI	Metabolites
l_proline_HI	Metabolites
allopurinol_HI	Metabolites
_±__tryptophan_HI	Metabolites
hypoxanthine_C18	Metabolites
pantothenic_acid_C18	Metabolites
valine_HI	Metabolites
2_methylbutyroylcarnitine_HI	Metabolites
cuminaldehyde_HI	Metabolites
propionylcarnitine_C18	Metabolites
n8_acetylspermidine_HI	Metabolites
hexanoylcarnitine_HI	Metabolites
4_hydroxyhippuric_acid_HI	Metabolites
d_sphingosine_HI	Metabolites
citroflex_4_C18	Metabolites
o_phosphoethanolamine_HI	Metabolites
alpha_methylhistamine_C18	Metabolites
aspartame_HI	Metabolites
d_____galactose_HI	Metabolites
np_015114_HI	Metabolites
2,6_dimethylpyrazine_C18	Metabolites
3_{2_[_1r,4as,5r,8as__6_hydroxy_5__hydroxymethyl__5,8a_dimethyl_2_methylidene_decahydronaphthalen_1_yl]ethyl}_2,5_dihydrofuran_2_one_HI	Metabolites
phenylacetylglycine_HI	Metabolites
d_____glucose_HI	Metabolites
4_acetamidobutanoic_acid_HI	Metabolites
valylglycine_HI	Metabolites
3_methylhippuric_acid_HI	Metabolites
asymmetric_dimethylarginine_HI	Metabolites
creatine_C18	Metabolites
gamma_glutamylvaline_HI	Metabolites
4_methyl_5_oxo_2_pentyl_2,5_dihydrofuran_3_carboxylic_acid_HI	Metabolites
ecgonine_HI	Metabolites
n_acetyl_l_aspartic_acid_HI	Metabolites
l_phenylalanine_C18	Metabolites
l_arginine_HI	Metabolites
np_003553_HI	Metabolites
2_oxoglutaric_acid_C18	Metabolites
n_methyl_d_aspartic_acid__nmda__HI	Metabolites
dl_lysine_HI	Metabolites
caprolactam_C18	Metabolites
l_gulonolactone_HI	Metabolites
n_methyl_2_pyrrolidone_C18	Metabolites
np_002855_HI	Metabolites
l_tyrosine_HI	Metabolites
1_[4_hydroxy_5__hydroxymethyl_tetrahydrofuran_2_yl]pyrimidine_2,4_1h,3h__dione_C18	Metabolites
caffeine_HI	Metabolites
laurolactam_HI	Metabolites
cytosine_C18	Metabolites
l_phenylalanine_HI	Metabolites
l_gulonolactone_C18	Metabolites
2'_deoxyguanosine_HI	Metabolites
1_vinylimidazole_C18	Metabolites
acetohydroxamic_acid_HI	Metabolites
histamine_C18	Metabolites
n_acetylaspartylglutamic_acid_HI	Metabolites
d_glucuronolactone_C18	Metabolites
leucine_C18	Metabolites
dl_norleucine_HI	Metabolites
acetanilide_HI	Metabolites
d_aspartic_acid_HI	Metabolites
2_pyridylacetic_acid_HI	Metabolites
l_norleucine_C18	Metabolites
3_ureidopropionic_acid_HI	Metabolites
monobutyl_phthalate_HI	Metabolites
benzyl_cinnamate_C18	Metabolites
phenylacetylglycine_C18	Metabolites
l_methionine_sulfoxide_HI	Metabolites
2,3,4,9_tetrahydro_1h_beta_carboline_3_carboxylic_acid_HI	Metabolites
n_acetylalanine_HI	Metabolites
n_acetyl_d_mannosamine_C18	Metabolites
0	Module
1	Module
4	Module
7	Module
8	Module
9	Module
12	Module
14	Module
15	Module
16	Module
18	Module
20	Module
