Regulator	Target	Score	Overall_rank
H4_[8]_(K)_Ac	1	48.80028960892764	2
H2A_[5]_(K)_Ac	1	9.331796763504329	34
H31_[9]_(K)_Unmod	1	6.508634136707865	51
H31_[36]_(K)_Me2	1	5.150676240761502	65
H1_[21]_(K)_Ac	3	15.930555982352995	19
H4_[8]_(K)_Ac	3	10.80531286197042	27
H1_[145]_(K)_Unmod	3	4.266269807030196	83
H4_[12]_(K)_Ac	3	4.225891321271134	86
H31_[27]_(K)_Me3	4	15.150344768516346	20
H2A_[5]_(K)_Ac	4	10.702091714711171	28
H31_[14]_(K)_Ac	4	9.436635973609969	33
H1_[16]_(K)_Bu	6	30.600146782322497	8
H1_[16]_(K)_Hib	6	11.495704514603574	25
H2B_[16]_(K)_Su	6	6.3786068220338	52
H4_[8]_(K)_Ac	7	37.17329316259382	3
H2A_[5]_(K)_Ac	7	21.37074685860736	11
H2A_[5]_(K)_Unmod	7	9.836480809230697	32
H31_[9]_(K)_Unmod	7	5.873666977405023	55
H2A_[17]_(K)_Unmod	7	5.569607748114488	61
H31_[9]_(K)_Unmod	9	35.77047580714127	4
H1_[84]_(K)_Unmod	9	5.65470551318498	59
H1_[81]_(K)_Unmod	9	4.496793741075554	77
H4_[8]_(K)_Bu	9	4.42441882633147	79
H31_[14]_(K)_Ac	9	3.342610522522562	115
H4_[8]_(K)_Ac	10	49.3240645198109	1
H4_[20]_(K)_Unmod	10	4.151991797143836	88
H1_[78]_(N)_Deam	10	3.8890011714942734	97
H2B_[16]_(K)_Bu	10	3.2925985422678314	117
H31_[14]_(K)_Ac	11	33.20497276516874	6
H31_[79]_(K)_Bu	11	8.332576160594725	38
H31_[23]_(K)_Ac	11	3.665502421824932	105
H4_[8]_(K)_Ac	13	35.30923024903229	5
H2A_[5]_(K)_Ac	13	7.399316329927799	43
H4_[12]_(K)_Ac	13	5.383443656983731	62
H4_[8]_(K)_Bu	16	19.23387950764153	15
H4_[8]_(K)_Ac	16	8.852522474791096	37
H31_[36]_(K)_Ac	16	7.050640859759592	45
H1_[16]_(K)_Me3	16	6.041506401964796	54
H1_[16]_(K)_Unmod	21	12.811649687306629	23
H1_[21]_(K)_Ac	21	9.132910421107823	36
H2A_[7]_(K)_Unmod	22	7.899688337013545	41
