Regulator	Target	Score	Overall_rank
Unknown_004	0	2.964852319016025	114
creatinine	1	9.041622665186429	10
creatinine	2	9.233017034993694	8
glycerol_3_phosphate	3	5.985173438932136	40
Unknown_004	3	2.6576502605694694	137
creatinine	4	3.06660921771805	106
myo_inositol	4	2.6653307345698583	135
Unknown_011	5	2.339658985298602	169
fructose	5	1.859979423279375	234
N_formylglycine	6	4.080810495501473	68
L_serine	6	2.911268759225802	121
cholesterol_(spectral_match)	7	5.866412272729755	42
linoleic_acid	7	1.6573727244886638	282
porphine	8	3.073411812766732	105
L_alanine	8	2.3972411984898327	161
2_hydroxyglutaric_acid	8	2.1854641094227265	187
heptadecanoic_acid	8	2.129772580219506	191
L_cysteine	8	2.0012225409028335	209
Unknown_019	8	1.9664819387913077	216
creatinine	9	8.046644057449296	16
Unknown_007	9	2.051082599105758	199
phosphoric_acid_(spectral_match)	10	5.8357776060121935	43
Unknown_023	10	1.862230196626921	232
N_formylglycine	10	1.8456689507610278	239
Unknown_046	11	1.9200540449611645	223
homocysteine	12	8.977283548476228	11
glycerol_3_phosphate	12	1.8061792942323436	246
DL_3_aminoisobutyric_acid__(spectral_match)	13	4.028203645871421	70
Unknown_045	13	2.3044984221679212	175
hypotaurine	14	3.008180350507642	110
DL_3_aminoisobutyric_acid__(spectral_match)	14	2.0374955996800956	203
DL_3_aminoisobutyric_acid__(spectral_match)	15	3.6366043188727613	85
D_(_)_galactose	15	2.4687378431973763	148
Unknown_027	15	2.41608258059854	156
putrescine	16	2.4742484708542514	146
homocysteine	17	7.2593394680580134	24
Unknown_049	17	1.7983266534021378	249
Unknown_006	18	4.198377952585969	65
L_mimosine	18	3.500113693273713	90
propylene_glycol	18	2.258273347165583	181
Unknown_050	18	1.785122231016777	254
campesterol	18	1.694409361776539	275
L_pyroglutamic_acid	19	2.9069472572104775	122
D_ribose_5_phosphate	19	2.461229679260441	150
Unknown_047	19	1.7947817641582526	250
propylene_glycol	19	1.7693029353825427	260
glycerol_3_phosphate	20	3.4782780120158105	91
linoleic_acid	20	1.9563872618653184	221
2_hydroxyglutaric_acid	20	1.7721434016072584	258
Unknown_015	21	4.473688469163842	59
galactitol	21	2.1852276306905893	188
creatinine	21	1.6478167492656226	284
creatinine	22	8.051671414820143	15
2_hydroxyglutaric_acid	23	11.28720379344704	4
2_hydroxyglutaric_acid	24	3.508656863460449	89
myo_inositol	24	2.894236131465625	123
creatinine	24	1.9717035209718339	215
fructose	24	1.8178591378019173	245
Unknown_002	25	3.468016897605423	92
D_fructose_6_phosphate	25	2.8798679357921895	124
N_formylglycine	25	1.7858457041094622	253
Unknown_017	26	5.26511818725624	48
Unknown_042	26	5.05350696273899	50
myo_inositol	26	1.7117813100191097	273
2_hydroxyglutaric_acid	27	7.5642633955326515	21
glycerol_3_phosphate	27	3.1095022486587895	104
DL_isoleucine	27	2.002052866287568	208
L_methionine	28	3.454464990420447	93
creatinine	29	3.6136287843439057	86
glycerol_3_phosphate	29	2.5607315076058565	140
Unknown_023	30	2.9517639158753823	117
DL_3_aminoisobutyric_acid__(spectral_match)	30	2.039303351393178	202
Unknown_046	30	1.9828877761627317	213
L_glutamic_acid	31	3.9856126946678567	74
2_hydroxyglutaric_acid	31	2.6325664701603455	138
scyllo_inositol	32	3.8812499464359913	78
sucrose	32	3.119151898679419	103
heptadecanoic_acid	33	4.0372340968859755	69
pyrophosphate	33	2.94918084049358	118
Unknown_023	34	6.209955282696779	37
pyrophosphate	34	1.9597662865593466	220
L_2_aminoadipic_acid	35	2.857535377052893	125
L_alanine	36	4.708953153006558	55
