Regulator	Score	N_modules	N_targets	Modules	Targets
MYT1L	32.42298057939418	11.0	562.0	0|2|6|10|13|18|71|81|82|91|115	ATP8A2|HPCAL4|CAMK1G|SNAP25|SYNGR3|SNCB|PSD|DDN|NEURL1|GABRD|PRMT8|ATP2B3|SLC8A2|CHD5|PHYHIP|SLC30A3|SYP|MAS1|RASAL1|STYK1|ADAM11|CACNA1B|FSTL4|SLC6A17|PRSS3|VWA5B2|HPCA|SYT4|C4orf50|NRGN|GABRB2|EPHB6|MPPED1|CRYM|SYT7|GALNTL6|B3GNT4|GPR61|ICAM5|VSTM2L|TMEM130|KCNH3|GLS2|CPLX1|KCNJ4|MAP7D2|AK5|TGFBR3L|SYT1|GPR83|DOC2A|ARHGDIG|CELF4|RTN4RL1|C1QTNF4|CREG2|MTUS2|JAKMIP1|KCNJ12|SYT5|STX1B|UNC5A|PACSIN1|SV2C|SLC17A7|PPP2R2C|SPTB|SYN2|KCTD16|SYN1|DLGAP3|PCP4L1|IQSEC3|GLT1D1|SLC12A5|NEFM|CAMK2A|RYR2|CABP1|GNG3|PDE1A|CCSER1|EPHA10|NMNAT2|RIMBP2|SCN3B|KIF1A|KCNH1|FBXL16|PRKCB|KIAA0319|OPCML|KCNS1|SLC27A2|BRINP1|CCBE1|GALNT9|SMPD3|CRHBP|CPNE7|ADRA2C|RBFOX1|NPM2|LRFN2|GLB1L3|SLC7A14|NOS1|SRRM4|NEGR1|PPP1R1A|HOOK1|CHGB|CELF3|RELN|SOWAHB|SERPINI1|FBXO2|SAMD12|NAP1L2|RAB3C|SHANK2|PPP1R16B|UBE2QL1|SLC4A10|CCDC85A|GPR68|JPH4|ATCAY|DOK6|GRIN3A|CA4|STMN4|SYT16|GRM2|SCN2B|CDH8|CAMSAP3|PRDM8|GDA|SH3GL2|FGF13|GABRA2|RSPO2|CACNA2D3|CDH22|AJAP1|SNAP91|PNMA3|CDK5R1|C11orf87|ATP1A3|TENM2|GRIN2A|KIRREL3|DUSP26|ZNF831|RIMS2|VSTM2A|NECAB2|RUNDC3A|LRRC7|BSPRY|ELAVL4|SYN3|HS3ST2|WNT10B|PPP4R4|ADAMTS8|PDE2A|MYT1L|REPS2|STMN2|POU6F2|RGS7|CACNA2D2|TESPA1|STXBP6|LY6H|ERC2|PTPRN|SRRM3|PLCXD3|OLFM1|FRRS1L|CALN1|NECAB1|TAGLN3|GAD1|RGS4|CNTNAP2|NGEF|L1CAM|CNTN5|HECW1|CES4A|ISLR2|SEPTIN3|PNMA6A|GABRB3|DOC2B|KCNK9|CRHR1|ZFR2|ATRNL1|PAK3|OPRD1|GRIP1|RASGRF1|NEFH|SPTBN2|SHANK1|ELFN2|CCDC177|GRM7|AMPH|CDK5R2|SPRN|ZCCHC12|SNCA|SOWAHA|GRM1|NPTX1|HS6ST3|RIMS1|SHISA7|CDKL2|XKR7|CACNA1I|TMEM151B|RBP4|CNTN3|STXBP5L|GNAL|KCNJ9|NELL1|CELF5|ASPDH|PCLO|ADARB2|TBR1|MARCHF4|CYP4X1|ENTPD3|RUNDC3B|ACVR1C|MPP7|RTN4R|PTPRR|KSR2|STOX2|GDAP1L1|RTN4RL2|CAMK4|LHX6|MAGEE1|ANK3|PRKCZ|SNCG|GRIN2B|CACNA1E|DYNC1I1|PRRG3|BEX5|SLC26A8|CNTN4|CHRNB2|GRM5|KHDRBS2|MCF2|KCNH5|NRG3|PRPH2|CABP1|SSTR2|ANKS1B|SGSM1|COL26A1|CHADL|C10orf90|ANO4|S1PR5|GPD1|GRM3|FAM178B|HCN2|HHIP|PLLP|NRIP2|SRCIN1|OR9A2|SYT9|CTNNA3|TRPV6|CD22|PDIA2|TRPM6|TMEM144|PAIP2B|PPP1R14A|DNAH17|ZNF536|USH1C|TLL2|RASGRF1|KLHL32|BOK|LRRC63|PRCD|EFHD1|HS3ST5|TP53TG5|CLDN11|PTGDS|SPAG6|TRPV5|JAKMIP3|CDH19|GPIHBP1|S100A1|FOLH1|SH3TC2|KANK4|SLCO1A2|EDIL3|ASPA|ENPP2|SLC24A2|GREM1|NETO1|CRTAC1|ZC3H12B|KCNQ5|MACROD2|CNTN1|NALCN|ERBB4|USP43|AFF2|FGF9|FUT9|CSDC2|SGCD|DPP10|GALNT13|TRIM67|OTOGL|MCF2L2|ARPP21|KCNIP3|LUZP2|EFCAB5|FAM135B|PCDH7|GABBR2|TCEAL2|KCNH8|FGF12|CACNA1A|EPB41L4B|SLITRK1|DLGAP1|PHACTR3|ZFPM2|CDH20|SLITRK5|CSMD3|RPS6KA6|LRRTM1|GABRQ|LHFPL3|NKAIN1|GPR179|PCP4|TSPAN11|PODN|KIAA1755|SIM2|SNX22|BCL11A|TMEFF1|B4GALNT1|DNER|CPXM1|C2orf80|ELFN1|KIF26A|FGF14|EYA1|GRIK2|RGS8|SATB1|NPR3|BAMBI|C1QL1|CDH3|SOX1|SNTG1|CABP7|PDGFRA|DGKI|CACNA1G|ZFP69|VWC2L|EPHB1|SLC8A3|IGLON5|FBN3|SUSD4|WNT7B|KCND2|TFAP2A|CD24|SLITRK2|CDH13|PROM1|BMP8B|NUDT10|LRRC4C|PKIA|KLRC2|NKX2-2|DRP2|PKNOX2|TRIM71|LNX1|WDR86|ARHGEF16|FBLL1|COL9A1|OXCT2|MEIS3|MEGF11|EFCAB5|DCT|FCRLA|PCDH15|CHRNA3|MYO5B|MDFI|ZNF469|KCNK10|MN1|B4GALT6|SAMD11|SLCO5A1|SORCS3|VGF|KLHL35|RASL11B|MYT1|B4GALNT3|SYT6|MAP3K15|BMPER|TOX3|RAB3B|NAT16|IGF2|MMP17|GDNF|COL20A1|SCN1A|RASGEF1C|RAB33A|CHADL|ERBB3|PDE11A|ZNF488|GPD1|FAM178B|GAL3ST1|SOX10|PTGDS|PLLP|NANOS1|CMTM5|POLR2F|UGT8|OMG|BCAS1|LGR5|KCNH8|ENPP6|TUBB4A|ZDHHC11B|ASPA|DSCAML1|LCNL1|ZNF536|IL1RAPL1|FAM222A|RASGEF1C|BCAS1|RAB33A|ERBB3|LGR5|ZNF488|TUBB4A|GAL3ST1|SOX10|SLITRK1|ZDHHC11B|PHACTR3|NANOS1|SRCIN1|DSCAML1|LCNL1|CMTM5|POLR2F|PPP1R16B|OMG|UGT8|IL1RAPL1|FAM222A|KCNK2|PHYHIPL|KCNB1|B3GALT2|CLSTN2|KCNH1|LDOC1|FGF9|DOK6|TRIM67|ARPP21|CDH20|CSMD3|LRRTM1|PCDH15|RPE65|FBXL2|TCEAL2|SOX1|IKZF2|PKIA|TVP23A|CACNA1A|DNER|SCRG1|GRIK2|SCN1A|DCT|PTPN3|ZNF518B|GCK|KBTBD12|NHLRC1|ACTRT3|SULT1C2|COL21A1|TNFRSF18|TUSC1|LRRC10B|CLGN|ERICH3|CFAP74|VSTM5|AGBL4|GPR27|RNF175|KCNA5|CHRDL1
FOXJ1	20.29209524771921	2.0	76.0	7|62	HYDIN|DCDC1|CFAP126|CFAP54|ZMYND10|SLC9C2|VWA3B|CCDC65|CFAP52|DNAH5|DNAAF1|LRRC74B|MAK|TEKT1|C7orf57|DNAAF3|ZBBX|MORN5|SPEF1|WDR93|PRR29|ANKRD45|FOXJ1|DNAI1|CFAP43|SDR42E2|EFHC2|DNAH6|ROPN1L|CFAP57|DRC1|RSPH4A|DRC7|C6orf118|VWA3A|NEK5|RSPH1|DCDC1|CFAP126|CFAP54|ZMYND10|SLC9C2|VWA3B|CCDC65|CFAP52|DNAH5|DNAAF1|LRRC74B|MAK|TTC29|TEKT1|C7orf57|ZNF165|ZBBX|MORN5|SPEF1|WDR93|PRR29|ANKRD45|FOXJ1|DNAI1|CFAP43|SDR42E2|EFHC2|DNAH6|ROPN1L|CFAP57|DRC1|RSPH4A|DRC7|C6orf118|ANKUB1|VWA3A|DTHD1|NEK5|RSPH1
MYRF	18.96700997205348	4.0	132.0	6|14|18|71	CHADL|C10orf90|ANO4|S1PR5|GPD1|GRM3|FAM178B|HCN2|HHIP|PLLP|NRIP2|SRCIN1|OR9A2|SYT9|CTNNA3|TRPV6|CD22|PDIA2|TRPM6|TMEM144|PAIP2B|PPP1R14A|DNAH17|ZNF536|USH1C|TLL2|RASGRF1|KLHL32|BOK|LRRC63|PRCD|EFHD1|HS3ST5|TP53TG5|CLDN11|PTGDS|SPAG6|TRPV5|JAKMIP3|CDH19|GPIHBP1|S100A1|FOLH1|SH3TC2|KANK4|SLCO1A2|EDIL3|ASPA|ENPP2|SLC24A2|GREM1|TF|AATK|CNDP1|ST18|GJB1|LDB3|PCSK6|ERMN|MAL|HAPLN2|FA2H|KLK6|MOBP|HHATL|MBP|PEX5L|LRP2|MOG|TMEM151A|SLC5A11|SEC14L5|CARNS1|TPPP|PLP1|PLCH2|LGI3|CNTNAP4|MYRF|CNTN2|RASGEF1C|RAB33A|CHADL|ERBB3|PDE11A|ZNF488|GPD1|FAM178B|GAL3ST1|SOX10|PTGDS|PLLP|NANOS1|CMTM5|POLR2F|UGT8|OMG|BCAS1|LGR5|KCNH8|ENPP6|TUBB4A|ZDHHC11B|ASPA|DSCAML1|LCNL1|ZNF536|IL1RAPL1|FAM222A|RASGEF1C|BCAS1|RAB33A|ERBB3|LGR5|ZNF488|TUBB4A|GAL3ST1|SOX10|SLITRK1|ZDHHC11B|PHACTR3|NANOS1|SRCIN1|DSCAML1|LCNL1|CMTM5|POLR2F|PPP1R16B|OMG|UGT8|IL1RAPL1|FAM222A
IKZF1	18.78288770188333	4.0	97.0	20|35|64|69	CEBPA|POU2F2|CREBL2|FLI1|SP140|ACSM5|CD69|SIGLEC8|IKZF1|ANKRD22|IRF8|LYL1|TMEM119|SCIN|TNFRSF8|OLR1|MLXIPL|CLEC17A|SELL|CX3CR1|PRR15|IL21R|FGF20|HAMP|HHEX|MEF2C|P2RY12|TAL1|SNAI3|IRF5|BACH1|REL|CD274|MEF2A|GPR141|PRRX1|ZBTB38|HLA-DQB1|CREBL2|NFE2L2|ITK|FAM177B|ESR1|HLA-DRB5|CTSW|REST|MAF|CD69|ZNF267|PIGR|PLAG1|MITF|CLEC12A|GFI1|ATF6|GPR82|HLA-DQA1|SKIL|NFATC2|ELF1|ATF1|FBXO32|KLF3|TFEC|MS4A4E|BBX|ASCL2|LYL1|SCIN|POU2F2|SELL|ELF1|FLI1|SPI1|SP140|HAMP|TFEC|MS4A4E|HHEX|STAT6|TLR8|IKZF1|ANKRD22|SNAI3|IRF8|IRF5|FOXP1|RUNX3|VENTX|GPR141|KLHDC7B|ITK|CLEC12A|IRF4|GFI1|ESR1|LTB
IKZF3	17.27507972583296	2.0	35.0	16|69	EPHA1|NKG7|IKZF3|CCL5|SLAMF7|CD2|CD6|CD8A|CD3E|CD27|CST7|SLAMF6|SAMD3|LCK|SLFN12L|GZMA|THEMIS|CRTAM|CD96|APOBEC3H|GZMK|IL2RB|GRAP2|TIGIT|FOXP1|RUNX3|VENTX|GPR141|KLHDC7B|ITK|CLEC12A|IRF4|GFI1|ESR1|LTB
VDR	17.193202895966643	5.0	265.0	3|4|11|61|108	CFB|SOCS3|IER3|NFKB2|FCN1|C15orf48|CCL2|CXCL5|THBS1|PTGS2|TNFSF14|SLC39A8|ANPEP|IL1RN|BCL2A1|FFAR2|TNFAIP2|OSM|IL1B|LIF|CEBPD|HMOX1|PTX3|SLC16A10|CEBPB|TREML2|CXCL8|RRAD|AQP9|ICAM1|THBD|CHI3L2|KCNJ15|PLAUR|NAMPT|LILRA5|IL6|TGFBI|STC1|BHLHE40|TREM1|MAFF|SAA2|CXCL2|CXCL1|BIRC3|MMP19|ADAM8|LILRA6|SOD2|S100A9|CXCL3|IL32|VDR|RELB|HSD11B1|FCAR|STAT3|G0S2|IL1A|PLIN2|HSPA6|FOSL2|KLF10|NFKB1|XBP1|ADAMTS12|COL14A1|GDF15|STAT5A|ITGA2|AHNAK2|GJB2|TFPI2|NFE2L2|TC2N|BNC2|CCDC71L|SRPX2|SLPI|ZNF267|PRLR|ADAMTS14|LCTL|PLA2R1|CXCL14|KLF17|HAS3|SPOCD1|RAB38|C6orf141|RUNX1|GCNT1|SULF1|ELF4|TNFRSF11B|KLF5|CLDN23|KCNN4|NFE2L3|SNAI1|TIMP1|CAV2|TEAD4|CP|IGFBP6|BACH1|C1S|PAX8|SEMA3C|PTGES|RUNX2|ZBTB38|LRRFIP1|CLCF1|OSR1|PLAU|CAV1|C3orf52|STEAP1|ABCA13|FOSL1|PLAGL1|MAF|GPC3|CHRNA9|C9|AHR|ELK3|ARHGEF5|SEL1L3|HMGA2|COL8A1|CLDN1|ABCC3|PTPRU|TPBG|SPP1|ZNF600|MET|IL11|CATSPERB|SDC1|ATF1|ACSM3|FBXO32|FAM83G|ITGA3|SERPINE1|CFI|PODNL1|EFEMP1|RARRES1|TDO2|FPR2|BDKRB2|VENTX|CFD|PRDM1|FAM20A|MSC|LYZ|LILRB5|IL2RA|RUNX3|CD52|STAT6|TMEM150B|S100A8|CR1|GPNMB|TNFSF15|SPHK1|ACP5|GPR183|BCL2A1|TNFRSF8|HK3|STAT4|PTGER2|RNASE2|SERPINA1|SLC11A1|IRF4|ASCL2|MCTP2|IL4I1|FOLR2|IL1R1|LYVE1|TREML2|CD28|LTB|REL|AQP9|THBD|NXF3|PAPPA|IL18R1|GPR84|ASGR2|FPR3|SPI1|P2RY8|IL7R|TNFRSF9|LILRB3|BATF|F13A1|TREM1|TLR8|SLAMF8|CD163|FCGR2B|CCR2|RHOH|LRG1|PRF1|CLEC10A|DOK2|VSIG4|IL10|CD300LB|LY9|IL21R|S100A9|FPR1|FCAR|MAFB|KLHDC7B|MRC1|HLX|FPR2|BDKRB2|KCNJ15|CEACAM4|LRG1|PLAUR|STEAP4|LILRA5|GPR84|MMP19|ADAM8|LILRA6|CEBPD|LILRB3|VDR|TNFSF14|MXD1|SLC16A10|ANPEP|S100A8|TNFSF15|CEBPB|CXCL8|NFIL3|HMOX1|BHLHE40|MYC|MXD1|HSPA1A|NAMPT|PLIN2|KLF10|MAFF
PBX1	13.107639484960586	7.0	320.0	4|11|15|17|41|84|89	XBP1|ADAMTS12|COL14A1|GDF15|STAT5A|ITGA2|AHNAK2|GJB2|TFPI2|NFE2L2|TC2N|BNC2|CCDC71L|SRPX2|SLPI|ZNF267|PRLR|ADAMTS14|LCTL|PLA2R1|CXCL14|KLF17|HAS3|SPOCD1|RAB38|C6orf141|RUNX1|GCNT1|SULF1|ELF4|TNFRSF11B|KLF5|CLDN23|KCNN4|NFE2L3|SNAI1|TIMP1|CAV2|TEAD4|CP|IGFBP6|BACH1|C1S|PAX8|SEMA3C|PTGES|RUNX2|ZBTB38|LRRFIP1|CLCF1|OSR1|PLAU|CAV1|C3orf52|STEAP1|ABCA13|FOSL1|PLAGL1|MAF|GPC3|CHRNA9|C9|AHR|ELK3|ARHGEF5|SEL1L3|HMGA2|COL8A1|CLDN1|ABCC3|PTPRU|TPBG|SPP1|ZNF600|MET|IL11|CATSPERB|SDC1|ATF1|ACSM3|FBXO32|FAM83G|ITGA3|SERPINE1|CFI|PODNL1|EFEMP1|RARRES1|TDO2|FPR2|BDKRB2|VENTX|CFD|PRDM1|FAM20A|MSC|LYZ|LILRB5|IL2RA|RUNX3|CD52|STAT6|TMEM150B|S100A8|CR1|GPNMB|TNFSF15|SPHK1|ACP5|GPR183|BCL2A1|TNFRSF8|HK3|STAT4|PTGER2|RNASE2|SERPINA1|SLC11A1|IRF4|ASCL2|MCTP2|IL4I1|FOLR2|IL1R1|LYVE1|TREML2|CD28|LTB|REL|AQP9|THBD|NXF3|PAPPA|IL18R1|GPR84|ASGR2|FPR3|SPI1|P2RY8|IL7R|TNFRSF9|LILRB3|BATF|F13A1|TREM1|TLR8|SLAMF8|CD163|FCGR2B|CCR2|RHOH|LRG1|PRF1|CLEC10A|DOK2|VSIG4|IL10|CD300LB|LY9|IL21R|S100A9|FPR1|FCAR|MAFB|KLHDC7B|MRC1|HLX|EBF4|FOXK2|POU6F1|ZNF169|ZNF142|TP53AIP1|ZNF589|ZNF362|ZKSCAN8|ZNF782|PROX1|ADNP|PRDM2|ZNF70|ZNF774|ZNF605|TFAP2E|PRSS55|PRDM15|HES7|CYP3A43|ZFHX2|GTF2IRD1|ZNF785|GTF2IRD2|ZNF34|FXYD2|ZNF232|ZNF177|TCF7L1|DRD2|ZBED3|ZNF445|ZNF236|ZKSCAN3|HIC2|NFIX|ZNF514|PBX1|ZBTB39|SKOR1|SOX12|ITGA8|TBX18|ACTG2|C7|COL12A1|FBLN2|COL5A1|COL6A2|COL6A3|ASPN|COL1A1|DCN|ISLR|FHL2|CNN1|LUM|FAP|PCOLCE|P4HA3|FOXC2|STRA6|MEDAG|CFH|COL15A1|COL13A1|CTHRC1|LTBP2|CYP1B1|COL3A1|ADAMTS2|VGLL3|MGP|KDELR3|HIC1|PDGFRL|ITGBL1|COL1A2|HTRA3|TAGLN|ZBTB26|ZNF354C|ZSCAN9|ZKSCAN2|ZNF391|POU2F1|BEST3|ZFP62|ZNF69|ZNF512|TP53AIP1|ZKSCAN8|ZNF782|ZNF721|ZFP90|ZNF605|ZNF454|ZNF709|ZNF287|ZNF594|ZC3H8|ZNF382|FXYD2|ZNF75A|ZNF397|ZNF177|ZNF879|ZNF23|ZNF445|ZKSCAN3|ZFP2|FOXC2|STRA6|MEDAG|PAPPA|COL15A1|COL13A1|COL12A1|GPX8|KRT8|CTHRC1|CYP1B1|FOXL1|HEYL|RFX8|COL6A2|ASPN|DCN|ISLR|HTRA3|FHL2|PCOLCE|KRT18|RARRES1|ALDH1A3|ZNF605|GLRA4|ZNF84|TFDP2|SP4|ZNF534|HES7|ZNF10|FERMT1|GTF2IRD2|FGF17|FXYD2|ZBTB5|ZNF589|ZNF721|ZFP2|SMAD9
SOX10	13.100906238904411	7.0	214.0	6|10|14|18|71|72|73	CHADL|C10orf90|ANO4|S1PR5|GPD1|GRM3|FAM178B|HCN2|HHIP|PLLP|NRIP2|SRCIN1|OR9A2|SYT9|CTNNA3|TRPV6|CD22|PDIA2|TRPM6|TMEM144|PAIP2B|PPP1R14A|DNAH17|ZNF536|USH1C|TLL2|RASGRF1|KLHL32|BOK|LRRC63|PRCD|EFHD1|HS3ST5|TP53TG5|CLDN11|PTGDS|SPAG6|TRPV5|JAKMIP3|CDH19|GPIHBP1|S100A1|FOLH1|SH3TC2|KANK4|SLCO1A2|EDIL3|ASPA|ENPP2|SLC24A2|GREM1|NETO1|CRTAC1|ZC3H12B|KCNQ5|MACROD2|CNTN1|NALCN|ERBB4|USP43|AFF2|FGF9|FUT9|CSDC2|SGCD|DPP10|GALNT13|TRIM67|OTOGL|MCF2L2|ARPP21|KCNIP3|LUZP2|EFCAB5|FAM135B|PCDH7|GABBR2|TCEAL2|KCNH8|FGF12|CACNA1A|EPB41L4B|SLITRK1|DLGAP1|PHACTR3|ZFPM2|CDH20|SLITRK5|CSMD3|RPS6KA6|LRRTM1|TF|AATK|CNDP1|ST18|GJB1|LDB3|PCSK6|ERMN|MAL|HAPLN2|FA2H|KLK6|MOBP|HHATL|MBP|PEX5L|LRP2|MOG|TMEM151A|SLC5A11|SEC14L5|CARNS1|TPPP|PLP1|PLCH2|LGI3|CNTNAP4|MYRF|CNTN2|RASGEF1C|RAB33A|CHADL|ERBB3|PDE11A|ZNF488|GPD1|FAM178B|GAL3ST1|SOX10|PTGDS|PLLP|NANOS1|CMTM5|POLR2F|UGT8|OMG|BCAS1|LGR5|KCNH8|ENPP6|TUBB4A|ZDHHC11B|ASPA|DSCAML1|LCNL1|ZNF536|IL1RAPL1|FAM222A|RASGEF1C|BCAS1|RAB33A|ERBB3|LGR5|ZNF488|TUBB4A|GAL3ST1|SOX10|SLITRK1|ZDHHC11B|PHACTR3|NANOS1|SRCIN1|DSCAML1|LCNL1|CMTM5|POLR2F|PPP1R16B|OMG|UGT8|IL1RAPL1|FAM222A|MXI1|ZNF438|ADAMTS20|ZNF33A|GDF7|ZNF37A|ZNF485|FERMT1|ZNF248|GATA2|SMOC1|ZNF572|HEY2|ZNF32|ZNF25|F12|BMP8B|KLRC2|PODN|ELFN1|OXCT2|DLX5|EYA1|NPR3|BAMBI|FCRLA|MYO5B|ZNF469|CDH3|SAMD11|SLCO5A1|PDGFRA|ZEB2|ZFP69|PRSS35|RARB|RASL11B|COL11A1|SYT6|IGF2|GDNF|TFAP2A
MYT1	12.725181928129123	6.0	202.0	5|13|78|82|90|99	NCALD|ADD2|OLIG2|TNR|MMD2|FXYD6|DGKB|KCNQ2|OLIG1|MMP16|GRIA2|CACNG7|GNG4|BCAN|FAM131B|PTPRD|THSD7A|BCHE|PIANP|NOL4|LRRTM3|FRMPD1|ASIC4|NRXN2|SLIT1|DSCAM|NRXN1|CSMD1|SEZ6L|KCNA2|TMEM132B|ZNF704|NXPH3|XKR4|PURG|CNTNAP5|CADM2|ELAVL3|CSRNP3|LRRTM2|SOX8|BRSK2|NKAIN4|CDHR1|MPPED2|FLRT1|TMEM145|PRR36|ZDHHC22|NTRK3|NLGN3|LINGO1|CSPG5|MAP2|GABRQ|LHFPL3|NKAIN1|GPR179|PCP4|TSPAN11|PODN|KIAA1755|SIM2|SNX22|BCL11A|TMEFF1|B4GALNT1|DNER|CPXM1|C2orf80|ELFN1|KIF26A|FGF14|EYA1|GRIK2|RGS8|SATB1|NPR3|BAMBI|C1QL1|CDH3|SOX1|SNTG1|CABP7|PDGFRA|DGKI|CACNA1G|ZFP69|VWC2L|EPHB1|SLC8A3|IGLON5|FBN3|SUSD4|WNT7B|KCND2|TFAP2A|CD24|SLITRK2|CDH13|PROM1|BMP8B|NUDT10|LRRC4C|PKIA|KLRC2|NKX2-2|DRP2|PKNOX2|TRIM71|LNX1|WDR86|ARHGEF16|FBLL1|COL9A1|OXCT2|MEIS3|MEGF11|EFCAB5|DCT|FCRLA|PCDH15|CHRNA3|MYO5B|MDFI|ZNF469|KCNK10|MN1|B4GALT6|SAMD11|SLCO5A1|SORCS3|VGF|KLHL35|RASL11B|MYT1|B4GALNT3|SYT6|MAP3K15|BMPER|TOX3|RAB3B|NAT16|IGF2|MMP17|GDNF|COL20A1|SCN1A|SOX4|SEMA5B|PATZ1|RCOR2|DCX|ZNF711|GPC2|ZNF74|FOXO6|CCER2|XKR5|ZNF624|ZNF821|ONECUT2|SOX11|VAX2|ZBTB12|MEX3A|PCDH15|RPE65|FBXL2|TCEAL2|SOX1|IKZF2|PKIA|TVP23A|CACNA1A|DNER|SCRG1|GRIK2|SCN1A|DCT|SLITRK2|PKNOX2|GRIK3|RPE65|MYO16|LRRC4C|MEIS3|FLRT3|MEGF11|KCND2|TSHZ1|TRIM71|SOX6|EPHB1|ZFP69B|DLL3|SCN3A|TSPAN11|MYH7|FLRT1|MYCN|FBN3
TFEC	12.02233329293134	2.0	48.0	35|110	BACH1|REL|CD274|MEF2A|GPR141|PRRX1|ZBTB38|HLA-DQB1|CREBL2|NFE2L2|ITK|FAM177B|ESR1|HLA-DRB5|CTSW|REST|MAF|CD69|ZNF267|PIGR|PLAG1|MITF|CLEC12A|GFI1|ATF6|GPR82|HLA-DQA1|SKIL|NFATC2|ELF1|ATF1|FBXO32|KLF3|TFEC|MS4A4E|BBX|ASCL2|KLF3|MEF2A|GPR82|CREB3L2|AZGP1|PLAG1|ANKRD22|FAM177B|MMRN1|AHR|GLDN
