HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
ADNP	activity_dependent_neuroprotector_homeobox		Q9H2P0	ENSG00000101126	1	1	ADNP	b		ADNP	ADNP	3.1.8.1.1	ADNP	ADNP	6		PTHR15740	SF1	ACTIVITY-DEPENDENT_NEUROPROTECTOR_HOMEOBOX_PROTEIN
ADNP2	ADNP_homeobox_2		Q6IQ32	ENSG00000101544	1	1	ADNP2	b		ADNP2	ADNP2	3.1.8.1.2	ADNP2	ADNP2	6		PTHR15740	SF2	ACTIVITY-DEPENDENT_NEUROPROTECTOR_HOMEOBOX_PROTEIN_2
AEBP1	AE_binding_protein_1		Q8IUX7	ENSG00000106624	1	1	AEBP1		AEBP1		AEBP1		AEBP1		3		PTHR11532	SF48	ADIPOCYTE_ENHANCER-BINDING_PROTEIN_1
AHR	aryl_hydrocarbon_receptor		P35869	ENSG00000106546	1	1	AHR	other	AHR	AHR	AHR	1.2.5.1.1	AHR	AHR	7		PTHR10649	SF9	ARYL_HYDROCARBON_RECEPTOR
AHRR	aryl-hydrocarbon_receptor_repressor		A9YTQ3	ENSG00000063438	1	1	AHRR			AHRR	AHRR	1.2.5.1.2	AHRR	AHRR	5		PTHR10649	SF3	ARYL_HYDROCARBON_RECEPTOR_REPRESSOR
ALX1	ALX_homeobox_1		Q15699	ENSG00000180318	1	1	ALX1	a	ALX1	ALX1	ALX1	3.1.3.1.1	ALX1	ALX1	7	ALX1	PTHR24329	SF359	ALX_HOMEOBOX_PROTEIN_1
ALX3	ALX_homeobox_3		O95076	ENSG00000156150	1	1	ALX3	a	ALX3	ALX3	ALX3	3.1.3.1.2	ALX3	ALX3	7	ALX3	PTHR24329	SF340	HOMEOBOX_PROTEIN_ARISTALESS-LIKE_3
ALX4	ALX_homeobox_4		Q9H161	ENSG00000052850	1	1	ALX4	a	ALX4	ALX4	ALX4	3.1.3.1.3	ALX4	ALX4	7	ALX4	PTHR24329	SF322	HOMEOBOX_PROTEIN_ARISTALESS-LIKE_4
ANHX	anomalous_homeobox		E9PGG2	ENSG00000227059	1	1	ANHX			ANHX			ANHX	ANHX	3		PTHR10390	SF34	ANOMALOUS_HOMEOBOX_PROTEIN
AR	androgen_receptor		P10275	ENSG00000169083	1	1	AR	a	AR	AR	AR	2.1.1.1.4	AR	AR	7		PTHR48092	SF13	ANDROGEN_RECEPTOR
ARGFX	arginine-fifty_homeobox		A6NJG6	ENSG00000186103	1	1	ARGFX	b		ARGFX	ARGFX	3.1.3.2.1	ARGFX	ARGFX	6	ARGFX	PTHR45793	SF16	ARGININE-FIFTY_HOMEOBOX
ARNT	aryl_hydrocarbon_receptor_nuclear_translocator		P27540	ENSG00000143437	1	1	ARNT	a	ARNT	ARNT	ARNT	1.2.5.2.1	ARNT	ARNT	7		PTHR23042	SF50	ARYL_HYDROCARBON_RECEPTOR_NUCLEAR_TRANSLOCATOR
ARNT2	aryl_hydrocarbon_receptor_nuclear_translocator_2		Q9HBZ2	ENSG00000172379	1	1	ARNT2	a	ARNT2	ARNT2	ARNT2	1.2.5.2.2	ARNT2	ARNT2	7	ARNT2	PTHR23042	SF6	ARYL_HYDROCARBON_RECEPTOR_NUCLEAR_TRANSLOCATOR_2
ARNTL	aryl_hydrocarbon_receptor_nuclear_translocator_like		O00327	ENSG00000133794	1	1	ARNTL	a	ARNTL	ARNTL	ARNTL	1.2.5.2.3	ARNTL	ARNTL	7	ARNTL	PTHR23042	SF52	ARYL_HYDROCARBON_RECEPTOR_NUCLEAR_TRANSLOCATOR-LIKE_PROTEIN_1
ARNTL2	aryl_hydrocarbon_receptor_nuclear_translocator_like_2		Q8WYA1	ENSG00000029153	1	1	ARNTL2	a	ARNTL2	ARNTL2	ARNTL2	1.2.5.2.4	ARNTL2	ARNTL2	7		PTHR23042	SF48	ARYL_HYDROCARBON_RECEPTOR_NUCLEAR_TRANSLOCATOR-LIKE_PROTEIN_2
ARX	aristaless_related_homeobox		Q96QS3	ENSG00000004848	1	1	ARX	a	ARX	ARX	ARX	3.1.3.3.1	ARX	ARX	7	ARX	PTHR24329	SF548	HOMEOBOX_PROTEIN_ARX
ASCL1	achaete-scute_family_bHLH_transcription_factor_1		P50553	ENSG00000139352	1	1	ASCL1	a	ASCL1	ASCL1	ASCL1	1.2.2.2.1	ASCL1	ASCL1	7	ASCL1	PTHR13935	SF66	ACHAETE-SCUTE_HOMOLOG_1
ASCL2	achaete-scute_family_bHLH_transcription_factor_2		Q99929	ENSG00000183734	1	1	ASCL2	a	ASCL2	ASCL2	ASCL2	1.2.2.2.2	ASCL2	ASCL2	7	ASCL2	PTHR13935	SF62	ACHAETE-SCUTE_HOMOLOG_2
ASCL3	achaete-scute_family_bHLH_transcription_factor_3		Q9NQ33	ENSG00000176009	1	1	ASCL3	a	ASCL3	ASCL3	ASCL3	1.2.2.2.3	ASCL3	ASCL3	7		PTHR13935	SF68	ACHAETE-SCUTE_HOMOLOG_3
ASCL4	achaete-scute_family_bHLH_transcription_factor_4		Q6XD76	ENSG00000187855	1	1	ASCL4	a		ASCL4	ASCL4	1.2.2.2.4	ASCL4	ASCL4	6		PTHR13935	SF51	ACHAETE-SCUTE_HOMOLOG_4
ASCL5	achaete-scute_family_bHLH_transcription_factor_5		Q7RTU5	ENSG00000232237	1	1	ASCL5			ASCL5	ASCL5	1.2.2.2.5	ASCL5	ASCL5	5		PTHR13935	SF55	ACHAETE-SCUTE_HOMOLOG_5
ATF1	activating_transcription_factor_1		P18846	ENSG00000123268	1	1	ATF1	a	ATF1	ATF1	ATF1	1.1.7.1.2	ATF1	ATF1	7		PTHR45879	SF2	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-1
ATF2	activating_transcription_factor_2		P15336	ENSG00000115966	1	1	ATF2	a	ATF2	ATF2	ATF2	1.1.1.3.1	ATF2	ATF2	7	ATF2	PTHR19304	SF9	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-2
ATF3	activating_transcription_factor_3		P18847	ENSG00000162772	1	1	ATF3	a	ATF3	ATF3	ATF3	1.1.2.2.1	ATF3	ATF3	7	ATF3	PTHR23351	SF23	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-3
ATF4	activating_transcription_factor_4		P18848	ENSG00000128272	1	1	ATF4	a	ATF4	ATF4	ATF4	1.1.6.0.1	ATF4	ATF4	7	ATF4	PTHR13044	SF2	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-4
ATF5	activating_transcription_factor_5		Q9Y2D1	ENSG00000169136	1	1	ATF5	a	ATF5	ATF5	ATF5	1.1.6.0.2	ATF5	ATF5	7		PTHR13044	SF3	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-5
ATF6	activating_transcription_factor_6		P18850	ENSG00000118217	1	1	ATF6	a	ATF6	ATF6	ATF6	1.1.7.3.1	ATF6	ATF6	7	ATF6	PTHR46164	SF1	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-6_ALPHA
ATF6B	activating_transcription_factor_6_beta		Q99941	ENSG00000213676	1	1	ATF6B	a	ATF6B	ATF6B	ATF6B	1.1.7.3.2	ATF6B	ATF6B	7	ATF6B	PTHR46164	SF2	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-6_BETA
ATF7	activating_transcription_factor_7		P17544	ENSG00000170653	1	1	ATF7	a	ATF7	ATF7	ATF7	1.1.1.3.2	ATF7	ATF7	7	ATF7	PTHR19304	SF10	CYCLIC_AMP-DEPENDENT_TRANSCRIPTION_FACTOR_ATF-7
ATMIN	ATM_interactor		O43313	ENSG00000166454	1	1				ATMIN			ATMIN	ATMIN	3		PTHR46664	SF2	ATM_INTERACTOR
ATOH1	atonal_bHLH_transcription_factor_1		Q92858	ENSG00000172238	1	1	ATOH1	a	ATOH1	ATOH1	ATOH1	1.2.3.4.8	ATOH1	ATOH1	7	ATOH1	PTHR19290	SF82	PROTEIN_ATONAL_HOMOLOG_1
ATOH7	atonal_bHLH_transcription_factor_7		Q8N100	ENSG00000179774	1	1	ATOH7	a	ATOH7	ATOH7	ATOH7	1.2.3.4.9	ATOH7	ATOH7	7	ATOH7	PTHR19290	SF99	PROTEIN_ATONAL_HOMOLOG_7
ATOH8	atonal_bHLH_transcription_factor_8		Q96SQ7	ENSG00000168874	1	1	ATOH8	c		ATOH8	ATOH8	1.2.3.4.10	ATOH8	ATOH8	6		PTHR19290	SF102	PROTEIN_ATONAL_HOMOLOG_8
BACH1	BTB_domain_and_CNC_homolog_1		O14867	ENSG00000156273	1	1	BACH1	a	BACH1	BACH1	BACH1	1.1.1.2.5	BACH1	BACH1	7		PTHR46105	SF1	TRANSCRIPTION_REGULATOR_PROTEIN_BACH1
BACH2	BTB_domain_and_CNC_homolog_2		Q9BYV9	ENSG00000112182	1	1	BACH2	a	BACH2	BACH2	BACH2	1.1.1.2.6	BACH2	BACH2	7	BACH2	PTHR46105	SF8	TRANSCRIPTION_REGULATOR_PROTEIN_BACH2
BARHL1	BarH_like_homeobox_1		Q9BZE3	ENSG00000125492	1	1	BARHL1	a	BARHL1	BARHL1	BARHL1	3.1.2.1.1	BARHL1	BARHL1	7	BARHL1	PTHR24330	SF8	BARH-LIKE_1_HOMEOBOX_PROTEIN
BARHL2	BarH_like_homeobox_2		Q9NY43	ENSG00000143032	1	1	BARHL2	a	BARHL2	BARHL2	BARHL2	3.1.2.1.2	BARHL2	BARHL2	7	BARHL2	PTHR24330	SF4	BARH-LIKE_2_HOMEOBOX_PROTEIN
BARX1	BARX_homeobox_1		Q9HBU1	ENSG00000131668	1	1	BARX1	a	BARX1	BARX1	BARX1	3.1.2.2.1	BARX1	BARX1	7		PTHR24330	SF12	HOMEOBOX_PROTEIN_BARH-LIKE_1
BARX2	BARX_homeobox_2		Q9UMQ3	ENSG00000043039	1	1	BARX2	a	BARX2	BARX2	BARX2	3.1.2.2.2	BARX2	BARX2	7	BARX2	PTHR24330	SF7	HOMEOBOX_PROTEIN_BARH-LIKE_2
BATF	basic_leucine_zipper_ATF-like_transcription_factor		Q16520	ENSG00000156127	1	1	BATF	a	BATF	BATF	BATF	1.1.4.0.1	BATF	BATF	7	BATF	PTHR23351	SF14	BASIC_LEUCINE_ZIPPER_TRANSCRIPTIONAL_FACTOR_ATF-LIKE
BATF2	basic_leucine_zipper_ATF-like_transcription_factor_2		Q8N1L9	ENSG00000168062	1	1	BATF2	a		BATF2	BATF2	1.1.4.0.2	BATF2	BATF2	6		PTHR23351	SF11	BASIC_LEUCINE_ZIPPER_TRANSCRIPTIONAL_FACTOR_ATF-LIKE_2
BATF3	basic_leucine_zipper_ATF-like_transcription_factor_3		Q9NR55	ENSG00000123685	1	1	BATF3	b	BATF3	BATF3	BATF3	1.1.4.0.3	BATF3	BATF3	7	BATF3	PTHR23351	SF13	BASIC_LEUCINE_ZIPPER_TRANSCRIPTIONAL_FACTOR_ATF-LIKE_3
BBX	BBX_high_mobility_group_box_domain_containing		Q8WY36	ENSG00000114439	1	1	BBX	b	BBX	BBX	BBX	4.1.1.9.3	BBX	BBX	7	BBX	PTHR13059	SF10	HMG_BOX_TRANSCRIPTION_FACTOR_BBX
