Regulator	Target	Score	Overall_rank
creatinine	0	10.327931375984189	6
Unknown_004	1	3.5778452760019763	92
creatinine	2	14.464692121612847	2
D_mannose	2	3.509970382843336	95
creatinine	3	5.993059926092558	32
myo_inositol	3	5.207750297135768	41
phosphoric_acid_(spectral_match)	3	2.474288681346091	179
Unknown_038	3	1.9702376472465335	252
creatinine	4	3.1335680294130164	122
D_mannitol	4	2.59641493053344	164
Unknown_035	4	2.180120778843556	210
Unknown_042	4	2.1290940258318503	222
homocysteine	5	9.92695689382967	9
cholesterol_(spectral_match)	6	9.473190249900899	11
Unknown_005	6	3.1647875986297276	117
L_valine	6	2.007348796608637	242
Unknown_020	6	1.954185046862531	257
L_threonine	7	3.1624639134963393	118
N_formylglycine	7	3.0179874202497428	133
L_serine	7	2.5174146772354975	172
D_fructose_6_phosphate	7	2.1456949827327385	216
D_glucose_6_phosphate	7	2.0081531178816263	241
Unknown_004	8	3.6993438098408125	83
glycerol_3_phosphate	8	3.3671574978908514	104
Unknown_028	8	2.672190580814378	158
timonacic	9	2.6357520300744097	162
Unknown_004	9	2.1249686675517894	224
pyrophosphate	10	3.444769134255907	99
glycerol_3_phosphate	10	3.2550641239435043	111
creatinine	10	2.883241328007854	143
2_hydroxyglutaric_acid	10	2.6762700800974755	157
phosphoric_acid_(spectral_match)	11	4.128265122510283	65
galactitol	11	2.2994932115252853	196
D_fructose_6_phosphate	12	2.439854754207444	182
homocysteine	12	2.222260643677685	206
D_glucose_6_phosphate	12	2.098059681429117	231
creatinine	13	9.28156761798496	13
2_hydroxyglutaric_acid	13	6.260707017741046	29
Unknown_006	14	3.151795679741666	120
L_mimosine	14	3.024998805547946	132
2_hydroxyglutaric_acid	15	4.807826994259171	51
propylene_glycol	15	4.089812190935597	67
myo_inositol	15	2.8928918823192684	139
hypotaurine	16	5.067838562913191	46
DL_3_aminoisobutyric_acid__(spectral_match)	16	4.156802265645726	64
porphine	17	3.270335495173556	109
D_sorbitol	17	2.1332418257487236	221
L_cysteine	18	3.678489837522925	85
pyrophosphate	18	3.3861815010852157	103
2_hydroxyglutaric_acid	19	5.526975750723981	37
L_serine	19	5.467373853141719	40
Unknown_027	20	3.394784453770953	101
DL_3_aminoisobutyric_acid__(spectral_match)	20	2.8974592432721926	138
creatinine	21	6.762149292871481	24
heptadecanoic_acid	21	1.9623100577323935	254
pyrophosphate	22	3.0685767239641697	127
Unknown_005	22	2.495190789348735	176
myo_inositol	22	1.9819982032799501	247
Unknown_023	22	1.962079787024235	255
putrescine	23	3.6934463753553817	84
citricacid	23	3.6056732308900465	88
glycerol_3_phosphate	23	3.1948792316657975	113
L_2_aminoadipic_acid	23	2.4960578821565753	175
Unknown_026	23	1.926716971266236	265
creatinine	24	3.39767698561136	100
Unknown_021	24	2.116885124923862	228
myo_inositol	25	3.1737190448398156	116
campesterol	25	2.5553465725468087	166
L_methionine	25	2.421052077590624	183
L_proline	25	2.2617091382999326	199
creatinine	25	1.95393379810257	258
creatinine	26	4.422044849744193	59
homocysteine	26	4.126607693797323	66
myo_inositol	26	3.5739511641534127	93
L_aspartic_acid	26	3.4468802743218068	97
phosphoric_acid_(spectral_match)	26	3.386589190820635	102
L_2_aminoadipic_acid	27	5.117694122676197	44
DL_3_aminoisobutyric_acid__(spectral_match)	28	2.3325936500997373	191
Unknown_023	28	2.226800196515429	205
myo_inositol	29	5.541271398614378	36
fructose	29	3.14302913077598	121
scyllo_inositol	29	2.5125822447753006	173
myo_inositol	30	3.300322725812283	108
DL_3_aminoisobutyric_acid__(spectral_match)	31	3.6004028612709007	89
Unknown_005	31	3.031354016900232	131
Unknown_044	31	2.891871763567659	140
Unknown_046	31	2.541413731118206	168
Unknown_004	31	2.000636795755151	243
D_mannose	32	4.9048581270122655	50
putrescine	32	3.259723690752026	110
homocysteine	32	3.1545607170656913	119
Unknown_025	33	2.1999504042753624	209
Unknown_015	34	8.033636655792028	20
myo_inositol	34	4.705381897935445	54
3_hydroxybutyric_acid	34	3.3487234820758642	105
scyllo_inositol	34	1.9480080676402889	261
D_ribose_5_phosphate	35	4.65243248208295	55
Unknown_017	35	3.6590264335846023	86
fumaric_acid	35	3.064010501355141	128
myo_inositol	36	7.6593504836648645	22
2_hydroxyglutaric_acid	36	4.084512549616262	68
creatinine	37	9.08709197102387	14
propylene_glycol	37	2.531964013194205	171
pyrophosphate	37	2.246001130875385	202
Unknown_020	37	2.1715500250280275	212
myo_inositol	37	1.977894310913362	250
fumaric_acid	38	1.9783311097284138	249
creatinine	39	8.495618727620139	16
fructose	39	2.1408241718211816	217
D_sorbitol	40	3.1782997406783813	115
campesterol	40	2.974847276371911	136
Unknown_048	40	2.8097957050620117	150
myo_inositol	41	4.075661763202252	69
fructose	41	4.0134865579322065	72
2_hydroxyglutaric_acid	41	2.702522567033117	154
Unknown_013	42	3.1009870008963736	125
Unknown_048	42	1.9519856038343921	260
heptadecanoic_acid	43	2.661424937346296	160
Unknown_021	44	15.854508381103363	1
heptadecanoic_acid	45	2.3273167756583275	193
L_aspartic_acid	46	3.7581654539924645	79
fructose	46	2.5072861811082103	174
heptadecanoic_acid	47	2.3665254049595763	186
D_malic_acid	48	1.9527489447271156	259
creatinine	50	3.9705129375043424	73
Unknown_046	51	2.3542529194139536	188
Unknown_029	51	2.1333794027396147	220
DL_3_aminoisobutyric_acid__(spectral_match)	51	1.9457055231792602	262
Unknown_004	52	2.3401278604874394	189
propylene_glycol	53	5.074568452027903	45
phosphoric_acid_(spectral_match)	54	6.448024433041314	27
3_phosphoglycerate	56	5.851181784099462	34
Unknown_022	56	2.810570104152584	149
Unknown_017	56	2.738579772567837	152
DL_3_aminoisobutyric_acid__(spectral_match)	57	2.2390074712178514	203
DL_isoleucine	57	2.0840788669363155	232
Unknown_044	57	2.0540732601746914	235
myo_inositol	57	2.0214810108396426	239
D_fructose_6_phosphate	58	11.162231585963381	5
L_aspartic_acid	58	2.1080167754897388	229
glycerol_3_phosphate	59	3.1915990124184344	114
Unknown_004	59	2.9806664903696127	134
myo_inositol	60	3.7128780682851654	82
Unknown_004	60	2.473063010210928	180
N_methylalanine	60	2.3014510004063027	194
fructose	60	1.9816669452061377	248
myo_inositol	61	4.168339218413807	63
Unknown_015	61	2.8905444545846146	141
creatinine	61	1.90930925378401	266
N_formylglycine	62	7.29053876995539	23
L_serine	62	4.01942415969512	71
2_hydroxyglutaric_acid	63	6.255541538380912	30
N_formylglycine	63	3.199129157292221	112
DL_3_aminoisobutyric_acid__(spectral_match)	64	3.791980935154328	77
Unknown_016	64	3.478605593469573	96
2_hydroxyglutaric_acid	65	4.232468147050954	62
glycerol_3_phosphate	65	2.4947778957555045	177
L_serine	65	1.8820488446385049	269
2_hydroxyglutaric_acid	66	9.396908687068347	12
sucrose	66	2.289551403796985	198
homocysteine	67	2.6820878305101683	155
homocysteine	68	2.176007291864128	211
D_ribose_5_phosphate	69	8.386846065438752	17
L_glutamic_acid	70	2.8150327374670527	148
glycolic_acid	70	2.1221128879571762	226
pyrophosphate	71	3.865509331963485	75
L_cysteine	71	1.973989466108063	251
DL_2_Aminoadipic_acid_(spectral_match)	71	1.9375016413394417	264
2_hydroxyglutaric_acid	72	14.279463242121112	3
glycerol_3_phosphate	72	1.9678284237003687	253
Unknown_036	73	2.3771355831755403	185
cholesterol_(spectral_match)	73	2.0392964180572877	238
DL_3_aminoisobutyric_acid__(spectral_match)	74	2.6423708493489584	161
L_alanine	75	6.7039285316765	25
Unknown_022	75	2.3366064749546247	190
O_phosphocolamine	75	2.2319842146190156	204
Unknown_018	75	2.1375135425297325	219
Unknown_036	76	4.411415319681992	60
D_fructose_6_phosphate	76	2.300783443021422	195
homocysteine	77	10.218446435764852	7
D_fructose_6_phosphate	78	2.6694408298226744	159
creatinine	78	1.8998829532201604	268
heptadecanoic_acid	79	2.460452111287002	181
D_sorbitol	79	2.0209744478058047	240
D_gluconic_acid	80	4.7242880012262685	53
2_hydroxyglutaric_acid	80	2.330852471800123	192
creatinine	81	8.300500404219331	19
2_hydroxyglutaric_acid	82	5.052433842826719	47
pyrophosphate	82	2.91351639703178	137
scyllo_inositol	83	3.0453606880615345	130
porphine	84	2.8390545582276863	145
2_hydroxyglutaric_acid	84	2.1258261657467896	223
Unknown_044	84	2.123044866367103	225
Unknown_036	85	3.6377312716966346	87
pyrophosphate	85	1.9977299533057626	244
Unknown_021	86	2.1171482449844556	227
Unknown_013	87	4.947613835894273	49
Unknown_048	87	2.726385344889387	153
glycerol_3_phosphate	88	6.325271281608237	28
2_hydroxyglutaric_acid	88	4.58208868363387	56
Unknown_017	88	1.9435501503219623	263
myo_inositol	89	5.750975484978574	35
