Name	Type
H4_[8]_(K)_Ac	hPTMs
H2A_[5]_(K)_Ac	hPTMs
H31_[9]_(K)_Unmod	hPTMs
H31_[36]_(K)_Me2	hPTMs
H1_[21]_(K)_Ac	hPTMs
H1_[145]_(K)_Unmod	hPTMs
H4_[12]_(K)_Ac	hPTMs
H31_[27]_(K)_Me3	hPTMs
H31_[14]_(K)_Ac	hPTMs
H1_[16]_(K)_Bu	hPTMs
H1_[16]_(K)_Hib	hPTMs
H2B_[16]_(K)_Su	hPTMs
H2A_[5]_(K)_Unmod	hPTMs
H2A_[17]_(K)_Unmod	hPTMs
H1_[84]_(K)_Unmod	hPTMs
H1_[81]_(K)_Unmod	hPTMs
H4_[8]_(K)_Bu	hPTMs
H4_[20]_(K)_Unmod	hPTMs
H1_[78]_(N)_Deam	hPTMs
H2B_[16]_(K)_Bu	hPTMs
H31_[79]_(K)_Bu	hPTMs
H31_[23]_(K)_Ac	hPTMs
H31_[36]_(K)_Ac	hPTMs
H1_[16]_(K)_Me3	hPTMs
H1_[16]_(K)_Unmod	hPTMs
H2A_[7]_(K)_Unmod	hPTMs
H1_[16]_(K)_Ac	hPTMs
H31_[4]_(K)_Bu	hPTMs
dl_lysine_HI	Metabolites
l_phenylalanine_C18	Metabolites
l_arginine_HI	Metabolites
l_gulonolactone_HI	Metabolites
n_acetyl_l_aspartic_acid_HI	Metabolites
pantothenic_acid_C18	Metabolites
3,5_di_tert_butylbenzaldehyde_C18	Metabolites
3_methylhippuric_acid_HI	Metabolites
3_hydroxy_3_methylglutaric_acid_C18	Metabolites
o_phosphoethanolamine_HI	Metabolites
valylglycine_HI	Metabolites
2_acetamido_3__4_methoxyphenyl_propanoic_acid_HI	Metabolites
n_acetylputrescine_C18	Metabolites
phenylacetylglycine_HI	Metabolites
n6,n6,n6_trimethyl_l_lysine_HI	Metabolites
creatinine_HI	Metabolites
choline_C18	Metabolites
d_glucuronolactone_C18	Metabolites
o_acetylcarnitine_C18	Metabolites
n_acetylalanine_HI	Metabolites
dl_alanine_HI	Metabolites
isocytosine_HI	Metabolites
4_acetamidobutanoic_acid_HI	Metabolites
l_histidine_HI	Metabolites
d_____glucose_HI	Metabolites
d_____galactose_HI	Metabolites
asymmetric_dimethylarginine_HI	Metabolites
alpha_ethylaminohexanophenone_HI	Metabolites
threonine_C18	Metabolites
2_hydroxycinnamic_acid_HI	Metabolites
phenylacetylglycine_C18	Metabolites
d_serine_HI	Metabolites
n_acetyl_1_aspartylglutamic_acid_C18	Metabolites
n_methyl_d_aspartic_acid__nmda__HI	Metabolites
6_methylnicotinamide_C18	Metabolites
n6_methyladenine_HI	Metabolites
o_acetyl_l_serine_C18	Metabolites
υ_aminobutyric_acid__gaba__C18	Metabolites
valine_HI	Metabolites
n_acetylaspartylglutamic_acid_HI	Metabolites
capso_C18	Metabolites
5_methoxysalicylic_acid_HI	Metabolites
docosanamide_C18	Metabolites
panthenol_C18	Metabolites
5__hydroxymethyl__4_methoxy_2,5_dihydrofuran_2_one_HI	Metabolites
histamine_C18	Metabolites
n6_methyladenine_C18	Metabolites
2_oxoglutaric_acid_C18	Metabolites
5'_s_methyl_5'_thioadenosine_C18	Metabolites
asparagine_HI	Metabolites
uridine_5'_monophosphate_HI	Metabolites
n_acetylserotonin_HI	Metabolites
np_018661_C18	Metabolites
2'_deoxyinosine_5'_monophosphate_C18	Metabolites
acetohydroxamic_acid_HI	Metabolites
thymidine_C18	Metabolites
allopurinol_HI	Metabolites
2_hydroxycaproic_acid_C18	Metabolites
np_020418_HI	Metabolites
nicotinic_acid_C18	Metabolites
dodecylamine_C18	Metabolites
gamma_glutamylisoleucine_HI	Metabolites
2_oxoglutaric_acid_HI	Metabolites
ethyl_paraben_HI	Metabolites
gamma_glutamylvaline_HI	Metabolites
creatine_HI	Metabolites
dl_malic_acid_HI	Metabolites
leucylleucine_HI	Metabolites
_s__homostachydrine_HI	Metabolites
tolycaine_HI	Metabolites
edaravone_HI	Metabolites
1	Module
3	Module
4	Module
6	Module
7	Module
9	Module
10	Module
11	Module
13	Module
16	Module
21	Module
22	Module
