Regulator	Target	Score	Overall_rank
gamma_glutamylisoleucine_HI	0	7.55709188706788	34
thymidine_HI	0	3.4745841346712956	86
n,n_diethyldodecanamide_HI	0	3.2059476550162063	94
gamma_glutamylvaline_HI	0	2.6563798147900086	115
np_011223_HI	0	2.6444810984313833	117
l_glutathione__reduced__HI	0	2.641317687530844	118
sedanolide_HI	0	2.4077661316345056	128
trans_2_hexyl_1_cyclopropaneacetic_acid_HI	0	2.251107409614143	136
dl_norleucine_HI	0	2.1620205814485653	143
peg_n14_HI	0	1.6968786072474646	190
dl_lysine_HI	1	23.582022545302713	7
l_phenylalanine_C18	1	13.839568848472377	15
l_arginine_HI	1	7.477252671570635	35
l_gulonolactone_HI	1	4.712196798544113	55
n_acetyl_l_aspartic_acid_HI	1	3.4823701215812886	84
pantothenic_acid_C18	1	2.8125651078610368	109
3,5_di_tert_butylbenzaldehyde_C18	1	2.5132787789704794	125
propionylcarnitine_C18	2	16.492318713230905	12
creatinine_HI	2	11.335729120695483	22
monoolein_C18	2	9.713056810281982	27
dl_stachydrine_C18	2	5.8882760022506355	44
l____carnitine_HI	2	5.506757722362144	49
o_acetylcarnitine_C18	2	4.8780224239316725	53
acetyl_l_carnitine_HI	2	3.8606181983842043	69
l_proline_HI	2	2.9480322249050266	102
5__1_hydroxyethyl__3__2_hydroxypropyl__2_5h__furanone_HI	2	1.7596684750100682	181
isocytosine_HI	2	1.6511912372470803	193
3_methylhippuric_acid_HI	3	25.29479497931493	6
3_hydroxy_3_methylglutaric_acid_C18	3	4.3077068798853375	63
o_phosphoethanolamine_HI	3	3.769889624922391	74
valylglycine_HI	3	2.852831667178559	107
2_acetamido_3__4_methoxyphenyl_propanoic_acid_HI	3	2.7793783290685865	111
n_acetylputrescine_C18	3	2.5260593920829573	124
phenylacetylglycine_HI	3	2.3656412898713657	129
n6,n6,n6_trimethyl_l_lysine_HI	4	17.921029348473763	10
creatinine_HI	4	9.241573250383254	28
choline_C18	4	6.133072726018369	43
pantothenic_acid_C18	4	4.998906748224452	52
d_glucuronolactone_C18	4	4.4583675228677775	59
o_acetylcarnitine_C18	4	4.330559915353344	61
n_acetylalanine_HI	4	3.8567510417481685	70
dl_alanine_HI	4	3.4976399276519063	83
isocytosine_HI	4	2.4709871051763366	127
n6,n6,n6_trimethyl_l_lysine_HI	5	13.582395058097838	16
3_hydroxyvalproic_acid_HI	5	3.5819791788172513	79
creatinine_HI	5	3.5387357258255907	81
eicosapentaenoic_acid_HI	5	3.4788513929038065	85
uridine_5'_monophosphate_HI	5	3.3588332172085615	90
sedanolide_HI	5	2.508368306978323	126
4_guanidinobutyric_acid_C18	5	2.2961658376215457	132
l_gulonolactone_C18	5	2.2029967920602034	139
